gene,cluster,E214_wt,E218_wt,E262_wt,E263_wt,E266_wt,E9_wt,E95_wt,E214_g12d,E218_g12d,E262_g12d,E263_g12d,E266_g12d,E9_g12d,E95_g12d
C3_g08,C3,1.4910533542509794,0.9226408355927118,1.353665325354926,0.8343195004407735,0.7633992887555594,0.3854076201631569,-0.26869330590323437,-0.6311223558738218,-0.7579677005988349,-1.6763642031546153,-1.5615253937499303,-1.2230092801146812,-1.2177160618198752,-1.3720250439189896
C3_g09,C3,1.2594988551858188,1.1083518777024532,1.0494684276082558,0.6505238007474693,0.10643574002669964,0.4088145279540666,0.01770312068392573,-1.4004747486474587,-1.4498783609105192,-1.469638065610535,-1.1472726578301529,-0.7712673961059946,-1.2806669278258955,-0.9529672061962454
C3_g10,C3,1.437952163124485,1.0196024909561299,0.8051418412694424,0.675054293703082,0.11897033019532632,0.4780791329558862,-0.27915706561380443,-0.9014938398015644,-0.9170904226924643,-0.8343712122011248,-1.3825077978290372,-0.8303784528685926,-1.2402060251898233,-1.0338119613593937
C3_g11,C3,1.6831356145725551,1.5983176086233133,1.0304764428047508,0.8962707998826209,0.6686588689416321,-0.5003555913789278,-0.45866644680348606,-0.599602516222841,-0.9894898763432795,-1.123935921257646,-1.145862101457097,-1.5389099899654213,-1.542502435736612,-1.2142986444482282
C3_g12,C3,1.237290005765472,1.0212339936365178,1.1256401465673687,1.0730436516104436,1.0027600897960491,0.6736742190684903,0.16984563221813231,-1.3166416100300036,-1.5844285999286438,-1.107363261857659,-1.3546710534433708,-1.2228693689478742,-0.6635266590307628,-1.0124449470440164
C3_g13,C3,1.802764007620617,1.047925283762013,1.607768082233923,1.0662545173976266,1.0532048555716866,0.5676688388430864,0.5565166830788144,-0.8202846111323628,-0.8490144764512992,-1.0720425966554166,-0.9247553892147309,-1.1739722633609824,-1.5872594979563996,-0.7167462339656943
C3_g14,C3,2.0214368090929797,1.5712346165919242,1.428339801289197,1.3752771264639225,1.2873532316435918,-0.11634625354602074,-0.005137790819770505,-0.3626899848949222,-1.4245639377726889,-0.9243893670928949,-1.4665108917388276,-1.3204553395689251,-0.9896969462111509,-0.8290424437959935
C3_g15,C3,1.0997473877866728,0.7815529597808825,1.6604057764815385,0.8111643983433912,0.4312503997623249,0.47926467922191496,-0.13402977966332985,-0.7903797127133836,-0.9021840031091195,-0.9591631872294741,-1.0012190976512858,-1.346799196703326,-1.1455204480966301,-1.2563536593015499
C3_g16,C3,1.194715083522037,1.0383157105772227,1.3720966511026609,1.098347032724618,0.619895043925247,0.11973948713615246,0.2112321056050102,-1.122040882321321,-0.9577372180450702,-0.9955415527705798,-0.8260519133892009,-1.3677631657026543,-1.2238329820454232,-1.4560833686064751
C3_g17,C3,1.0601193874233639,1.5964769444087024,1.4134099376897171,1.3371101711078572,0.9563121004702257,0.4230463500217429,-0.05698100213226827,-0.6549012550771391,-1.1100320381795499,-1.20011796849241,-1.147370865483046,-1.4038353949445663,-1.0557295128462618,-1.1075562223868758
C3_g18,C3,1.7520194015536665,0.997937749022525,1.2417750411390212,1.1302781652797085,0.5269829034360413,0.5802772077009781,-0.11380356955101632,-0.740455018280287,-1.0464343059754457,-0.913240164295946,-1.5320317468753781,-1.3801559177313538,-0.9584672987128628,-0.9605308264082649
C3_g19,C3,1.4585468439978913,1.2037161618648287,1.1084272660991092,1.0285673719933544,0.8330511940470896,0.4462963908670875,-0.028260408146198526,-1.1888114669964136,-0.7594604720225941,-1.2633049252882422,-1.287914474394721,-1.2149657698194694,-0.34876190959780395,-1.5130203557741706
C3_g20,C3,1.6300825283921765,0.8154087114078461,1.6354114270194864,0.8608340396679701,0.358999853846153,0.4550587240762597,0.9791326431891728,-0.423847288407767,-1.1481232030995228,-1.5995691340027474,-1.771923543380198,-1.1839009560535434,-1.0126369817859324,-0.8270453602408858
C3_g21,C3,1.2752001677993061,1.7926131078200034,1.4049261264917805,1.3870994771311158,1.0651102220728363,0.16592275368356257,0.17836354648322084,-1.053838328695158,-1.3059056712894703,-1.5037942669802065,-1.0030076138854915,-1.4864309657024986,-1.2383872145727484,-1.2945107406241534
C3_g22,C3,1.976893405251833,1.3895994082596408,1.003247611567352,1.1383357572165411,0.45819917701480717,0.2626702794555202,-0.22929329793150405,-0.8673472633435281,-1.3857374642086546,-1.092171815204594,-0.9134475837900684,-1.505686977885161,-1.2403292498163925,-1.4790592130667155
C3_g23,C3,1.5359826387646696,1.5026408185500035,1.2783525268446059,1.0965411854261873,1.2782002458352175,-0.1253582077249058,-0.09141326364339654,-0.7354220130036362,-0.4929413114275295,-0.5569378046887605,-0.7634245854439536,-1.1910379025706164,-1.2846206385406282,-1.018451670759328
C3_g24,C3,1.7568041735592834,1.3090435490003407,1.1789832493281538,1.0717303094120418,0.36063580628815595,0.019298200140114435,0.3976886689857882,-0.568374384296123,-1.011456097273711,-1.2160280191264858,-1.833320998618265,-1.2773335939105601,-0.8199280223258325,-1.477990862178532
C3_g25,C3,1.5735874196887565,1.472371761842673,1.0850307385312052,0.9012215843551207,0.3907827449197979,0.4978084815565351,0.1309269515603399,-0.4191750377086368,-1.1020651019228118,-1.1463622908588842,-1.1325456944834875,-1.2001262138208277,-1.644205443532161,-1.181261997954829
C3_g26,C3,0.37454995824039905,0.6424321460603353,1.5461329040365124,1.3111200920729276,0.44341862024692374,0.35079738438563973,0.13367506584634,-0.7685472512157663,-0.4306721006863703,-0.6685323439401323,-1.2115838599608497,-0.9832072827850196,-1.6037938115512933,-0.7920688065757115
C3_g27,C3,2.0421192313176335,1.2128606627401246,1.599756687765094,0.9335852580958129,0.9000758348926152,-0.27716678170115283,-0.3476278456016654,-0.620456413422526,-0.7700258330832497,-1.4962746893512353,-0.9097686230854298,-1.5352028693232465,-1.102411077200921,-0.9758319361269346
C3_g28,C3,1.461368948588956,1.5611502413969438,1.2753448201846742,1.4036979491952404,0.9803614428647157,0.8598225892928633,-0.17508268717088138,-0.8847741210396634,-0.6175145615828377,-0.5143344625602339,-0.8658614546717922,-1.3176115735009701,-1.0375338715884614,-1.1961275034148424
C3_g29,C3,1.131411499987061,1.3011643043846055,1.50627227704446,0.7581999959321402,0.04431762759825231,0.2503307279570713,0.22682254686775105,-0.5789701180633714,-0.4379252139432036,-1.3102789460992574,-1.7240074976645752,-0.6460596565315642,-1.2829592768841565,-1.5965146438443767
C3_g30,C3,1.2621044142576716,1.429776337190485,1.3886441907891052,1.1507850598588671,0.7564693403102729,0.812646056768894,0.5498386307585486,-0.7452034065462971,-0.6659926059584345,-1.1064428379123703,-0.8736227845201979,-1.7697485975777298,-1.0932786784772683,-1.737746503131564
C3_g31,C3,1.2124714790596958,1.285706178015946,1.4352198482897118,1.0874095960268686,1.1938185439496567,0.7748619750004663,-0.26389539489264296,-1.2366104017076534,-0.9886903924295485,-1.5145369144728833,-1.4765590408083944,-0.8217416223106053,-1.6376766644272491,-0.7569851809068766
C3_g32,C3,1.518599044195894,1.1274291434417802,0.6114250677871912,0.914760057986692,1.1549865662808485,0.41811407099679176,0.0889696900104473,-0.7866605700315565,-1.3972936708023558,-1.7026247881815748,-1.3116223674060716,-1.2529456231395537,-0.9643200662230728,-0.9891674105105057
C3_g33,C3,1.4222098416276083,0.33253312460600215,1.5470057952464225,0.8285707826534108,1.1062524608504818,0.195868150846004,0.3125238726966113,-0.555320006279346,-0.6005354549341415,-0.7782714224010194,-1.2218451883551193,-0.8718951571473319,-1.4009201422135342,-0.5128416335616297
C3_g34,C3,1.261435131375012,1.4347319084339405,0.928921520311678,0.9423147565338297,1.0865218833346706,0.41333942809506086,-0.29524877527892873,-1.2822095113853194,-0.9024053385085877,-0.9796862076892325,-1.6743335664257037,-1.5379814280217015,-1.265763792600742,-1.1802314801819906
C3_g35,C3,1.1054786444252227,1.3107999642321835,1.9358129853609123,0.9111046014500832,0.275067282711372,0.2655762462211417,0.22863090312157053,-0.5667871934418215,-1.2932478712148,-0.7793572346680279,-1.239025134993077,-0.8376546687599198,-1.0317034900221531,-0.9722315662658598
C3_g36,C3,1.3429970639112858,1.2312527342078403,1.533494064941579,1.0978132443045223,0.9601964125737181,0.29016936813268646,0.5326321008802357,-0.48422715508036784,-1.4027495511804493,-0.974194066298151,-1.253326491495593,-1.1984346868578104,-1.3476382826348607,-0.6443871942662014
C3_g37,C3,1.5590997704502363,0.8053878111990657,1.3671783310732055,0.9691122579458215,0.8818385406654772,0.17688151212998987,0.4571912052815125,-1.0136504521111307,-1.8720359800479394,-1.414724187178873,-1.123584801837493,-0.8963483856918376,-1.021277515531809,-1.3609643280509691
C3_g38,C3,1.8641370421613335,1.0493537663028745,1.4456676219472488,1.4249204245488483,0.8498386992731944,-0.16827851655219705,0.2019529918351835,-0.5650273161884881,-1.1392004847034702,-0.9932377692964882,-0.6034270234414804,-1.0914478111534036,-1.0121530655177955,-1.2693076556270273
C1_g01,C1,1.2677742194443564,1.186003602618535,1.66992974099618,1.0348967516343084,1.2828523523933688,0.12891786876226607,0.7323389594256509,-0.039041517804600634,-0.5632912915139792,-0.655407993558408,-0.9504478928123147,-1.1471368465133427,-0.7068757875422118,-1.3056875249305158
C1_g02,C1,2.002612775556682,1.3632765195956864,0.6177138864845276,0.6941157789618817,0.8006116232943676,0.4641123369999874,0.8813143468430132,-0.7464405749513174,-1.1144097930823127,-1.019190934449958,-1.1751491110185572,-1.0499165211911012,-1.3337773964798307,-1.0399368471933796
C1_g03,C1,1.4777625415118776,0.573641982570003,1.035555058951144,0.6874323439308443,0.7559004565331795,0.9343342215618852,0.11112306282486203,-0.2641625031780251,-0.8371576971003389,-0.61539933245378875,-0.9681268661604338,-1.173191543231348,-0.2875058831115709,-1.038677864326171
C1_g04,C1,1.1159837967333914,0.5715598326926363,1.328291350471303,0.47386560837382197,0.90918116839374985,0.5929370741380836,0.17425823705151136,-0.8798986969881228,-0.6405852386759632,-1.278713959713825,-0.6725080264005643,-1.5842800087483446,-0.8903595673548714,-0.7908394930735285
C1_g05,C1,1.1857938872188092,1.1721527515109635,1.0174395685358117,0.878586658635863,1.1091227813150502,0.2733859546967077,-0.004373925959795244,-0.7364426180081611,-1.0807289861827092,-1.0783231027619418,-0.9316003749304209,-0.8740918479595932,-1.2849188544988632,-1.2966375646225112
C1_g06,C1,1.1475474019838934,0.7408142500407077,1.3764598053217014,1.1816071503618337,0.5404221523874112,0.7576644624349325,0.11558183372932129,-0.25570376032725806,-1.3699898913638724,-0.5606511578041212,-0.7297501736884038,-0.8695173888883698,-0.5599635343443553,-1.8423964030160833
C1_g07,C1,1.35299080119596,1.5847653433412219,1.4009646997983254,0.8541187857818664,0.980047789480338,0.2707317826812643,0.9244983736669434,-0.6540233599115401,-1.0759232432351709,-0.5711460669579065,-1.1058594658779377,-1.2467089698245455,-1.0918212621441796,-1.5357424931376564
C1_g08,C1,1.654993211852545,0.7495825457726863,1.002963644069553,0.6980436584018765,0.8116884234573677,0.6534417263466311,0.43271470595632133,-0.6815913499249004,-1.6501799962147694,-0.8611470786778626,-1.070015055444777,-1.2245902881110218,-1.0495473069328054,-1.4801395348504534
C1_g09,C1,1.086979104796371,0.9118676156535788,1.2345344292271732,0.6600267188395719,1.6473541182357243,6.935369131982894e-4,0.008874731534841945,-0.33434519463755624,-1.0707919182738779,-0.5565139329851665,-0.9679750690518674,-1.417015076459193,-0.8611696788300951,-1.143788471964457
C1_g10,C1,1.0771323197000398,1.2119345759447224,1.2480668822805243,1.216264263527736,1.254416771269085,0.2735643588545282,0.19995509049368265,0.14045664825998805,-1.0169494015633653,-0.7544350037821381,-1.1413908611618644,-1.3140521420683886,-0.4568938368353423,-1.248874918299473
C1_g11,C1,1.3583533788578224,1.2363903483124763,1.219839286748534,0.6517793026864972,0.8586955637390468,0.3785733677480863,-0.012658336519571517,-0.35937102743810834,-1.0147087532543544,-0.970489031334725,-0.7874380181219376,-1.3372582674109772,-0.5235481869114247,-0.988907318443015
C1_g12,C1,1.3991698317194183,1.2835753956226994,1.6455485386668833,0.548550120243651,1.2579210897905144,0.39537064453236237,0.21835216696106954,-0.6137129310644767,-0.9234453795912665,-0.934704356284051,-1.2096688281339822,-1.6909622155610131,-1.1449283973408395,-1.32678030282648
C1_g13,C1,1.3508641845771618,0.6918480669690585,1.0266250298187158,1.0642684148332529,0.3721882227776897,0.6618790822764584,-0.009543268120445147,-0.6614378833448913,-0.7883413181705488,-0.4828078826091611,-1.3573637437161539,-0.7349310205685399,-0.9558418639301357,-1.4239682898202108
C1_g14,C1,1.3958581929603309,0.9874330000002381,0.7169418028692287,0.4249752403904374,0.6082036870471975,-0.004726785227352703,-0.6222188784606177,-0.3537940891838961,-0.597128192283173,-0.7458541270813424,-1.0633219497091595,-1.1671145107264178,-1.0087268158034624,-0.8919778958046721
C1_g15,C1,1.6842527619260188,0.6444880226375039,1.010045816523057,1.1153263328791547,1.3962367662723194,0.44697688127756174,0.2244854586641089,-0.4857423651126279,-0.9873199356998675,-0.7334983364215275,-1.0319472202838393,-1.3604004694128835,-0.5811493035938327,-0.6126611027356819
C1_g16,C1,1.3433800779007359,1.2059819829869425,0.8845311040318355,0.7587239291674834,0.7322952813178583,0.8329106492911544,0.5312912225586811,-0.9099534851619123,-1.286831846401772,-0.41233295295295613,-1.0921677088410204,-1.0795539832350798,-0.8787396670757253,-0.5877287653993017
C1_g17,C1,1.6365189386234549,0.9829783601450491,1.6590811524060298,0.3945970326400198,0.8233620401497198,0.31384854490405323,0.4918457060681657,-0.8352962836773972,-1.42486089772665,-0.881356577257451,-0.9718523064282445,-1.6699156374023711,-0.9177122047575637,-1.2291875009240234
C1_g18,C1,0.5867367923726848,1.469380827208946,1.3822386235933317,1.2118039330281296,1.1017260839384684,0.8865537252546536,0.04456673326062417,-0.17214141746116246,-0.6534119038170444,-0.8286679720641074,-1.1949536812775063,-1.0936183501007568,-0.767572236778723,-1.0228106511552533
C1_g19,C1,2.101932200703189,1.4937684013409016,1.2193712515423314,1.3422716880386487,1.0681315621748222,-0.20329063790210222,0.48399450351113193,-0.47035326481078676,-1.3180913708873376,0.3060569383914884,-0.9417742977499759,-1.5067832863125492,-1.0212919071969395,-1.4089082602999676
C1_g20,C1,1.4384991772831615,1.1730283777453745,0.775317808151681,0.9406366766900701,1.2350091715984008,0.5683315076999935,-0.2346205287438816,-0.6372710182495229,-1.4689462967482365,-0.6132307288086696,-1.467010933131737,-1.4169179425623322,-0.2681863894547457,-1.161641277076411
C1_g21,C1,1.0850948581251951,1.5128817337883935,1.0666582963103437,1.0641635237779274,1.4182421978916273,0.058493416008492616,-0.13744347468110749,-0.6243452336981391,-0.950162754145879,-0.7680460118220237,-1.1654379427202937,-0.9812311067338328,-0.6254993463695572,-0.8573712140481605
C1_g22,C1,1.2848346724190174,0.12003605206150447,1.417385489973884,0.7219587927630106,0.6771363460275088,0.5364812013605516,-0.03078052922094418,-0.8829919386275731,-0.6592572261908072,-0.5019942479947417,-0.39547453472998506,-1.438898965204019,-1.289294944893697,-0.7057808211723445
C1_g23,C1,1.0676470625888312,0.795331651270307,1.1088340902290241,0.9419128759614864,1.0627223616047852,0.49304039015667217,0.10440334153858917,-0.4981251468313619,-1.138753106366245,-0.008445937699207873,-1.1834698858576491,-1.337035613220071,-0.37090112616830334,-0.614947859047388
C1_g24,C1,1.538003183493713,0.8377209615351237,1.356807874278201,1.0291288362882962,1.0796306039554566,-0.04475069696311429,0.38691713789114884,-0.11803076718896949,-1.3592737732618034,-0.46871940945358237,-1.4789685611385506,-0.9507801141749669,-0.6513106795899222,-0.6475259669289848
C1_g25,C1,1.8207159060992348,0.9978043576387584,1.074954372081213,0.9750933537170277,0.40046725838127584,0.2718213570622676,-0.152995053279975,-0.5529443223598952,-0.9430001722670847,-0.4556539916268425,-1.5171991351540108,-1.090316304262658,-0.7498323448883593,-1.2578949808313484
C1_g26,C1,1.7700216169584952,1.3454421329384783,1.332306240406738,0.6790002024289185,1.1353449103344773,0.37394981933871574,0.37442242156889816,-0.5273021910793457,-1.0246288061477946,-0.32781250326685774,-0.12508423672553337,-0.8243404134656818,-0.8461502216245893,-1.0785341784192755
C1_g27,C1,1.1260797276429027,1.6147593769434274,1.2932135946362,1.591081472634893,0.5071468574693504,0.046321435222330454,0.5663387595703707,-0.8674008200530094,-1.006859730734832,-0.71403290402208,-1.6958468312724704,-1.045399203254158,-1.0103290327208285,-1.2157406165911737
C1_g28,C1,1.620486494867896,0.8397471143109609,0.8267540040099923,1.0790151963876018,0.9348939301977232,0.574406400822757,0.16223727489204268,-0.8584204599287979,-1.1146800226732596,-0.8682153240581932,-1.1998376756833709,-1.5914288571329211,-0.8449843698623782,-1.0315605158654844
C1_g29,C1,0.818111096796941,0.7742064290716303,1.237891834658514,1.3102527944115232,1.3580526802853097,0.8682425323615655,0.6997115806694062,-0.45840033049070844,-0.48736563894714074,-0.6599505482495933,-1.118504130032236,-1.0321074572364801,-0.9083952694208416,-1.3207306097372333
C1_g30,C1,1.3085681311158754,1.3362219927931995,1.7910168502081576,0.5631794286032675,1.2247976570005625,0.24354667713556322,0.13433234407161723,-0.49550565883666553,-1.4523307604271312,-0.07939630357941008,-1.208169333645445,-0.8663201855464512,-1.1725741136578476,-1.326995206440239
C1_g31,C1,1.1950188984561494,0.5348594838958993,1.2873971608839063,0.37106876982278525,1.3544124192376743,0.2965642935941459,0.16006203629864393,-0.7113283894820087,-1.3234668764706095,-0.5554413561325519,-0.17728766054291412,-0.8431716196180061,-1.1234221257028618,-1.1462586995953954
C1_g32,C1,1.5311879964863258,1.1322524586493068,1.4775492801383077,0.8055389672346276,0.6201495397309583,0.429318968961757,0.36171858138729285,-0.4084351222526508,-0.9532925281625599,-0.6922915425998353,-1.338461334444745,-0.5153419950213682,-0.19059473373605862,-0.7499521381401111
C1_g33,C1,1.3689144646952696,1.2954464691721996,1.1888612223404569,0.4526752395036283,0.9196022216699296,0.08362936199196358,0.23073122166146287,-0.6517297711486643,-1.0647319445109003,-0.4436738919669579,-0.4283584212079681,-1.1078883992935449,-0.7647500937736179,-0.6207906301080246
C1_g34,C1,1.5379032986860308,1.2441655990718055,1.528515016020413,0.9375983306563923,1.3674612178884584,0.1734877759629017,0.14957493078869064,-1.321523168882513,-0.9034540870311203,-0.8596035763481923,-0.676872239982181,-0.767851287898782,-0.5148181272857211,-1.3035120477056692
C1_g35,C1,1.1617095116112468,1.228675375247406,0.863765455818239,0.5323066920620159,0.6727347644204984,0.18982164507128912,0.11630456999582167,-0.7283769154947518,-1.155563806072277,-0.70767816017182394,-1.0915402909186402,-1.6655910203570834,-0.8958623763368402,-1.5609963481165479
C1_g36,C1,1.1582752178530191,0.8217081705399274,0.2966120048246621,0.7510251848349763,1.0352173948684242,0.5706457160181435,-0.08023304239476828,-0.530102379099523,-0.09483520080543906,-0.44707021687278176,-0.7568981559786663,-0.5831427369394813,-0.8729203983603281,-1.2660504770656982
C1_g37,C1,1.3991585094358185,1.1006049178524957,1.6358895098715933,1.4026333305211907,1.0708498769193533,0.6690220347254671,0.6475517279735659,-0.6781239315308837,-0.6718798550251656,-0.8292732492801255,-0.8030859234741639,-1.4125496128434516,-1.1380065409185054,-1.8100145535249568
C1_g38,C1,0.9526630162336104,0.9671299096164045,1.1485346641453789,1.0366957796974134,0.8073258571344316,0.5474413521678814,-0.2850059691008874,-0.8395876235884108,-1.0396691604146484,-0.6560167575585779,-0.837697709221253,-1.278374461689209,-1.1303239563515355,-0.9013159345496956
C1_g39,C1,1.857012432356974,0.6493734848840398,0.7949329062288807,0.9145586824811879,1.009613714697328,0.6163968716354732,0.12621480133394222,0.030134193360175643,-0.8655767282574757,-0.8360624339078054,-1.1574108162200694,-0.9005629128607942,-1.0154281797192584,-0.8298181670836355
C1_g40,C1,1.634533897754275,1.0678096457687836,1.2890085755108305,0.7867586381404333,0.5845327555554494,0.7495085035360565,-0.5590506587920933,-0.3653917245467506,-0.7730280400239107,-0.6327841022991025,-1.1398856665570194,-1.0845874128655482,-0.3790615664323651,-0.7216415948800073
C1_g41,C1,1.7598976661990862,0.3642534768805781,1.6940059149373983,0.6891208119740013,0.6904334072515519,0.4623601685705298,0.28546439690783226,-0.22119491814086867,-1.3454756183780772,-0.5631356077220351,-0.7111006004138567,-1.0762705692998717,-0.17860676438433665,-1.051306888855655
C1_g42,C1,0.6727956037929728,0.7549104974565076,1.4265642214169176,0.8388647320885727,1.2279060207936505,-0.03220225456897963,-0.05385445991620058,-0.3459709486707542,-0.8589095981358198,-0.591628337997047,-0.6804386665310915,-1.271794844975746,-0.6149510986678854,-0.8909796085837052
C1_g43,C1,1.3939716657308443,1.4627532554338747,1.4344243016575102,0.6554786428619604,0.8569093159330368,0.2633584524316735,0.48926873743589683,0.18177163311649502,-1.8358017538235565,-0.8832690074736609,-1.3520877298346325,-1.5803583700910384,-1.0093630217308716,-1.1021132721572282
C1_g44,C1,1.5331710739483289,0.3854969825183244,1.9154311137766757,0.7481418875648128,0.8509751110451677,0.11739006897404347,0.27273048790041465,-1.336253062850409,-0.6853000576073336,-0.38332712510117223,-1.1309877781835802,-0.8690238562987669,-0.5717934062063953,-0.8158657040800865
C1_g45,C1,1.6519381035769507,1.0857629466942864,0.9183292815344801,0.9313459726141995,1.1174825493854832,0.313769191546129,0.6786492990036839,-0.19455979505897608,-0.22945476316417635,-0.5983319575411568,-0.8816434224211094,-1.4455201027078606,-1.2214186690683597,-0.13547131278735847
C1_g46,C1,1.4235957555315062,1.279537237545481,0.927737491523009,0.9059712469791495,0.26302497700189575,0.35576083812463366,0.4697552911760501,-0.57919383527676,-1.1734875514694432,-1.1297653140087633,-1.2464505341189502,-1.592476023070154,-0.5985607569283796,-1.2898922645003934
C1_g47,C1,1.5095366332093723,0.9216880844155524,1.3823982779463715,0.8991919727967997,1.6549955160387895,0.1726469663921498,0.1977864424069096,-0.5029277112610152,-0.9223774172150694,-0.5434511109874034,-0.37635392843963267,-1.3074011637647565,-1.2266847495723092,-1.028539962754082
C1_g48,C1,1.1606589451824905,1.291366871836665,1.885903336292368,0.9094706000093417,0.9287382972420963,0.6620510548565781,0.6086329998227263,-0.5513890441664279,-1.3150599460086745,-0.33500567890778477,-1.1979767910913004,-1.3311051074641762,-0.5349887450017656,-1.311627979603299
C1_g49,C1,1.4020122666001864,0.8655093148926958,1.5859307049943272,0.7778502749270606,1.0847340696658014,0.6119880411410411,0.06842027179518469,-0.6557103966717936,-0.4999504317283763,-0.43121461528330945,-1.5019109413385157,-1.7426932215989512,-0.9405827168070053,-0.786684961889433
C1_g50,C1,1.629195593131723,0.939048294632139,1.2991389456471594,1.6706449260156884,1.268011786687664,0.031694005297594086,-0.5583224191102772,-0.5582817989339187,-0.6398565218141137,-0.44258832587220487,-0.8362119984888348,-1.0989103831327351,-0.8029266044352631,-1.0956937164749918
H2-D1,C4,-1.0827995606006886,-0.9419467695079746,-0.8799084052164763,-0.873486148064008,-0.8499892380539726,-0.5518262100396564,-0.18533622021880833,0.38044314070355756,1.1089815753266954,1.6714822312534536,1.354346513463177,1.4655045722653615,0.9744323662570901,0.5197417419065111
B2m,C4,-1.3232605051190622,-1.0781516173130261,-0.9780455732597756,-1.2256915648530058,-0.5838427018027827,-0.2791992547307576,-0.46879692685563334,0.5581532555303312,1.0147345369190413,1.2536308719678264,1.2324251917849731,1.211630343610977,1.45608419005772,1.1000686039510463
Tap2,C4,-1.1320287398415039,-1.3691401331992847,-1.0288457552338874,-0.7831547716939766,-0.4856870516560307,-0.5482053015619489,-0.47528447799966667,0.5896597626856741,1.1524844252819275,1.1730015210408595,1.4470114296660868,0.8589613359698327,1.0462731350677597,1.1377054613437683
C4_g01,C4,-1.6863831901875077,-1.3098998767223256,-1.0199767416720902,-0.627416647792333,-1.27691279491508,-0.18773820731960533,-0.29447174766245754,0.36250890921859374,1.092159699786887,1.198310528632207,1.2321925795102768,1.050692552449257,0.7298750737496744,1.1988335208631673
C4_g02,C4,-1.0659249175244676,-0.894003477771682,-1.0863645926641288,-0.5894180870896408,-0.9518444803928097,-1.1407769228279758,-0.0024047160651439192,0.35311579791900527,1.0573344109922422,1.1529748017073453,1.3947216566316514,1.1622806585698922,0.4332708414298031,1.089726107232182
C4_g03,C4,-1.1098763378131982,-1.0595401077363886,-1.623046823870224,-0.837667848781551,-0.37655460969450344,0.053675056581290126,-0.4380191909430565,0.6834457591015557,0.6582313565980755,1.3820363059394838,1.0269613221317764,1.4236372160365616,0.7246605847498758,0.7138082993256276
C4_g04,C4,-1.0354363829558233,-1.8984877138132152,-0.8971802981133632,-0.7067611997649264,-0.3432995362900076,-0.3518913926931697,-0.507531066000779,0.2747523144118132,1.1770975166797701,0.8555719830268613,1.4007370847123077,0.9572823145830411,0.9455912780438652,0.381752653624991
