"","high","low","mean","x","group1","group2","Trend","Signif"
"38",4.43,1.58,3.01,"sample13","GSP","Blood OPEs","Not Significant",""
"39",2.19,-0.04,1.07,"sample14","GSP","Blood OPEs","Positive","*"
"40",-1.17,-2.89,-2.03,"sample15","GSP","Blood OPEs","Not Significant",""
"41",5.84,3.42,4.63,"sample16","GSP","Blood OPEs","Positive","*"
"42",6.76,5.13,5.95,"sample17","GSP","Blood OPEs","Positive","*"
"43",7.93,5.01,6.47,"sample18","GSP","Blood OPEs","Not Significant",""
"44",-0.76,-2.81,-1.78,"sample19","GSP","Urine OPEs","Not Significant",""
"45",5.2,2.87,4.03,"sample20","GSP","Urine OPEs","Not Significant",""
"46",3.74,0.74,2.24,"sample21","GSP","Urine OPEs","Not Significant",""
"47",7.49,5.94,6.72,"sample22","GSP","Urine OPEs","Not Significant",""
"48",1.83,-0.87,0.48,"sample23","GSP","Urine OPEs","Positive","*"
"49",6.35,3.86,5.11,"sample24","GSP","Urine OPEs","Not Significant",""
"50",-0.8,-2.4,-1.6,"sample25","GSP","Urine OPEs","Negative","*"
"51",3.36,1.02,2.19,"sample1","FINS","Blood OPEs","Not Significant",""
"52",6.55,3.79,5.17,"sample2","FINS","Blood OPEs","Positive","*"
"53",4.73,2.26,3.5,"sample3","FINS","Blood OPEs","Not Significant",""
"54",0.98,-1.1,-0.06,"sample4","FINS","Blood OPEs","Not Significant",""
"55",7.72,5.85,6.78,"sample5","FINS","Blood OPEs","Not Significant",""
"56",6.25,3.68,4.97,"sample6","FINS","Blood OPEs","Positive","*"
"57",3.16,1.11,2.14,"sample7","FINS","Blood OPEs","Not Significant",""
"58",-0.96,-2.85,-1.9,"sample8","FINS","Blood OPEs","Not Significant",""
"59",6.51,3.68,5.1,"sample9","FINS","Blood OPEs","Not Significant",""
"60",-0.04,-2.32,-1.18,"sample10","FINS","Blood OPEs","Negative","*"
"61",7.42,4.57,6,"sample11","FINS","Blood OPEs","Not Significant",""
"62",7.63,6.02,6.83,"sample12","FINS","Blood OPEs","Not Significant",""
"63",7.63,5.89,6.76,"sample13","FINS","Blood OPEs","Not Significant",""
"64",7.34,5.82,6.58,"sample14","FINS","Blood OPEs","Not Significant",""
"65",6.45,4.1,5.27,"sample15","FINS","Blood OPEs","Positive","*"
"66",4.91,3.36,4.14,"sample16","FINS","Blood OPEs","Not Significant",""
"67",5.27,2.51,3.89,"sample17","FINS","Blood OPEs","Not Significant",""
"68",-0.7,-3.67,-2.19,"sample18","FINS","Blood OPEs","Negative","*"
"69",1.05,-1.32,-0.13,"sample19","FINS","Urine OPEs","Negative","*"
"70",7.13,4.6,5.86,"sample20","FINS","Urine OPEs","Not Significant",""
"71",3.49,1.21,2.35,"sample21","FINS","Urine OPEs","Not Significant",""
"72",2.43,0.73,1.58,"sample22","FINS","Urine OPEs","Not Significant",""
"73",-1.55,-3.22,-2.39,"sample23","FINS","Urine OPEs","Not Significant",""
"74",5.82,4,4.91,"sample24","FINS","Urine OPEs","Not Significant",""
"75",4.97,2.24,3.61,"sample25","FINS","Urine OPEs","Not Significant",""
"76",-1.81,-4.15,-2.98,"sample1","HOMA-IR","Blood OPEs","Negative","*"
"77",7.01,4.24,5.63,"sample2","HOMA-IR","Blood OPEs","Not Significant",""
"78",3.63,1.04,2.33,"sample3","HOMA-IR","Blood OPEs","Not Significant",""
"79",3.55,1.36,2.45,"sample4","HOMA-IR","Blood OPEs","Not Significant",""
"80",-0.37,-2.36,-1.37,"sample5","HOMA-IR","Blood OPEs","Not Significant",""
"81",6.4,4.15,5.27,"sample6","HOMA-IR","Blood OPEs","Not Significant",""
"82",5.86,4.3,5.08,"sample7","HOMA-IR","Blood OPEs","Not Significant",""
"83",6.51,3.99,5.25,"sample8","HOMA-IR","Blood OPEs","Positive","*"
"84",7.71,5.69,6.7,"sample9","HOMA-IR","Blood OPEs","Positive","*"
"85",5.8,3.53,4.67,"sample10","HOMA-IR","Blood OPEs","Not Significant",""
"86",5.29,2.7,3.99,"sample11","HOMA-IR","Blood OPEs","Not Significant",""
"87",0.56,-0.94,-0.19,"sample12","HOMA-IR","Blood OPEs","Negative","*"
"88",2.02,0.18,1.1,"sample13","HOMA-IR","Blood OPEs","Not Significant",""
"89",-0.56,-3.41,-1.99,"sample14","HOMA-IR","Blood OPEs","Not Significant",""
"90",3.5,0.92,2.21,"sample15","HOMA-IR","Blood OPEs","Positive","*"
"91",2.5,0.34,1.42,"sample16","HOMA-IR","Blood OPEs","Not Significant",""
"92",1.99,-0.04,0.98,"sample17","HOMA-IR","Blood OPEs","Positive","*"
"93",3.59,1.74,2.67,"sample18","HOMA-IR","Blood OPEs","Not Significant",""
"94",7.05,4.87,5.96,"sample19","HOMA-IR","Urine OPEs","Positive","*"
"95",-0.9,-2.75,-1.82,"sample20","HOMA-IR","Urine OPEs","Negative","*"
"96",-1.56,-3.41,-2.48,"sample21","HOMA-IR","Urine OPEs","Negative","*"
"97",5.24,2.53,3.88,"sample22","HOMA-IR","Urine OPEs","Not Significant",""
"98",7.96,5.23,6.6,"sample23","HOMA-IR","Urine OPEs","Not Significant",""
"99",-1.37,-3.39,-2.38,"sample24","HOMA-IR","Urine OPEs","Negative","*"
"100",-1.93,-4.35,-3.14,"sample25","HOMA-IR","Urine OPEs","Negative","*"
