"gcf","type","n","weight","facet","db","distance"
"gcf_10082","RiPPs",1,1,"BGC class","MIBiG",0.655196131563858
"gcf_10083","T2/3PKS",1,1,"BGC class","RefSeq",0.392565382517485
"gcf_10083","T2/3PKS",1,1,"BGC class","MIBiG",0.503878680526261
"gcf_10086","Terpenes",1,1,"BGC class","RefSeq",0.130293262633095
"gcf_10086","Terpenes",1,1,"BGC class","MIBiG",0.428341494665628
"gcf_1009","Other",4,1,"BGC class","RefSeq",0.584542666237285
"gcf_1009","Other",4,1,"BGC class","MIBiG",0.779275774314987
"gcf_10092","RiPPs",1,1,"BGC class","RefSeq",0
"gcf_10092","RiPPs",1,1,"BGC class","MIBiG",0.659497387696501
"gcf_10094","Terpenes",1,1,"BGC class","RefSeq",0.319930865491295
"gcf_10094","Terpenes",1,1,"BGC class","MIBiG",0.572336216626679
"gcf_10097","RiPPs",1,1,"BGC class","RefSeq",0.2
"gcf_10097","RiPPs",1,1,"BGC class","MIBiG",0.69489197144141
"gcf_1010","Terpenes",11,1,"BGC class","RefSeq",0.0989896420934577
"gcf_1010","Terpenes",11,1,"BGC class","MIBiG",0.684545851646236
"gcf_10103","Other",1,1,"BGC class","RefSeq",0
"gcf_10103","Other",1,1,"BGC class","MIBiG",0.54998500549798
"gcf_10104","RiPPs",1,1,"BGC class","RefSeq",0.490808292041831
"gcf_10104","RiPPs",1,1,"BGC class","MIBiG",0.53619103094256
"gcf_10105","Other",1,1,"BGC class","RefSeq",0.382142473240126
"gcf_10105","Other",1,1,"BGC class","MIBiG",0.449936453999396
"gcf_10106","Terpenes",1,1,"BGC class","RefSeq",0.183434554181085
"gcf_10106","Terpenes",1,1,"BGC class","MIBiG",0.468795502822329
"gcf_10108","Other",1,1,"BGC class","RefSeq",0.309012508971522
"gcf_10108","Other",1,1,"BGC class","MIBiG",0.857948087006202
"gcf_1011","Terpenes",2,1,"BGC class","RefSeq",0.0761043760546711
"gcf_1011","Terpenes",2,1,"BGC class","MIBiG",0.159752011878381
"gcf_10114","Terpenes",1,1,"BGC class","RefSeq",0.0136986301369862
"gcf_10114","Terpenes",1,1,"BGC class","MIBiG",0.772824313340729
"gcf_10117","Terpenes",1,1,"BGC class","RefSeq",0.246824902646983
"gcf_10117","Terpenes",1,1,"BGC class","MIBiG",0.513210412432535
"gcf_10118","Other",1,1,"BGC class","RefSeq",0.274120075670304
"gcf_10118","Other",1,1,"BGC class","MIBiG",0.641061138212626
"gcf_1012","Terpenes",1,1,"BGC class","RefSeq",0.389441028184406
"gcf_1012","Terpenes",1,1,"BGC class","MIBiG",0.44598673926583
"gcf_10124","Terpenes",1,1,"BGC class","RefSeq",0.451080858733682
"gcf_10124","Terpenes",1,1,"BGC class","MIBiG",0.716005698913923
"gcf_10125","RiPPs",1,1,"BGC class","RefSeq",0.22592973018679
"gcf_10125","RiPPs",1,1,"BGC class","MIBiG",0.60101929111722
"gcf_10126","Terpenes",1,1,"BGC class","RefSeq",0.00666666666666649
"gcf_10126","Terpenes",1,1,"BGC class","MIBiG",0.536906655689639
"gcf_1013","Other",1,1,"BGC class","RefSeq",0.153245386019133
"gcf_1013","Other",1,1,"BGC class","MIBiG",0.424668715742674
"gcf_10130","Other",1,1,"BGC class","RefSeq",0.250508387286988
"gcf_10130","Other",1,1,"BGC class","MIBiG",0.678237842438509
"gcf_10131","RiPPs",1,1,"BGC class","RefSeq",0
"gcf_10131","RiPPs",1,1,"BGC class","MIBiG",0.601119251638358
"gcf_10134","Other",1,1,"BGC class","RefSeq",0.372763054123415
"gcf_10134","Other",1,1,"BGC class","MIBiG",0.686913129022658
"gcf_10136","Terpenes",1,1,"BGC class","RefSeq",1.11022302462516e-16
"gcf_10136","Terpenes",1,1,"BGC class","MIBiG",0.750268266728549
"gcf_10137","Other",1,1,"BGC class","RefSeq",0.51185218602529
"gcf_10137","Other",1,1,"BGC class","MIBiG",0.596383675771017
"gcf_10138","T1PKS",1,1,"BGC class","RefSeq",0.0516249957457133
"gcf_10138","T1PKS",1,1,"BGC class","MIBiG",0.300834106022921
"gcf_1014","Terpenes",1,1,"BGC class","RefSeq",0.157240676201733
"gcf_1014","Terpenes",1,1,"BGC class","MIBiG",0.510312929280293
"gcf_10140","Other",1,1,"BGC class","RefSeq",0.147372422579328
"gcf_10140","Other",1,1,"BGC class","MIBiG",0.430071615787319
"gcf_10141","Other",1,1,"BGC class","RefSeq",0.389566771638975
"gcf_10141","Other",1,1,"BGC class","MIBiG",0.787878787878788
"gcf_10144","Other",1,1,"BGC class","RefSeq",0.118537026972325
"gcf_10144","Other",1,1,"BGC class","MIBiG",0.330519926854683
"gcf_10145","Other",1,1,"BGC class","RefSeq",0.0188878147221737
"gcf_10145","Other",1,1,"BGC class","MIBiG",0.698454441767036
"gcf_10148","NRPS",1,0.333333333333333,"BGC class","RefSeq",0.590871151402354
"gcf_10148","NRPS",1,0.333333333333333,"BGC class","MIBiG",0.693195212402356
"gcf_10148","Other",1,0.333333333333333,"BGC class","RefSeq",0.590871151402354
"gcf_10148","Other",1,0.333333333333333,"BGC class","MIBiG",0.693195212402356
"gcf_10148","RiPPs",1,0.333333333333333,"BGC class","RefSeq",0.590871151402354
"gcf_10148","RiPPs",1,0.333333333333333,"BGC class","MIBiG",0.693195212402356
"gcf_1015","Other",37,1,"BGC class","RefSeq",0.545830281661718
"gcf_1015","Other",37,1,"BGC class","MIBiG",0.786884742757811
"gcf_10150","Terpenes",1,1,"BGC class","RefSeq",0.248391857050224
"gcf_10150","Terpenes",1,1,"BGC class","MIBiG",0.354777733197149
"gcf_10152","Other",1,1,"BGC class","RefSeq",0.000584279633497053
"gcf_10152","Other",1,1,"BGC class","MIBiG",0.194453260440882
"gcf_10153","NRPS",1,1,"BGC class","RefSeq",0.322772342964959
"gcf_10153","NRPS",1,1,"BGC class","MIBiG",0.341671671900321
"gcf_10156","Other",1,1,"BGC class","RefSeq",0
"gcf_10156","Other",1,1,"BGC class","MIBiG",0.702072988465831
"gcf_10157","T2/3PKS",1,1,"BGC class","RefSeq",0.372198308565423
"gcf_10157","T2/3PKS",1,1,"BGC class","MIBiG",0.428018949374298
"gcf_10167","Other",1,1,"BGC class","RefSeq",0
"gcf_10167","Other",1,1,"BGC class","MIBiG",0.603240199570923
"gcf_10168","Terpenes",1,1,"BGC class","RefSeq",0.17948717948718
"gcf_10168","Terpenes",1,1,"BGC class","MIBiG",0.50419822711762
"gcf_10169","RiPPs",1,1,"BGC class","RefSeq",0.40052105958591
"gcf_10169","RiPPs",1,1,"BGC class","MIBiG",0.730320055014703
"gcf_1017","Other",11,1,"BGC class","RefSeq",0.0733757089993621
"gcf_1017","Other",11,1,"BGC class","MIBiG",0.637955623073074
"gcf_10170","Terpenes",1,1,"BGC class","RefSeq",0.301330852999029
"gcf_10170","Terpenes",1,1,"BGC class","MIBiG",0.51908241258161
"gcf_10176","Other",1,1,"BGC class","RefSeq",1.11022302462516e-16
"gcf_10176","Other",1,1,"BGC class","MIBiG",0.341593304002007
"gcf_10188","Terpenes",1,1,"BGC class","RefSeq",0.331718416589777
"gcf_10188","Terpenes",1,1,"BGC class","MIBiG",0.477002415372238
"gcf_10189","Terpenes",5,1,"BGC class","RefSeq",0.222217242282681
"gcf_10189","Terpenes",5,1,"BGC class","MIBiG",0.532223701899943
"gcf_1019","Other",1,1,"BGC class","RefSeq",0
"gcf_1019","Other",1,1,"BGC class","MIBiG",0.256849458539707
"gcf_10190","NRPS",1,1,"BGC class","RefSeq",0.572838703774454
"gcf_10190","NRPS",1,1,"BGC class","MIBiG",0.559256333217037
"gcf_10194","RiPPs",1,1,"BGC class","RefSeq",0
"gcf_10194","RiPPs",1,1,"BGC class","MIBiG",0.745454545454545
"gcf_10195","NRPS",1,0.5,"BGC class","RefSeq",0.58891991045658
"gcf_10195","NRPS",1,0.5,"BGC class","MIBiG",0.705333228562907
"gcf_10195","Terpenes",1,0.5,"BGC class","RefSeq",0.58891991045658
"gcf_10195","Terpenes",1,0.5,"BGC class","MIBiG",0.705333228562907
"gcf_10196","Other",1,1,"BGC class","RefSeq",0.294030649433077
"gcf_10196","Other",1,1,"BGC class","MIBiG",0.631517334515549
"gcf_10197","NRPS",1,1,"BGC class","RefSeq",0.261636969531827
"gcf_10197","NRPS",1,1,"BGC class","MIBiG",0.351025628613339
"gcf_10198","T2/3PKS",1,1,"BGC class","RefSeq",0.360645028086678
"gcf_10198","T2/3PKS",1,1,"BGC class","MIBiG",0.413064991091622
"gcf_1020","Other",4,1,"BGC class","RefSeq",0.122867839985853
"gcf_1020","Other",4,1,"BGC class","MIBiG",0.371295719950678
"gcf_10200","Terpenes",1,1,"BGC class","RefSeq",0.458652862138641
"gcf_10200","Terpenes",1,1,"BGC class","MIBiG",0.622990386132268
"gcf_10203","RiPPs",1,1,"BGC class","RefSeq",0.524126614053638
"gcf_10203","RiPPs",1,1,"BGC class","MIBiG",0.585837383362942
"gcf_10204","NRPS",1,1,"BGC class","RefSeq",0.274036046852024
"gcf_10204","NRPS",1,1,"BGC class","MIBiG",0.597480772059773
"gcf_10205","NRPS",1,0.25,"BGC class","RefSeq",0
"gcf_10205","NRPS",1,0.25,"BGC class","MIBiG",0.26757137491199
"gcf_10205","Other",1,0.25,"BGC class","RefSeq",0
"gcf_10205","Other",1,0.25,"BGC class","MIBiG",0.26757137491199
"gcf_10205","RiPPs",1,0.25,"BGC class","RefSeq",0
"gcf_10205","RiPPs",1,0.25,"BGC class","MIBiG",0.26757137491199
"gcf_10205","T2/3PKS",1,0.25,"BGC class","RefSeq",0
"gcf_10205","T2/3PKS",1,0.25,"BGC class","MIBiG",0.26757137491199
"gcf_10208","Other",1,1,"BGC class","RefSeq",0.538754671842356
"gcf_10208","Other",1,1,"BGC class","MIBiG",0.820889738002192
"gcf_10209","RiPPs",1,1,"BGC class","RefSeq",0.0787294122798019
"gcf_10209","RiPPs",1,1,"BGC class","MIBiG",0.33980396602855
"gcf_10210","RiPPs",1,1,"BGC class","RefSeq",0.436363636363636
"gcf_10210","RiPPs",1,1,"BGC class","MIBiG",0.483092197883096
"gcf_10211","T2/3PKS",1,1,"BGC class","RefSeq",0.154483629513432
"gcf_10211","T2/3PKS",1,1,"BGC class","MIBiG",0.439114617245096
"gcf_10212","T2/3PKS",1,1,"BGC class","RefSeq",0
"gcf_10212","T2/3PKS",1,1,"BGC class","MIBiG",0.672949880464793
"gcf_10213","Other",2,1,"BGC class","RefSeq",0.0092315632229539
"gcf_10213","Other",2,1,"BGC class","MIBiG",0.734242579669217
"gcf_10214","Terpenes",3,1,"BGC class","RefSeq",0.0450854698493295
"gcf_10214","Terpenes",3,1,"BGC class","MIBiG",0.712781312636979
"gcf_1022","Other",2,1,"BGC class","RefSeq",0.509347198096169
"gcf_1022","Other",2,1,"BGC class","MIBiG",0.741104987601151
"gcf_10226","Terpenes",1,1,"BGC class","RefSeq",0.27850991330062
"gcf_10226","Terpenes",1,1,"BGC class","MIBiG",0.52163512676506
"gcf_10230","NRPS",1,1,"BGC class","RefSeq",0.00645161290322582
"gcf_10230","NRPS",1,1,"BGC class","MIBiG",0.422475794682373
"gcf_10242","RiPPs",1,1,"BGC class","RefSeq",1.11022302462516e-16
"gcf_10242","RiPPs",1,1,"BGC class","MIBiG",0.626456316181186
"gcf_10246","Other",2,1,"BGC class","RefSeq",0.0257034266063255
"gcf_10246","Other",2,1,"BGC class","MIBiG",0.658754792663063
"gcf_10248","NRPS",1,1,"BGC class","RefSeq",0.4592589044645
"gcf_10248","NRPS",1,1,"BGC class","MIBiG",0.741024782742494
"gcf_10250","Other",1,1,"BGC class","RefSeq",0.163294880466148
"gcf_10250","Other",1,1,"BGC class","MIBiG",0.187936995727634
"gcf_10253","RiPPs",1,1,"BGC class","RefSeq",0.292893218813453
"gcf_10253","RiPPs",1,1,"BGC class","MIBiG",0.730320055014703
"gcf_10254","Terpenes",1,1,"BGC class","RefSeq",0.198384005597306
"gcf_10254","Terpenes",1,1,"BGC class","MIBiG",0.593173169667365
"gcf_10256","RiPPs",2,1,"BGC class","RefSeq",0.0299999999999998
"gcf_10256","RiPPs",2,1,"BGC class","MIBiG",0.642472257081326
"gcf_1026","Other",2,1,"BGC class","RefSeq",0.262667246553227
"gcf_1026","Other",2,1,"BGC class","MIBiG",0.827073577514821
"gcf_10260","Terpenes",1,1,"BGC class","RefSeq",0.292893218813453
"gcf_10260","Terpenes",1,1,"BGC class","MIBiG",0.431258651343014
"gcf_10269","Other",1,1,"BGC class","RefSeq",0.465600066801452
"gcf_10269","Other",1,1,"BGC class","MIBiG",0.735581083127248
"gcf_10270","Terpenes",1,1,"BGC class","RefSeq",0.38450243770963
"gcf_10270","Terpenes",1,1,"BGC class","MIBiG",0.47031996231154
"gcf_10276","RiPPs",1,1,"BGC class","RefSeq",0.282975388298762
"gcf_10276","RiPPs",1,1,"BGC class","MIBiG",0.723827614630503
"gcf_1028","Terpenes",3,1,"BGC class","RefSeq",0.286581999472479
"gcf_1028","Terpenes",3,1,"BGC class","MIBiG",0.562958761136412
"gcf_10282","Other",1,1,"BGC class","RefSeq",0.269674658506405
"gcf_10282","Other",1,1,"BGC class","MIBiG",0.636758421371611
"gcf_10288","NRPS",1,1,"BGC class","RefSeq",0.160406030996598
"gcf_10288","NRPS",1,1,"BGC class","MIBiG",0.19973757584992
"gcf_1029","Other",11,1,"BGC class","RefSeq",0.322824482110427
"gcf_1029","Other",11,1,"BGC class","MIBiG",0.779968998243148
"gcf_10290","RiPPs",1,1,"BGC class","RefSeq",0.545271688205948
"gcf_10290","RiPPs",1,1,"BGC class","MIBiG",0.72324983790922
"gcf_10294","Other",1,1,"BGC class","RefSeq",0.0891811642512085
"gcf_10294","Other",1,1,"BGC class","MIBiG",0.736146385249612
"gcf_10298","NRPS",1,1,"BGC class","RefSeq",0.439899452150849
"gcf_10298","NRPS",1,1,"BGC class","MIBiG",0.599706083825736
"gcf_103","RiPPs",1,1,"BGC class","RefSeq",0.251016949620288
"gcf_103","RiPPs",1,1,"BGC class","MIBiG",0.705181479400137
"gcf_10301","T2/3PKS",1,1,"BGC class","RefSeq",0.460777247941286
"gcf_10301","T2/3PKS",1,1,"BGC class","MIBiG",0.538411782443146
"gcf_10303","NRPS",1,1,"BGC class","RefSeq",0
"gcf_10303","NRPS",1,1,"BGC class","MIBiG",0.712085539018782
"gcf_10305","RiPPs",1,1,"BGC class","RefSeq",4.44089209850063e-16
"gcf_10305","RiPPs",1,1,"BGC class","MIBiG",0.609593875286485
"gcf_1031","Other",1,1,"BGC class","RefSeq",0
"gcf_1031","Other",1,1,"BGC class","MIBiG",0.756849648868945
"gcf_10310","Other",1,0.333333333333333,"BGC class","RefSeq",0.34168591182962
"gcf_10310","Other",1,0.333333333333333,"BGC class","MIBiG",0.397746184800827
"gcf_10310","Terpenes",1,0.333333333333333,"BGC class","RefSeq",0.34168591182962
"gcf_10310","Terpenes",1,0.333333333333333,"BGC class","MIBiG",0.397746184800827
"gcf_10310","T1PKS",1,0.333333333333333,"BGC class","RefSeq",0.34168591182962
"gcf_10310","T1PKS",1,0.333333333333333,"BGC class","MIBiG",0.397746184800827
"gcf_10312","T2/3PKS",1,1,"BGC class","RefSeq",1.11022302462516e-16
"gcf_10312","T2/3PKS",1,1,"BGC class","MIBiG",0.433313524001989
"gcf_10316","Other",1,1,"BGC class","RefSeq",0.43931903578645
"gcf_10316","Other",1,1,"BGC class","MIBiG",0.677247510047536
"gcf_10319","Other",1,1,"BGC class","RefSeq",0
"gcf_10319","Other",1,1,"BGC class","MIBiG",0.65802283957125
"gcf_10320","Terpenes",1,1,"BGC class","RefSeq",0
"gcf_10320","Terpenes",1,1,"BGC class","MIBiG",0.844652872523877
"gcf_10323","NRPS",1,1,"BGC class","RefSeq",4.44089209850063e-16
"gcf_10323","NRPS",1,1,"BGC class","MIBiG",0.603089236315124
"gcf_10325","NRPS",1,1,"BGC class","RefSeq",0
"gcf_10325","NRPS",1,1,"BGC class","MIBiG",0.274236443446232
"gcf_1033","Terpenes",92,1,"BGC class","RefSeq",0.400208864248072
"gcf_1033","Terpenes",92,1,"BGC class","MIBiG",0.558441626656941
"gcf_10332","NRPS",1,1,"BGC class","RefSeq",0.19453088960229
"gcf_10332","NRPS",1,1,"BGC class","MIBiG",0.369253163831901
"gcf_10334","Terpenes",1,1,"BGC class","RefSeq",0.0736017656969201
"gcf_10334","Terpenes",1,1,"BGC class","MIBiG",0.711699622326258
"gcf_10335","NRPS",1,0.5,"BGC class","RefSeq",0
"gcf_10335","NRPS",1,0.5,"BGC class","MIBiG",0.290450540097485
"gcf_10335","Other",1,0.5,"BGC class","RefSeq",0
"gcf_10335","Other",1,0.5,"BGC class","MIBiG",0.290450540097485
"gcf_10336","Terpenes",2,1,"BGC class","RefSeq",0.296855800915714
"gcf_10336","Terpenes",2,1,"BGC class","MIBiG",0.742752122286237
"gcf_10337","Other",2,1,"BGC class","RefSeq",0
"gcf_10337","Other",2,1,"BGC class","MIBiG",0.687454718181475
"gcf_10342","Terpenes",1,0.5,"BGC class","RefSeq",0.145290133572594
"gcf_10342","Terpenes",1,0.5,"BGC class","MIBiG",0.467050984178274
"gcf_10342","T2/3PKS",1,0.5,"BGC class","RefSeq",0.145290133572594
"gcf_10342","T2/3PKS",1,0.5,"BGC class","MIBiG",0.467050984178274
"gcf_10347","NRPS",1,1,"BGC class","RefSeq",0.321677115198235
"gcf_10347","NRPS",1,1,"BGC class","MIBiG",0.523839747384024
"gcf_10348","NRPS",1,1,"BGC class","RefSeq",0.440588667045849
"gcf_10348","NRPS",1,1,"BGC class","MIBiG",0.535234236802054
"gcf_10349","NRPS",1,0.5,"BGC class","RefSeq",0
"gcf_10349","NRPS",1,0.5,"BGC class","MIBiG",0.304290371874986
"gcf_10349","Other",1,0.5,"BGC class","RefSeq",0
"gcf_10349","Other",1,0.5,"BGC class","MIBiG",0.304290371874986
"gcf_1035","Other",1,1,"BGC class","RefSeq",0
"gcf_1035","Other",1,1,"BGC class","MIBiG",0.767504722512361
"gcf_10350","NRPS",1,0.5,"BGC class","RefSeq",4.44089209850063e-16
"gcf_10350","NRPS",1,0.5,"BGC class","MIBiG",0.575805544663524
"gcf_10350","Other",1,0.5,"BGC class","RefSeq",4.44089209850063e-16
"gcf_10350","Other",1,0.5,"BGC class","MIBiG",0.575805544663524
"gcf_10356","Terpenes",1,1,"BGC class","RefSeq",0.288665337903986
"gcf_10356","Terpenes",1,1,"BGC class","MIBiG",0.494027313527069
"gcf_10358","RiPPs",1,1,"BGC class","RefSeq",0.228477973075236
"gcf_10358","RiPPs",1,1,"BGC class","MIBiG",0.626456316181186
"gcf_1036","RiPPs",2,1,"BGC class","RefSeq",0.108899113204155
"gcf_1036","RiPPs",2,1,"BGC class","MIBiG",0.684569108187807
"gcf_10364","NRPS",1,1,"BGC class","RefSeq",2.22044604925031e-16
"gcf_10364","NRPS",1,1,"BGC class","MIBiG",0.234045808318285
"gcf_10367","Other",2,0.5,"BGC class","RefSeq",0.181762378925383
"gcf_10367","Other",2,0.5,"BGC class","MIBiG",0.492729540064845
"gcf_10367","T2/3PKS",2,0.5,"BGC class","RefSeq",0.181762378925383
"gcf_10367","T2/3PKS",2,0.5,"BGC class","MIBiG",0.492729540064845
"gcf_10368","Other",1,1,"BGC class","RefSeq",0.597517071360148
"gcf_10368","Other",1,1,"BGC class","MIBiG",0.72538615810606
"gcf_10369","Other",1,1,"BGC class","RefSeq",0.247782796658349
"gcf_10369","Other",1,1,"BGC class","MIBiG",0.718541743770057
"gcf_1037","Other",4,1,"BGC class","RefSeq",0.0039495862703037
"gcf_1037","Other",4,1,"BGC class","MIBiG",0.633954183184974
"gcf_10370","Other",1,1,"BGC class","RefSeq",0.155711378815236
"gcf_10370","Other",1,1,"BGC class","MIBiG",0.561242649268969
"gcf_10374","Other",1,1,"BGC class","RefSeq",0.309012508971522
"gcf_10374","Other",1,1,"BGC class","MIBiG",0.758253110792386
"gcf_10375","NRPS",1,1,"BGC class","RefSeq",0.482403671244924
"gcf_10375","NRPS",1,1,"BGC class","MIBiG",0.60881240994011
"gcf_10378","Other",1,1,"BGC class","RefSeq",0.414200830608229
"gcf_10378","Other",1,1,"BGC class","MIBiG",0.643857718706153
"gcf_10379","Terpenes",3,1,"BGC class","RefSeq",0.167133857233463
"gcf_10379","Terpenes",3,1,"BGC class","MIBiG",0.224315435570965
"gcf_1038","RiPPs",1,1,"BGC class","RefSeq",0.215164477820353
"gcf_1038","RiPPs",1,1,"BGC class","MIBiG",0.74418006219274
"gcf_10385","Other",1,1,"BGC class","RefSeq",0.343794130646766
"gcf_10385","Other",1,1,"BGC class","MIBiG",0.752126710335827
"gcf_10388","Terpenes",1,1,"BGC class","RefSeq",0.319005589205113
"gcf_10388","Terpenes",1,1,"BGC class","MIBiG",0.485740049384671
"gcf_10389","RiPPs",1,1,"BGC class","RefSeq",0
"gcf_10389","RiPPs",1,1,"BGC class","MIBiG",0.645001486553163
"gcf_1039","RiPPs",1,1,"BGC class","RefSeq",0.133974596215561
"gcf_1039","RiPPs",1,1,"BGC class","MIBiG",0.774506191599151
"gcf_10390","Other",1,1,"BGC class","RefSeq",0.366971072080615
"gcf_10390","Other",1,1,"BGC class","MIBiG",0.68137443881013
"gcf_10392","RiPPs",1,1,"BGC class","RefSeq",0.207499485667428
"gcf_10392","RiPPs",1,1,"BGC class","MIBiG",0.325800137536758
"gcf_10394","Other",1,1,"BGC class","RefSeq",0.330231085428579
"gcf_10394","Other",1,1,"BGC class","MIBiG",0.718248478726373
"gcf_10395","NRPS",1,1,"BGC class","RefSeq",0
