gene,module,cell_type,tissue,regulation
GeneUp048,Common up,MGC,Hypothalamus,Unchanged
GeneUp049,Common up,MGC,Hypothalamus,Unchanged
GeneUp050,Common up,MGC,Hypothalamus,Unchanged
GeneUp051,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp052,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp053,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp054,Common up,MGC,Hypothalamus,Unchanged
GeneUp055,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp056,Common up,MGC,Hypothalamus,Unchanged
GeneUp057,Common up,MGC,Hypothalamus,Unchanged
GeneUp058,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp059,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp060,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp061,Common up,MGC,Hypothalamus,Unchanged
GeneUp062,Common up,MGC,Hypothalamus,Unchanged
GeneUp063,Common up,MGC,Hypothalamus,Unchanged
GeneUp064,Common up,MGC,Hypothalamus,Unchanged
GeneUp065,Common up,MGC,Hypothalamus,Unchanged
GeneUp066,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp067,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp068,Common up,MGC,Hypothalamus,Unchanged
GeneUp069,Common up,MGC,Hypothalamus,Unchanged
GeneUp070,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp071,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp072,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp073,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp074,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp075,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp076,Common up,MGC,Hypothalamus,Unchanged
GeneUp077,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp078,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp079,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp080,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp081,Common up,MGC,Hypothalamus,Unchanged
GeneUp082,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp083,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp084,Common up,MGC,Hypothalamus,Unchanged
GeneUp085,Common up,MGC,Hypothalamus,Unchanged
GeneUp086,Common up,MGC,Hypothalamus,Unchanged
GeneUp087,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp088,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp089,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp090,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp091,Common up,MGC,Hypothalamus,Unchanged
GeneUp092,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp093,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp094,Common up,MGC,Hypothalamus,Unchanged
GeneUp095,Common up,MGC,Hypothalamus,Unchanged
GeneUp096,Common up,MGC,Hypothalamus,Unchanged
GeneUp097,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp098,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp099,Common up,MGC,Hypothalamus,Unchanged
GeneUp100,Common up,MGC,Hypothalamus,Unchanged
GeneUp101,Common up,MGC,Hypothalamus,Unchanged
GeneUp102,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp103,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp104,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp105,Common up,MGC,Hypothalamus,Unchanged
GeneUp106,Common up,MGC,Hypothalamus,Unchanged
GeneUp107,Common up,MGC,Hypothalamus,Unchanged
GeneUp108,Common up,MGC,Hypothalamus,Unchanged
GeneUp109,Common up,MGC,Hypothalamus,Unchanged
GeneUp110,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp111,Common up,MGC,Hypothalamus,Unchanged
GeneUp112,Common up,MGC,Hypothalamus,Unchanged
GeneUp113,Common up,MGC,Hypothalamus,Unchanged
GeneUp114,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp115,Common up,MGC,Hypothalamus,Unchanged
GeneUp116,Common up,MGC,Hypothalamus,Unchanged
GeneUp117,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp118,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp119,Common up,MGC,Hypothalamus,Unchanged
GeneUp120,Common up,MGC,Hypothalamus,Unchanged
GeneUp121,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp122,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp123,Common up,MGC,Hypothalamus,Unchanged
GeneUp124,Common up,MGC,Hypothalamus,Unchanged
GeneUp125,Common up,MGC,Hypothalamus,Unchanged
GeneUp126,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp127,Common up,MGC,Hypothalamus,Unchanged
GeneUp128,Common up,MGC,Hypothalamus,Unchanged
GeneUp129,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp130,Common up,MGC,Hypothalamus,Unchanged
GeneUp131,Common up,MGC,Hypothalamus,Unchanged
GeneUp132,Common up,MGC,Hypothalamus,Unchanged
GeneUp133,Common up,MGC,Hypothalamus,Unchanged
GeneUp134,Common up,MGC,Hypothalamus,Unchanged
GeneUp135,Common up,MGC,Hypothalamus,Unchanged
GeneUp136,Common up,MGC,Hypothalamus,Unchanged
GeneUp137,Common up,MGC,Hypothalamus,Unchanged
GeneUp138,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp139,Common up,MGC,Hypothalamus,Unchanged
GeneUp140,Common up,MGC,Hypothalamus,Unchanged
GeneUp141,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp142,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp143,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp144,Common up,MGC,Hypothalamus,Unchanged
GeneUp145,Common up,MGC,Hypothalamus,Unchanged
GeneUp146,Common up,MGC,Hypothalamus,Unchanged
GeneUp147,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp148,Common up,MGC,Hypothalamus,Unchanged
GeneUp149,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp150,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp151,Common up,MGC,Hypothalamus,Unchanged
GeneUp152,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp153,Common up,MGC,Hypothalamus,Unchanged
GeneUp154,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp155,Common up,MGC,Hypothalamus,Unchanged
GeneUp156,Common up,MGC,Hypothalamus,Unchanged
GeneUp157,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp158,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp159,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp160,Common up,MGC,Hypothalamus,Unchanged
GeneUp161,Common up,MGC,Hypothalamus,Unchanged
GeneUp162,Common up,MGC,Hypothalamus,Unchanged
GeneUp163,Common up,MGC,Hypothalamus,Unchanged
GeneUp164,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp165,Common up,MGC,Hypothalamus,Unchanged
GeneUp166,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp167,Common up,MGC,Hypothalamus,Unchanged
GeneUp168,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp169,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp170,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp171,Common up,MGC,Hypothalamus,Unchanged
GeneUp172,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp173,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp174,Common up,MGC,Hypothalamus,Unchanged
GeneUp175,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp176,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp177,Common up,MGC,Hypothalamus,Unchanged
GeneUp178,Common up,MGC,Hypothalamus,Unchanged
GeneUp179,Common up,MGC,Hypothalamus,Unchanged
GeneUp180,Common up,MGC,Hypothalamus,Unchanged
GeneUp181,Common up,MGC,Hypothalamus,Unchanged
GeneUp182,Common up,MGC,Hypothalamus,Unchanged
GeneUp183,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp184,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp185,Common up,MGC,Hypothalamus,Unchanged
GeneUp186,Common up,MGC,Hypothalamus,Unchanged
GeneUp187,Common up,MGC,Hypothalamus,Unchanged
GeneUp188,Common up,MGC,Hypothalamus,Unchanged
GeneUp189,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp190,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp191,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp192,Common up,MGC,Hypothalamus,Unchanged
GeneUp193,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp194,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp195,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp196,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp197,Common up,MGC,Hypothalamus,Unchanged
GeneUp198,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp199,Common up,MGC,Hypothalamus,Unchanged
GeneUp200,Common up,MGC,Hypothalamus,Unchanged
GeneUp201,Common up,MGC,Hypothalamus,Unchanged
GeneUp202,Common up,MGC,Hypothalamus,Unchanged
GeneUp203,Common up,MGC,Hypothalamus,Unchanged
GeneUp204,Common up,MGC,Hypothalamus,Unchanged
GeneUp205,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp206,Common up,MGC,Hypothalamus,Unchanged
GeneUp207,Common up,MGC,Hypothalamus,Unchanged
GeneUp208,Common up,MGC,Hypothalamus,Unchanged
GeneUp209,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp210,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp211,Common up,MGC,Hypothalamus,Unchanged
GeneUp212,Common up,MGC,Hypothalamus,Unchanged
GeneUp213,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp214,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp215,Common up,MGC,Hypothalamus,Unchanged
GeneUp216,Common up,MGC,Hypothalamus,Unchanged
GeneUp217,Common up,MGC,Hypothalamus,Unchanged
GeneUp218,Common up,MGC,Hypothalamus,Unchanged
GeneUp219,Common up,MGC,Hypothalamus,Unchanged
GeneUp220,Common up,MGC,Hypothalamus,Unchanged
GeneUp221,Common up,MGC,Hypothalamus,Unchanged
GeneUp222,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp223,Common up,MGC,Hypothalamus,Unchanged
GeneUp224,Common up,MGC,Hypothalamus,Unchanged
GeneUp225,Common up,MGC,Hypothalamus,Downregulated in T1DM
GeneUp226,Common up,MGC,Hypothalamus,Unchanged
GeneUp227,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp228,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp229,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp230,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp231,Common up,MGC,Hypothalamus,Unchanged
GeneUp232,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp233,Common up,MGC,Hypothalamus,Unchanged
GeneUp234,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp235,Common up,MGC,Hypothalamus,Unchanged
GeneUp236,Common up,MGC,Hypothalamus,Unchanged
GeneUp237,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp238,Common up,MGC,Hypothalamus,Unchanged
GeneUp239,Common up,MGC,Hypothalamus,Unchanged
GeneUp240,Common up,MGC,Hypothalamus,Unchanged
GeneUp241,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp242,Common up,MGC,Hypothalamus,Unchanged
GeneUp243,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp244,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp245,Common up,MGC,Hypothalamus,Unchanged
GeneUp246,Common up,MGC,Hypothalamus,Unchanged
GeneUp247,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp248,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp249,Common up,MGC,Hypothalamus,Unchanged
GeneUp250,Common up,MGC,Hypothalamus,Unchanged
GeneUp251,Common up,MGC,Hypothalamus,Unchanged
GeneUp252,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp253,Common up,MGC,Hypothalamus,Unchanged
GeneUp254,Common up,MGC,Hypothalamus,Unchanged
GeneUp255,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp256,Common up,MGC,Hypothalamus,Unchanged
GeneUp257,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp258,Common up,MGC,Hypothalamus,Unchanged
GeneUp259,Common up,MGC,Hypothalamus,Unchanged
GeneUp260,Common up,MGC,Hypothalamus,Unchanged
GeneUp261,Common up,MGC,Hypothalamus,Unchanged
GeneUp262,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp263,Common up,MGC,Hypothalamus,Unchanged
GeneUp264,Common up,MGC,Hypothalamus,Unchanged
GeneUp265,Common up,MGC,Hypothalamus,Unchanged
GeneUp266,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp267,Common up,MGC,Hypothalamus,Unchanged
GeneUp268,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp269,Common up,MGC,Hypothalamus,Unchanged
GeneUp270,Common up,MGC,Hypothalamus,Unchanged
GeneUp271,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp272,Common up,MGC,Hypothalamus,Unchanged
GeneUp273,Common up,MGC,Hypothalamus,Unchanged
GeneUp274,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp275,Common up,MGC,Hypothalamus,Unchanged
GeneUp276,Common up,MGC,Hypothalamus,Unchanged
GeneUp277,Common up,MGC,Hypothalamus,Unchanged
GeneUp278,Common up,MGC,Hypothalamus,Unchanged
GeneUp279,Common up,MGC,Hypothalamus,Unchanged
GeneUp280,Common up,MGC,Hypothalamus,Unchanged
GeneUp281,Common up,MGC,Hypothalamus,Unchanged
GeneUp282,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp283,Common up,MGC,Hypothalamus,Unchanged
GeneUp284,Common up,MGC,Hypothalamus,Unchanged
GeneUp285,Common up,MGC,Hypothalamus,Unchanged
GeneUp286,Common up,MGC,Hypothalamus,Downregulated in T1DM
GeneUp287,Common up,MGC,Hypothalamus,Unchanged
GeneUp288,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp289,Common up,MGC,Hypothalamus,Unchanged
GeneUp290,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp291,Common up,MGC,Hypothalamus,Unchanged
GeneUp292,Common up,MGC,Hypothalamus,Unchanged
GeneUp293,Common up,MGC,Hypothalamus,Unchanged
GeneUp294,Common up,MGC,Hypothalamus,Unchanged
GeneUp295,Common up,MGC,Hypothalamus,Unchanged
GeneUp296,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp297,Common up,MGC,Hypothalamus,Unchanged
GeneUp298,Common up,MGC,Hypothalamus,Unchanged
GeneUp299,Common up,MGC,Hypothalamus,Downregulated in T1DM
GeneUp300,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp301,Common up,MGC,Hypothalamus,Unchanged
GeneUp302,Common up,MGC,Hypothalamus,Unchanged
GeneUp303,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp304,Common up,MGC,Hypothalamus,Unchanged
GeneUp305,Common up,MGC,Hypothalamus,Unchanged
GeneUp306,Common up,MGC,Hypothalamus,Unchanged
GeneUp307,Common up,MGC,Hypothalamus,Unchanged
GeneUp308,Common up,MGC,Hypothalamus,Unchanged
GeneUp309,Common up,MGC,Hypothalamus,Unchanged
GeneUp310,Common up,MGC,Hypothalamus,Unchanged
GeneUp311,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp312,Common up,MGC,Hypothalamus,Unchanged
GeneUp313,Common up,MGC,Hypothalamus,Unchanged
GeneUp314,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp315,Common up,MGC,Hypothalamus,Unchanged
GeneUp316,Common up,MGC,Hypothalamus,Unchanged
GeneUp317,Common up,MGC,Hypothalamus,Unchanged
GeneUp318,Common up,MGC,Hypothalamus,Unchanged
GeneUp319,Common up,MGC,Hypothalamus,Unchanged
GeneUp320,Common up,MGC,Hypothalamus,Unchanged
GeneUp321,Common up,MGC,Hypothalamus,Unchanged
GeneUp322,Common up,MGC,Hypothalamus,Unchanged
GeneUp323,Common up,MGC,Hypothalamus,Unchanged
GeneUp324,Common up,MGC,Hypothalamus,Unchanged
GeneUp325,Common up,MGC,Hypothalamus,Unchanged
GeneUp326,Common up,MGC,Hypothalamus,Unchanged
GeneUp327,Common up,MGC,Hypothalamus,Unchanged
GeneUp328,Common up,MGC,Hypothalamus,Unchanged
GeneUp329,Common up,MGC,Hypothalamus,Unchanged
GeneUp330,Common up,MGC,Hypothalamus,Unchanged
GeneUp331,Common up,MGC,Hypothalamus,Unchanged
GeneUp332,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp333,Common up,MGC,Hypothalamus,Unchanged
GeneUp334,Common up,MGC,Hypothalamus,Unchanged
GeneUp335,Common up,MGC,Hypothalamus,Unchanged
GeneUp336,Common up,MGC,Hypothalamus,Unchanged
GeneUp337,Common up,MGC,Hypothalamus,Unchanged
GeneUp338,Common up,MGC,Hypothalamus,Unchanged
GeneUp339,Common up,MGC,Hypothalamus,Unchanged
GeneUp340,Common up,MGC,Hypothalamus,Unchanged
GeneUp341,Common up,MGC,Hypothalamus,Unchanged
GeneUp342,Common up,MGC,Hypothalamus,Unchanged
GeneUp343,Common up,MGC,Hypothalamus,Unchanged
GeneUp344,Common up,MGC,Hypothalamus,Unchanged
GeneUp345,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp346,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp347,Common up,MGC,Hypothalamus,Unchanged
GeneUp348,Common up,MGC,Hypothalamus,Unchanged
GeneUp349,Common up,MGC,Hypothalamus,Unchanged
GeneUp350,Common up,MGC,Hypothalamus,Unchanged
GeneUp351,Common up,MGC,Hypothalamus,Unchanged
GeneUp352,Common up,MGC,Hypothalamus,Unchanged
GeneUp353,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp354,Common up,MGC,Hypothalamus,Unchanged
GeneUp355,Common up,MGC,Hypothalamus,Unchanged
GeneUp356,Common up,MGC,Hypothalamus,Unchanged
GeneUp357,Common up,MGC,Hypothalamus,Unchanged
GeneUp358,Common up,MGC,Hypothalamus,Unchanged
GeneUp359,Common up,MGC,Hypothalamus,Unchanged
GeneUp360,Common up,MGC,Hypothalamus,Unchanged
GeneUp361,Common up,MGC,Hypothalamus,Unchanged
GeneUp362,Common up,MGC,Hypothalamus,Unchanged
GeneUp363,Common up,MGC,Hypothalamus,Unchanged
GeneUp364,Common up,MGC,Hypothalamus,Unchanged
GeneUp365,Common up,MGC,Hypothalamus,Unchanged
GeneUp366,Common up,MGC,Hypothalamus,Unchanged
GeneUp367,Common up,MGC,Hypothalamus,Unchanged
GeneUp368,Common up,MGC,Hypothalamus,Unchanged
GeneUp369,Common up,MGC,Hypothalamus,Unchanged
GeneUp370,Common up,MGC,Hypothalamus,Unchanged
GeneUp371,Common up,MGC,Hypothalamus,Unchanged
GeneUp372,Common up,MGC,Hypothalamus,Unchanged
GeneUp373,Common up,MGC,Hypothalamus,Unchanged
GeneUp374,Common up,MGC,Hypothalamus,Unchanged
GeneUp375,Common up,MGC,Hypothalamus,Unchanged
GeneUp376,Common up,MGC,Hypothalamus,Unchanged
GeneUp377,Common up,MGC,Hypothalamus,Unchanged
GeneUp378,Common up,MGC,Hypothalamus,Unchanged
GeneUp379,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp380,Common up,MGC,Hypothalamus,Unchanged
GeneUp381,Common up,MGC,Hypothalamus,Unchanged
GeneUp382,Common up,MGC,Hypothalamus,Unchanged
GeneUp383,Common up,MGC,Hypothalamus,Unchanged
GeneUp384,Common up,MGC,Hypothalamus,Unchanged
GeneUp385,Common up,MGC,Hypothalamus,Unchanged
GeneUp386,Common up,MGC,Hypothalamus,Unchanged
GeneUp387,Common up,MGC,Hypothalamus,Unchanged
GeneUp388,Common up,MGC,Hypothalamus,Unchanged
GeneUp389,Common up,MGC,Hypothalamus,Unchanged
GeneUp390,Common up,MGC,Hypothalamus,Unchanged
GeneUp391,Common up,MGC,Hypothalamus,Unchanged
GeneUp392,Common up,MGC,Hypothalamus,Unchanged
GeneUp393,Common up,MGC,Hypothalamus,Unchanged
GeneUp394,Common up,MGC,Hypothalamus,Unchanged
GeneUp395,Common up,MGC,Hypothalamus,Unchanged
GeneUp396,Common up,MGC,Hypothalamus,Unchanged
GeneUp397,Common up,MGC,Hypothalamus,Unchanged
GeneUp398,Common up,MGC,Hypothalamus,Unchanged
GeneUp399,Common up,MGC,Hypothalamus,Unchanged
GeneUp400,Common up,MGC,Hypothalamus,Unchanged
GeneUp401,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp402,Common up,MGC,Hypothalamus,Unchanged
GeneUp403,Common up,MGC,Hypothalamus,Unchanged
GeneUp404,Common up,MGC,Hypothalamus,Unchanged
GeneUp405,Common up,MGC,Hypothalamus,Unchanged
GeneUp406,Common up,MGC,Hypothalamus,Unchanged
GeneUp407,Common up,MGC,Hypothalamus,Unchanged
GeneUp408,Common up,MGC,Hypothalamus,Unchanged
GeneUp409,Common up,MGC,Hypothalamus,Unchanged
GeneUp410,Common up,MGC,Hypothalamus,Unchanged
GeneUp411,Common up,MGC,Hypothalamus,Unchanged
GeneUp412,Common up,MGC,Hypothalamus,Unchanged
GeneUp413,Common up,MGC,Hypothalamus,Unchanged
GeneUp414,Common up,MGC,Hypothalamus,Unchanged
GeneUp415,Common up,MGC,Hypothalamus,Unchanged
GeneUp416,Common up,MGC,Hypothalamus,Unchanged
GeneUp417,Common up,MGC,Hypothalamus,Unchanged
GeneUp418,Common up,MGC,Hypothalamus,Unchanged
GeneUp419,Common up,MGC,Hypothalamus,Unchanged
GeneUp420,Common up,MGC,Hypothalamus,Unchanged
GeneUp421,Common up,MGC,Hypothalamus,Unchanged
GeneUp422,Common up,MGC,Hypothalamus,Unchanged
GeneUp423,Common up,MGC,Hypothalamus,Unchanged
GeneUp424,Common up,MGC,Hypothalamus,Unchanged
GeneUp425,Common up,MGC,Hypothalamus,Unchanged
GeneUp426,Common up,MGC,Hypothalamus,Unchanged
GeneUp427,Common up,MGC,Hypothalamus,Unchanged
GeneUp428,Common up,MGC,Hypothalamus,Unchanged
GeneUp429,Common up,MGC,Hypothalamus,Unchanged
GeneUp430,Common up,MGC,Hypothalamus,Unchanged
GeneUp431,Common up,MGC,Hypothalamus,Unchanged
GeneUp432,Common up,MGC,Hypothalamus,Unchanged
GeneUp433,Common up,MGC,Hypothalamus,Unchanged
GeneUp434,Common up,MGC,Hypothalamus,Unchanged
GeneUp435,Common up,MGC,Hypothalamus,Unchanged
GeneUp436,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp437,Common up,MGC,Hypothalamus,Unchanged
GeneUp438,Common up,MGC,Hypothalamus,Unchanged
GeneUp001,Common up,MOC,Hypothalamus,Upregulated in T1DM
GeneUp002,Common up,MOC,Hypothalamus,Upregulated in T1DM
GeneUp003,Common up,MOC,Hypothalamus,Unchanged
GeneUp004,Common up,MOC,Hypothalamus,Unchanged
GeneUp005,Common up,MOC,Hypothalamus,Upregulated in T1DM
GeneUp006,Common up,MOC,Hypothalamus,Unchanged
GeneUp007,Common up,MOC,Hypothalamus,Upregulated in T1DM
GeneUp008,Common up,MOC,Hypothalamus,Upregulated in T1DM
GeneUp009,Common up,MOC,Hypothalamus,Upregulated in T1DM
GeneUp010,Common up,MOC,Hypothalamus,Unchanged
GeneUp011,Common up,MOC,Hypothalamus,Unchanged
GeneUp012,Common up,MOC,Hypothalamus,Upregulated in T1DM
GeneUp013,Common up,MOC,Hypothalamus,Upregulated in T1DM
GeneUp014,Common up,MOC,Hypothalamus,Upregulated in T1DM
GeneUp015,Common up,MOC,Hypothalamus,Unchanged
GeneUp016,Common up,MOC,Hypothalamus,Unchanged
GeneUp017,Common up,MOC,Hypothalamus,Upregulated in T1DM
GeneUp018,Common up,MOC,Hypothalamus,Upregulated in T1DM
