avg.exp,pct.exp,features.plot,id,avg.exp.scaled
0.8280,14.73,Il12b,Cycling (S),-0.1639
0.5642,7.97,Il12b,Cycling (G2M+S),-0.4971
0.2789,11.76,Il12b,Cycling (G2M) cDC1,-1.1090
0.3638,0.30,Il12b,CD207hi Nur77-,-0.8782
0.4547,11.10,Il12b,CD207lo Nur77+,-0.6845
0.4214,2.26,Il12b,Ly6D+ cDC,-0.7505
0.3251,10.06,Il12b,EpCAM+,-0.9760
0.6624,0.00,Il12b,tDC2,-0.3577
0.3614,8.38,Il12b,Cycling (G2M) cDC2,-0.8840
6.7263,72.07,Il12b,aDC1,1.6556
11.2202,82.00,Il12b,aDC2,2.1000
0.3251,0.00,Fabp5,Cycling (S),-0.9759
0.4226,24.79,Fabp5,Cycling (G2M+S),-0.7482
0.4753,0.00,Fabp5,Cycling (G2M) cDC1,-0.6460
0.2866,11.23,Fabp5,CD207hi Nur77-,-1.0855
0.6302,11.41,Fabp5,CD207lo Nur77+,-0.4011
0.4687,20.73,Fabp5,Ly6D+ cDC,-0.6582
0.6697,3.23,Fabp5,EpCAM+,-0.3482
0.5144,0.43,Fabp5,tDC2,-0.5773
0.3157,15.88,Fabp5,Cycling (G2M) cDC2,-1.0014
4.4742,79.70,Fabp5,aDC1,1.3014
7.8341,86.61,Fabp5,aDC2,1.7880
0.3083,13.81,Ccl22,Cycling (S),-1.0221
0.4290,24.86,Ccl22,Cycling (G2M+S),-0.7351
0.3516,0.00,Ccl22,Cycling (G2M) cDC1,-0.9080
0.5248,1.44,Ccl22,CD207hi Nur77-,-0.5599
0.2943,19.10,Ccl22,CD207lo Nur77+,-1.0624
0.5132,0.00,Ccl22,Ly6D+ cDC,-0.5795
0.3319,0.00,Ccl22,EpCAM+,-0.9579
0.5498,24.73,Ccl22,tDC2,-0.5196
0.8672,17.06,Ccl22,Cycling (G2M) cDC2,-0.1237
4.9723,66.69,Ccl22,aDC1,1.3931
5.2074,82.89,Ccl22,aDC2,1.4332
