,AP_1,AP_2,AP_3,AP_4,AP_5,AP_6,AP_7,AP_8,AP_9,AP_10,AP_11,AP_12,AP_13,AP_14,AP_15,AP_16,AP_17,AP_18,AP_19,AP_20,AP_21,AP_22,AP_23,AP_24,AP_25,AP_26,AP_27,AP_28,AP_29,AP_30,AP_31,AP_32,AP_33,AP_34,AP_35,AP_36,AP_37,AP_38,AP_39,AP_40,AP_41,AP_42,AP_43,AP_44,AP_45,AP_46,AP_47,AP_48,AP_49,AP_50,AP_51,AP_52,AP_53,AP_54,AP_55,AP_56,AP_57,AP_58,AP_59,AP_60,AP_61,AP_62,AP_63,AP_64,AP_65,AP_66,AP_67,AP_68,AP_69,AP_70,AP_71,AP_72,AP_73,AP_74,AP_75,AP_76,AP_77,AP_78,AP_79,AP_80,AP_81,AP_82,AP_83,AP_84,AP_85,AP_86,AP_87,AP_88,AP_89,AP_90,AP_91,AP_92,AP_93,AP_94,AP_95,AP_96,AP_97,AP_98,AP_99,AP_100
HOXB1,0.0036052,0.0225222,0.0100107,0.0060842,0.0114428,0.0035721,0.0196990,0.0144062,0.0212765,0.0186741,0.0139760,0.0018733,0.0032963,0.0184194,0.0175177,0.0125264,0.0161110,0.0341494,0.0425348,0.0354968,0.0523572,0.0763917,0.0951008,0.1253274,0.1565378,0.2123590,0.2685717,0.3347273,0.3949584,0.4739561,0.5542889,0.6274627,0.6955194,0.7624542,0.8166389,0.8630256,0.9093826,0.9229630,0.9303477,0.8902310,0.8644665,0.8018502,0.7464264,0.6822268,0.5899635,0.5162274,0.4314277,0.3643982,0.3136818,0.2445106,0.1945431,0.1644220,0.1063581,0.1030426,0.0778972,0.0461609,0.0435122,0.0387286,0.0358631,0.0322360,0.0202077,0.0162492,0.0089689,0.0170949,0.0249053,0.0087664,0.0014832,0.0116090,0.0008910,0.0115320,0.0173941,0.0222324,0.0110156,0.0160039,0.0155057,0.0049429,0.0144526,0.0040202,0.0224424,0.0196704,0.0091492,0.0092579,0.0101752,0.0168748,0.0023805,0.0036766,0.0089868,0.0216516,0.0194069,0.0027924,0.0016822,0.0247630,0.0220288,0.0191850,0.0248768,0.0070382,0.0191084,0.0028694,0.0054045,0.0212224
HOXB2,0.0126436,0.0169094,0.0174312,0.0227088,0.0131585,0.0188351,0.0201253,0.0218995,0.0048249,0.0253692,0.0129731,0.0283936,0.0141617,0.0204993,0.0207926,0.0498831,0.0407309,0.0520564,0.0715538,0.0848168,0.1116886,0.1360352,0.1575568,0.1942196,0.2498584,0.2978254,0.3261443,0.3981525,0.4451701,0.5077459,0.5812094,0.6447644,0.7197222,0.7814069,0.8431052,0.9080485,0.9603374,0.9790228,1.0199612,1.0404022,1.0347199,1.0370462,1.0171018,1.0000767,0.9546239,0.9035911,0.8445501,0.7774144,0.7095821,0.6533007,0.5851171,0.5073500,0.4524449,0.3943892,0.3426533,0.2760748,0.2279093,0.1950472,0.1625207,0.1329274,0.1051128,0.0794224,0.0789332,0.0454390,0.0480756,0.0297316,0.0292849,0.0137466,0.0315500,0.0087330,0.0180604,0.0188884,0.0208096,0.0051004,0.0178946,0.0235111,0.0146806,0.0147136,0.0079769,0.0182160,0.0141122,0.0038806,0.0034499,0.0229991,0.0038559,0.0249889,0.0001556,0.0189980,0.0234756,0.0223047,0.0146801,0.0081332,0.0069360,0.0069480,0.0188157,0.0096587,0.0097379,0.0210061,0.0101074,0.0193609
HOXB3,0.0024094,0.0174133,0.0030531,0.0153967,0.0153465,0.0272689,0.0111634,0.0153215,0.0336009,0.0227438,0.0227993,0.0381933,0.0533517,0.0600536,0.0552577,0.0753257,0.0971987,0.1060246,0.1240817,0.1537722,0.1620157,0.1992887,0.2201873,0.2631897,0.3165013,0.3566831,0.4012839,0.4465841,0.5097745,0.5764106,0.6252117,0.6802651,0.7630338,0.8031802,0.8846997,0.9390663,0.9771389,1.0367552,1.0803262,1.1031467,1.1232034,1.1396080,1.1617342,1.1617630,1.1654168,1.1344922,1.1017278,1.0850913,1.0476633,0.9919234,0.9435032,0.8775070,0.8216127,0.7664127,0.7001604,0.6383268,0.5941542,0.5314129,0.4586826,0.4247888,0.3766826,0.3218096,0.2879605,0.2439107,0.1949453,0.1705126,0.1479340,0.1221974,0.1011096,0.0977065,0.0827490,0.0515255,0.0545524,0.0352051,0.0485990,0.0222352,0.0169891,0.0232876,0.0219835,0.0175660,0.0166065,0.0092825,0.0042261,0.0176513,0.0124087,0.0143362,0.0068823,0.0125900,0.0020025,0.0114347,0.0047353,0.0177440,0.0047119,0.0152742,0.0082194,0.0236752,0.0199269,0.0247585,0.0149673,0.0062470
HOXB4,0.0254349,0.0090834,0.0238397,0.0113741,0.0322221,0.0391990,0.0198471,0.0252412,0.0376645,0.0461186,0.0634299,0.0597445,0.0678752,0.0920634,0.1016520,0.1124824,0.1308346,0.1563570,0.1670820,0.1978582,0.2329744,0.2613898,0.3014336,0.3298520,0.3890399,0.4160478,0.4634516,0.5268464,0.5704839,0.6189546,0.6719262,0.7418540,0.8013208,0.8497124,0.9041832,0.9531191,1.0074192,1.0667153,1.1085478,1.1439868,1.1886944,1.2114165,1.2528338,1.2634090,1.2713474,1.2791420,1.2761780,1.2758690,1.2673387,1.2363314,1.2021830,1.1723404,1.1254871,1.0962535,1.0426619,0.9826758,0.9245246,0.8807663,0.8210608,0.7665034,0.7139670,0.6390359,0.5962749,0.5543288,0.4872004,0.4496184,0.3944341,0.3517005,0.3173883,0.2682447,0.2456858,0.2261530,0.1847102,0.1735613,0.1374604,0.1272725,0.1065230,0.0797473,0.0703464,0.0620966,0.0586216,0.0479164,0.0362448,0.0478439,0.0264643,0.0381270,0.0226376,0.0206790,0.0220815,0.0146943,0.0107447,0.0061160,0.0136146,0.0156409,0.0060473,0.0170974,0.0011509,0.0092018,0.0029209,0.0010133
HOXB5,0.0294941,0.0165536,0.0159795,0.0237721,0.0147086,0.0286447,0.0209558,0.0340706,0.0393538,0.0483904,0.0453162,0.0431688,0.0499475,0.0572494,0.0604701,0.0677746,0.0905415,0.0866130,0.1016917,0.1190393,0.1149459,0.1477789,0.1588267,0.1727514,0.1895105,0.2075750,0.2127431,0.2349600,0.2639045,0.2666051,0.2982750,0.3259244,0.3507542,0.3533974,0.3706780,0.4117949,0.4163977,0.4506826,0.4689004,0.4785805,0.4933017,0.5182492,0.5123256,0.5428180,0.5477797,0.5520330,0.5660317,0.5622699,0.5569088,0.5673150,0.5589810,0.5425393,0.5490157,0.5327252,0.5324762,0.5130670,0.4956161,0.4633475,0.4468800,0.4457361,0.4273921,0.3996551,0.3648361,0.3661191,0.3244592,0.3222140,0.2986836,0.2642550,0.2401096,0.2289101,0.2109531,0.2055117,0.1795789,0.1601528,0.1542327,0.1249568,0.1202116,0.1124507,0.1006338,0.0742811,0.0841142,0.0640788,0.0650171,0.0618880,0.0534214,0.0471394,0.0481945,0.0428016,0.0399159,0.0186032,0.0223534,0.0275242,0.0126489,0.0114629,0.0151707,0.0270425,0.0165050,0.0125483,0.0138688,0.0174789
HOXB6,0.0161532,0.0115632,0.0040433,0.0061648,0.0073465,0.0185494,0.0117023,0.0164721,0.0070430,0.0249733,0.0185921,0.0094580,0.0053710,0.0104969,0.0105761,0.0155306,0.0230708,0.0001789,0.0151417,0.0068196,0.0112205,0.0127842,0.0133504,0.0249236,0.0238395,0.0084969,0.0030733,0.0088730,0.0085730,0.0237002,0.0203561,0.0374419,0.0252302,0.0533920,0.0583363,0.0652428,0.0944827,0.1083021,0.1443180,0.2002650,0.2364976,0.2760702,0.3465765,0.4019435,0.4483909,0.5029641,0.5592379,0.5957695,0.6444329,0.6636027,0.6925516,0.6785950,0.6757150,0.6325471,0.5958094,0.5633469,0.4975528,0.4438498,0.3994095,0.3502801,0.2735516,0.2364609,0.1825235,0.1598329,0.1328587,0.1033694,0.0640435,0.0493062,0.0542904,0.0277024,0.0238779,0.0217027,0.0258314,0.0160827,0.0048781,0.0084315,0.0176859,0.0251552,0.0029084,0.0079406,0.0178907,0.0050543,0.0031720,0.0165795,0.0144613,0.0082661,0.0198686,0.0016323,0.0238763,0.0049290,0.0127622,0.0202977,0.0142602,0.0073944,0.0182484,0.0097720,0.0162841,0.0162702,0.0118598,0.0027243
HOXB7,0.0205287,0.0121757,0.0125303,0.0142223,0.0130738,0.0062506,0.0157800,0.0104918,0.0198100,0.0027087,0.0093105,0.0037859,0.0063207,0.0007429,0.0019991,0.0097752,0.0028253,0.0057958,0.0198511,0.0030287,0.0042828,0.0169580,0.0146864,0.0210286,0.0249906,0.0257316,0.0163468,0.0286577,0.0331050,0.0293181,0.0466588,0.0550421,0.0733402,0.0954321,0.0985799,0.1251872,0.1555078,0.1749998,0.2256690,0.2569259,0.2978130,0.3528971,0.3901066,0.4349472,0.5050958,0.5548802,0.6047947,0.6413231,0.6954300,0.7347075,0.7682069,0.7844624,0.7962999,0.8099521,0.7938569,0.7951013,0.7622907,0.7279371,0.6979408,0.6592878,0.5979803,0.5596995,0.5072041,0.4610915,0.4042239,0.3646443,0.3207462,0.2597847,0.2256700,0.1874951,0.1537677,0.1438556,0.1203850,0.0978391,0.0769344,0.0501629,0.0466288,0.0518447,0.0451873,0.0259999,0.0251443,0.0189925,0.0266814,0.0075201,0.0259633,0.0190254,0.0180583,0.0086725,0.0161896,0.0090173,0.0155843,0.0139870,0.0185674,0.0205681,0.0043836,0.0020029,0.0145686,0.0157808,0.0138794,0.0070608
HOXB8,0.0125256,0.0134916,0.0027165,0.0067272,0.0172959,0.0094907,0.0121770,0.0171192,0.0110657,0.0023119,0.0173587,0.0161210,0.0128364,0.0076829,0.0085971,0.0081854,0.0027086,0.0263645,0.0046325,0.0174899,0.0123738,0.0212097,0.0339822,0.0235165,0.0416470,0.0421107,0.0531217,0.0452066,0.0464277,0.0610289,0.0781248,0.0905455,0.1178508,0.1416277,0.1439089,0.1884954,0.2000086,0.2364686,0.2710130,0.3190467,0.3588427,0.4116685,0.4397260,0.4858133,0.5340717,0.5901431,0.6335445,0.6953882,0.7348473,0.7709301,0.8070990,0.8392513,0.8658374,0.9061585,0.9206446,0.9296803,0.9220908,0.9261487,0.9117246,0.8822480,0.8503986,0.8268716,0.7960097,0.7489423,0.6987166,0.6608866,0.6131129,0.5667692,0.5227369,0.4699215,0.4330617,0.3821334,0.3425770,0.2937235,0.2487180,0.2383980,0.1902449,0.1595281,0.1430362,0.1171294,0.1032489,0.0900807,0.0620471,0.0737400,0.0516728,0.0539839,0.0456832,0.0286732,0.0388012,0.0367135,0.0262968,0.0167767,0.0156328,0.0052087,0.0081626,0.0036744,0.0265788,0.0219785,0.0235728,0.0210209
HOXB9,0.0055773,0.0006059,0.0170980,0.0143340,0.0186218,0.0040629,0.0232005,0.0190197,0.0144677,0.0163646,0.0120385,0.0229412,0.0187003,0.0267316,0.0107614,0.0130428,0.0146912,0.0100258,0.0136112,0.0361396,0.0287382,0.0308533,0.0355492,0.0440684,0.0465586,0.0715149,0.0741292,0.0820704,0.1042941,0.0975323,0.1288623,0.1448254,0.1698465,0.1933398,0.2220409,0.2466091,0.2679012,0.2960152,0.3490038,0.3687700,0.4215457,0.4697204,0.5133893,0.5365510,0.5978197,0.6402390,0.6736877,0.7215995,0.7866800,0.8184399,0.8706084,0.9089198,0.9346523,0.9618664,0.9911701,1.0020180,1.0181964,1.0300871,1.0354932,1.0333450,1.0320466,1.0144850,1.0141341,0.9731888,0.9479885,0.9378773,0.8957431,0.8488745,0.8043283,0.7562432,0.7210650,0.6776042,0.6335777,0.5894414,0.5385432,0.4869992,0.4463327,0.4063630,0.3595651,0.3213390,0.2956823,0.2543919,0.2450471,0.2004160,0.1874025,0.1568286,0.1476491,0.1272037,0.1045742,0.0835302,0.0790769,0.0618070,0.0561174,0.0469913,0.0457269,0.0499920,0.0303463,0.0291012,0.0193117,0.0152573
HOXC4,0.0252118,0.0057920,0.0203971,0.0149395,0.0122073,0.0231251,0.0093189,0.0119748,0.0118460,0.0195656,0.0147667,0.0201153,0.0309834,0.0334603,0.0323431,0.0206489,0.0277988,0.0421739,0.0301676,0.0526026,0.0568043,0.0631894,0.0703757,0.0604266,0.0716153,0.0842834,0.1128223,0.1219344,0.1455675,0.1404590,0.1816982,0.1828602,0.2051515,0.2497581,0.2603866,0.2856847,0.3169476,0.3664112,0.4001781,0.4409037,0.4840975,0.5105201,0.5684112,0.5943031,0.6427954,0.6968035,0.7275238,0.7890369,0.8133384,0.8572425,0.9099244,0.9581405,0.9752240,1.0112727,1.0512443,1.0773684,1.1121831,1.1336503,1.1399655,1.1650490,1.1682776,1.1548590,1.1531080,1.1626998,1.1428637,1.1292854,1.1022943,1.0895634,1.0478167,1.0090903,0.9909340,0.9612438,0.9137171,0.8611531,0.8281301,0.7724906,0.7414069,0.6818786,0.6457702,0.6141655,0.5710800,0.5237462,0.4679583,0.4477338,0.4113891,0.3713913,0.3338122,0.3019238,0.2787538,0.2445769,0.2077375,0.1989852,0.1819764,0.1419602,0.1295215,0.1292288,0.1068477,0.0866981,0.0856861,0.0785264
HOXC5,0.0066366,0.0034024,0.0154624,0.0058134,0.0155835,0.0068925,0.0031569,0.0142562,0.0224361,0.0191674,0.0189841,0.0112905,0.0218927,0.0247580,0.0102718,0.0027525,0.0077531,0.0170120,0.0214398,0.0207782,0.0145007,0.0183629,0.0037383,0.0018993,0.0222257,0.0205838,0.0223583,0.0207684,0.0036164,0.0162350,0.0125589,0.0001402,0.0166684,0.0049019,0.0185608,0.0253159,0.0041087,0.0112989,0.0163789,0.0241628,0.0286102,0.0198022,0.0253521,0.0181326,0.0343288,0.0551620,0.0804103,0.0916777,0.1178236,0.1636487,0.2087503,0.2634398,0.3297342,0.4115463,0.5220394,0.6066036,0.7292109,0.8190877,0.9333634,1.0373442,1.1124233,1.1966109,1.2489685,1.2674783,1.2732467,1.2680903,1.2087799,1.1533588,1.0679013,0.9643856,0.8736937,0.7640193,0.6499336,0.5448824,0.4609423,0.3535354,0.2941536,0.2346103,0.1806568,0.1219154,0.0901223,0.0718705,0.0656655,0.0460592,0.0304605,0.0240658,0.0152806,0.0093171,0.0098112,0.0268066,0.0130982,0.0096561,0.0198371,0.0227432,0.0132984,0.0206370,0.0029928,0.0196859,0.0019325,0.0172646
