cell,UMAP_1,UMAP_2,celltype,group
l313,0.5328,1.5616,T cells,Control
l314,1.1984,0.0373,T cells,Control
l315,1.4394,1.9626,T cells,Treat
l316,-1.287,1.3775,T cells,Control
l317,0.469,1.1608,T cells,Control
l318,-0.1627,0.0795,T cells,Treat
l319,-0.6674,2.4715,T cells,Control
l320,0.215,1.1256,T cells,Control
l321,-1.0542,2.4937,T cells,Treat
l322,-0.2483,-0.0179,T cells,Control
l323,1.0378,0.5646,T cells,Control
l324,-0.868,1.7825,T cells,Treat
l325,-2.9529,1.2995,T cells,Control
l326,-0.9793,0.9798,T cells,Control
l327,0.129,-0.6738,T cells,Treat
l328,2.6206,2.5892,T cells,Control
l329,0.3308,2.6672,T cells,Control
l330,0.7036,3.0126,T cells,Treat
l331,0.4142,1.3555,T cells,Control
l332,-1.1546,1.5443,T cells,Control
l333,0.9298,1.4149,T cells,Treat
l334,-0.7751,-0.28,T cells,Control
l335,-0.5979,-0.0208,T cells,Control
l336,0.0418,1.1142,T cells,Treat
l337,-0.2964,2.1913,T cells,Control
l338,0.2933,2.7783,T cells,Control
l339,3.05,0.7947,T cells,Treat
l340,0.3083,0.8768,T cells,Control
l341,-3.5049,2.9564,T cells,Control
l342,-0.0654,2.4465,T cells,Treat
l343,-0.7197,1.2157,T cells,Control
l344,2.7825,0.4225,T cells,Control
l345,-0.9797,0.7373,T cells,Treat
l346,0.8437,0.0854,T cells,Control
l347,0.9416,1.2477,T cells,Control
l348,1.921,0.0855,T cells,Treat
l349,-1.4274,0.7123,T cells,Control
l350,1.6162,1.8219,T cells,Control
l351,0.8266,3.5201,T cells,Treat
l352,0.638,0.6405,T cells,Control
l353,-0.2491,0.6254,T cells,Control
l354,-0.4235,0.2142,T cells,Treat
l355,3.0556,0.3129,T cells,Control
l356,2.5363,2.4135,T cells,Control
l357,-0.3755,1.5536,T cells,Treat
l358,-2.0264,1.019,T cells,Control
l359,0.8603,2.1793,T cells,Control
l360,1.0607,-0.0997,T cells,Treat
l361,0.8123,-0.8362,T cells,Control
l362,-0.3851,0.2968,T cells,Control
l363,2.6505,0.565,T cells,Treat
l364,-0.2762,0.6926,T cells,Control
l365,1.1431,1.2004,T cells,Control
l366,1.6415,0.6807,T cells,Treat
l367,-0.683,2.6677,T cells,Control
l368,-1.2838,1.6288,T cells,Control
l369,0.4393,2.0028,T cells,Treat
l370,-1.5692,-0.6053,T cells,Control
l371,-0.9054,-0.6224,T cells,Control
l372,0.4474,2.9009,T cells,Treat
l373,-0.7136,1.0706,T cells,Control
l374,1.0229,4.075,T cells,Control
l375,0.2642,0.042,T cells,Treat
l376,-0.6208,3.0221,T cells,Control
l377,1.339,1.9919,T cells,Control
l378,-0.2144,-0.3596,T cells,Treat
l379,2.3057,1.3091,T cells,Control
l380,1.3455,1.3646,T cells,Control
l381,-0.5463,2.8049,T cells,Treat
l382,0.7652,2.8043,T cells,Control
l383,0.6225,-0.2216,T cells,Control
l384,0.6162,1.3633,T cells,Treat
l385,-1.6005,1.4444,T cells,Control
l386,0.9384,0.9234,T cells,Control
l387,-1.6749,2.2988,T cells,Treat
l388,-0.9084,2.4018,T cells,Control
l389,0.4412,1.6326,T cells,Control
l390,2.4844,2.6065,T cells,Treat
l391,-1.1689,1.9186,T cells,Control
l392,2.4041,3.9395,T cells,Control
l393,0.0949,1.8955,T cells,Treat
l394,0.105,-0.1807,T cells,Control
l395,-2.2465,1.48,T cells,Control
l396,2.2877,-0.8686,T cells,Treat
l397,1.0785,1.5909,T cells,Control
l398,-0.4508,1.388,T cells,Control
l399,1.4668,1.8758,T cells,Treat
l400,0.0834,1.6903,T cells,Control
l401,0.8018,0.1682,T cells,Control
l402,1.9995,1.0612,T cells,Treat
l403,0.0773,0.8701,T cells,Control
l404,-1.8646,1.7043,T cells,Control
l405,-0.3239,3.0692,T cells,Treat
l406,0.5448,0.6007,T cells,Control
l407,0.8662,1.7283,T cells,Control
l408,-1.3291,2.4418,T cells,Treat
l409,0.5005,1.8646,T cells,Control
l410,-0.3877,0.5802,T cells,Control
l411,0.0171,0.9592,T cells,Treat
l412,1.7622,-0.8191,T cells,Control
l413,1.0055,1.7761,T cells,Control
l414,-1.7149,1.0168,T cells,Treat
l415,1.3466,0.4398,T cells,Control
l416,-1.5105,1.4295,T cells,Control
l417,1.3129,3.263,T cells,Treat
l418,-1.4072,1.166,T cells,Control
l419,-0.8255,1.1115,T cells,Control
l420,0.4411,0.7151,T cells,Treat
l421,2.2222,3.1277,T cells,Control
l422,-0.0101,0.3316,T cells,Control
l423,-0.1915,2.8821,T cells,Treat
l424,-1.393,1.0293,T cells,Control
l425,3.4012,0.7121,T cells,Control
l426,-0.0786,2.2802,T cells,Treat
l427,0.1256,1.397,T cells,Control
l428,0.8375,0.5464,T cells,Control
l429,-0.2374,-0.5398,T cells,Treat
l430,-0.9773,0.4773,T cells,Control
l431,-0.7345,1.8296,T cells,Control
l432,2.289,0.5188,T cells,Treat
l433,-1.5211,2.6136,T cells,Control
l434,1.2911,1.3778,T cells,Control
l435,-1.9724,1.5606,T cells,Treat
l436,-1.4565,1.5451,T cells,Control
l437,2.8653,2.2969,T cells,Control
l438,0.6761,0.9209,T cells,Treat
l439,2.5971,3.0813,T cells,Control
l440,-0.1979,1.4414,T cells,Control
l441,-1.2565,0.6512,T cells,Treat
l442,0.3929,1.8862,T cells,Control
l443,0.884,1.4159,T cells,Control
l444,-2.5281,1.7798,T cells,Treat
l445,-1.5415,1.7738,T cells,Control
l446,1.3565,2.6441,T cells,Control
l447,-0.856,-1.8143,T cells,Treat
l448,0.5252,0.2074,T cells,Control
l449,2.7759,2.0038,T cells,Control
l450,0.2667,1.6015,T cells,Treat
l451,-0.0524,2.1083,T cells,Control
l452,-0.1803,1.7998,T cells,Control
l453,1.6931,1.3513,T cells,Treat
l454,1.0153,3.5488,T cells,Control
l455,-0.167,1.105,T cells,Control
l456,-0.698,-0.2547,T cells,Treat
l457,1.7539,2.203,T cells,Control
l458,1.1636,1.5604,T cells,Control
l459,0.7848,0.1134,T cells,Treat
l460,-0.6643,1.2473,T cells,Control
l461,-1.2234,1.4335,T cells,Control
l462,0.0488,0.6144,T cells,Treat
l463,2.2379,0.5305,T cells,Control
l464,0.7175,1.7611,T cells,Control
l465,0.9677,1.4213,T cells,Treat
l466,1.4897,0.7366,T cells,Control
l467,3.4237,2.0703,T cells,Control
l468,2.4211,2.9088,T cells,Treat
l469,0.5588,2.0501,T cells,Control
l470,-0.4962,1.2204,T cells,Control
l471,-1.624,1.8505,T cells,Treat
l472,-0.6254,3.0806,T cells,Control
l473,3.0056,3.132,T cells,Control
l474,0.0454,0.1985,T cells,Treat
l475,0.1276,0.2881,T cells,Control
l476,0.3891,1.7408,T cells,Control
l477,-0.5603,1.1756,T cells,Treat
l478,-0.0115,0.796,T cells,Control
l479,0.5587,1.885,T cells,Control
l480,1.3737,0.7006,T cells,Treat
l481,0.8865,1.3076,T cells,Control
l482,-0.1796,2.122,T cells,Control
l483,0.0863,0.2787,T cells,Treat
l484,-0.4737,0.0832,T cells,Control
l485,1.7057,2.1009,T cells,Control
l486,0.775,1.0102,T cells,Treat
l487,-0.7648,1.0072,T cells,Control
l488,0.904,-0.8098,T cells,Control
l489,1.4389,1.1336,T cells,Treat
l490,2.9703,0.5163,T cells,Control
l491,1.3066,1.3093,T cells,Control
l492,-1.0655,0.8369,T cells,Treat
l493,-1.5413,2.9315,T cells,Control
l494,0.618,1.4404,T cells,Control
l495,1.9435,-0.1347,T cells,Treat
l496,-0.1701,-0.2309,T cells,Control
l497,1.7519,0.6517,T cells,Control
l498,-1.1706,2.2106,T cells,Treat
l499,0.0625,2.7931,T cells,Control
l500,-0.7389,1.7897,T cells,Control
l501,1.0126,-0.1112,T cells,Treat
l502,2.1893,-0.993,T cells,Control
l503,-0.8122,-1.4168,T cells,Control
l504,-1.8185,2.5685,T cells,Treat
l505,-2.0025,1.2648,T cells,Control
l506,1.719,1.3303,T cells,Control
l507,3.0387,1.5735,T cells,Treat
l508,-0.6712,1.2133,T cells,Control
l509,-0.1879,0.2964,T cells,Control
l510,0.8297,2.0055,T cells,Treat
l511,1.7771,2.4106,T cells,Control
l512,0.0349,0.7212,T cells,Control
l513,-0.7032,0.0789,T cells,Treat
l514,-0.1321,3.2251,T cells,Control
l515,-0.3691,2.273,T cells,Control
l516,1.7101,2.404,T cells,Treat
l517,-0.2286,1.8876,T cells,Control
l518,0.5163,1.7528,T cells,Control
l519,1.5591,2.2114,T cells,Treat
l520,0.5007,3.6988,T cells,Control
l521,-0.1579,-0.395,T cells,Control
l522,-1.6087,1.0516,T cells,Treat
l523,0.3157,2.408,T cells,Control
l524,1.9745,2.0755,T cells,Control
l525,1.0879,2.6821,T cells,Treat
l526,1.497,2.5158,T cells,Control
l527,-0.825,-0.247,T cells,Control
l528,1.5776,1.6145,T cells,Treat
l529,-1.0585,0.2799,T cells,Control
l530,-0.93,1.2544,T cells,Control
l531,1.311,0.4839,T cells,Treat
l532,1.6989,1.8056,T cells,Control
l533,-1.2148,2.379,T cells,Control
l534,0.6011,0.3054,T cells,Treat
l535,0.8524,2.3188,T cells,Control
l536,-1.5888,2.3705,T cells,Control
l537,-1.0162,-0.0872,T cells,Treat
l538,-3.1472,-0.6112,T cells,Control
l539,0.2533,1.9036,T cells,Control
l540,0.5147,0.9178,T cells,Treat
l541,0.4919,2.3493,T cells,Control
l542,-0.6535,0.1704,T cells,Control
l543,-1.3023,2.1724,T cells,Treat
l544,0.5779,3.3465,T cells,Control
l545,-1.6954,0.2286,T cells,Control
l546,3.4466,0.3673,T cells,Treat
l547,1.3298,2.32,T cells,Control
l548,-0.1396,1.1471,T cells,Control
l549,0.1195,0.5815,T cells,Treat
l550,0.975,1.926,T cells,Control
l551,-1.0665,0.2808,T cells,Control
l552,0.478,1.7001,T cells,Treat
l553,0.7037,0.367,T cells,Control
l554,-0.9335,1.8575,T cells,Control
l555,0.829,1.5628,T cells,Treat
l556,1.3886,-0.0819,T cells,Control
l557,2.4462,1.7726,T cells,Control
l558,-1.6837,2.3294,T cells,Treat
l559,1.2747,2.4364,T cells,Control
l560,0.6037,0.5327,T cells,Control
l561,0.5549,2.0683,T cells,Treat
l562,-0.5694,1.5624,T cells,Control
l563,0.9667,2.6036,T cells,Control
l564,-1.1749,0.2964,T cells,Treat
l565,1.3577,-0.1994,T cells,Control
l566,-0.0456,1.4627,T cells,Control
l567,-0.3448,1.7351,T cells,Treat
l568,-0.5094,0.4788,T cells,Control
l569,-0.6776,1.135,T cells,Control
l570,0.9693,1.358,T cells,Treat
l571,2.3148,1.3536,T cells,Control
l572,2.8878,-0.4703,T cells,Control
l573,-0.536,0.2659,T cells,Treat
l574,-0.9464,1.4957,T cells,Control
l575,2.0475,0.5109,T cells,Control
l576,-1.0722,1.4361,T cells,Treat
l577,-2.1877,1.5125,T cells,Control
l578,-1.0104,2.5496,T cells,Control
l579,-1.06,1.089,T cells,Treat
l580,3.5502,0.7957,T cells,Control
l581,1.6363,0.1957,T cells,Control
l582,0.7176,2.112,T cells,Treat
l583,1.8501,0.6046,T cells,Control
l584,-1.5185,1.4812,T cells,Control
l585,-0.6921,2.1317,T cells,Treat
l586,1.4486,1.8198,T cells,Control
l587,-2.1716,-0.281,T cells,Control
l588,0.4613,0.5888,T cells,Treat
l589,1.6706,0.1725,T cells,Control
l590,1.4653,1.1083,T cells,Control
l591,-1.6479,1.5715,T cells,Treat
l592,1.8538,0.5984,T cells,Control
l593,1.0023,1.6364,T cells,Control
l594,-1.7615,1.3681,T cells,Treat
l595,-0.2769,1.0672,T cells,Control
l596,-2.8675,3.1139,T cells,Control
l597,-2.1043,1.8473,T cells,Treat
l598,2.0306,0.3696,T cells,Control
l599,-0.8862,0.4792,T cells,Control
l600,1.3224,0.006,T cells,Treat
l601,-1.5192,1.9448,T cells,Control
l602,0.333,1.0554,T cells,Control
l603,-3.0689,0.4215,T cells,Treat
l604,-1.8628,1.556,T cells,Control
l605,-0.3748,2.5871,T cells,Control
l606,0.0359,0.9254,T cells,Treat
l607,2.5618,3.641,T cells,Control
l608,0.8451,1.3814,T cells,Control
l609,0.272,2.8363,T cells,Treat
l610,0.1087,1.5294,T cells,Control
l611,0.7359,0.4009,T cells,Control
l612,-1.3566,0.4932,T cells,Treat
l613,-0.6008,1.7968,T cells,Control
l614,-0.1819,2.3037,T cells,Control
l615,-1.1798,1.9638,T cells,Treat
l616,-0.9173,0.7388,T cells,Control
l617,-0.9377,1.2337,T cells,Control
l618,-0.752,0.2456,T cells,Treat
l619,-2.2261,0.8217,T cells,Control
l620,-1.4449,1.5089,T cells,Control
l621,-0.6316,-0.3251,T cells,Treat
l622,-0.1412,1.173,T cells,Control
l623,1.5616,0.5184,T cells,Control
l624,-1.2151,1.4485,T cells,Treat
l625,1.0023,1.3636,T cells,Control
l626,0.4567,0.6657,T cells,Control
l627,-1.0168,1.3232,T cells,Treat
l628,-1.1618,2.1735,T cells,Control
l629,0.3567,0.2894,T cells,Control
l630,1.1785,-0.4307,T cells,Treat
l631,1.1234,1.9801,T cells,Control
l632,-0.1434,2.4963,T cells,Control
l633,1.0263,3.043,T cells,Treat
l634,1.5243,1.3026,T cells,Control
l635,-0.0203,-0.0001,T cells,Control
l636,3.1329,-0.3157,T cells,Treat
l637,1.4414,2.1001,T cells,Control
l638,-0.204,0.0245,T cells,Control
l639,1.5468,2.6323,T cells,Treat
l640,-0.2725,0.9369,T cells,Control
l641,-0.8204,2.3036,T cells,Control
l642,1.5338,-0.3374,T cells,Treat
l643,-0.235,0.2487,T cells,Control
l644,-0.4829,-0.1939,T cells,Control
l645,0.634,1.7688,T cells,Treat
l646,-0.4532,0.6472,T cells,Control
l647,0.171,1.2949,T cells,Control
l648,1.7841,1.0928,T cells,Treat
l649,-1.1669,0.9711,T cells,Control
l650,1.2273,2.4303,T cells,Control
l651,1.1967,1.2482,T cells,Treat
l652,0.4545,1.5242,T cells,Control
l653,-1.5855,1.4346,T cells,Control
l654,-2.0507,1.2752,T cells,Treat
l655,1.4465,1.4896,T cells,Control
l656,-2.2077,0.3229,T cells,Control
l657,-1.3186,1.9433,T cells,Treat
l658,1.3989,1.0936,T cells,Control
l659,0.9264,0.9971,T cells,Control
l660,1.3465,1.9894,T cells,Treat
l661,-0.0838,1.9218,T cells,Control
l662,1.0507,1.5775,T cells,Control
l663,1.9374,2.3598,T cells,Treat
l664,-0.1789,-0.9792,T cells,Control
l665,1.8868,0.3665,T cells,Control
l666,3.4156,2.1423,T cells,Treat
l667,1.002,1.0865,T cells,Control
l668,-0.5685,0.5026,T cells,Control
l669,-1.5489,2.2088,T cells,Treat
l670,2.083,2.4125,T cells,Control
l671,0.4145,0.6137,T cells,Control
l672,-0.4864,1.9619,T cells,Treat
l673,-2.6131,-0.8711,T cells,Control
