patient,ctniche,Proportion
FZGT_P19,niche_9,0.084989
FZGT_P4,niche_1,0.155998
FZGT_P4,niche_2,0.068416
FZGT_P4,niche_3,0.083246
FZGT_P4,niche_4,0.044564
FZGT_P4,niche_5,0.156092
FZGT_P4,niche_6,0.104873
FZGT_P4,niche_7,0.125590
FZGT_P4,niche_8,0.154761
FZGT_P4,niche_9,0.106460
GTIZ_P13,niche_1,0.110429
GTIZ_P13,niche_2,0.064664
GTIZ_P13,niche_3,0.182561
GTIZ_P13,niche_4,0.063549
GTIZ_P13,niche_5,0.111365
GTIZ_P13,niche_6,0.106802
GTIZ_P13,niche_7,0.128415
GTIZ_P13,niche_8,0.114207
GTIZ_P13,niche_9,0.118008
GTIZ_P15,niche_1,0.092910
GTIZ_P15,niche_2,0.083353
GTIZ_P15,niche_3,0.160029
GTIZ_P15,niche_4,0.061552
GTIZ_P15,niche_5,0.102991
GTIZ_P15,niche_6,0.145475
GTIZ_P15,niche_7,0.166109
GTIZ_P15,niche_8,0.107839
GTIZ_P15,niche_9,0.079742
GTIZ_P9,niche_1,0.085709
GTIZ_P9,niche_2,0.065947
GTIZ_P9,niche_3,0.222095
GTIZ_P9,niche_4,0.083286
GTIZ_P9,niche_5,0.076003
GTIZ_P9,niche_6,0.131505
GTIZ_P9,niche_7,0.128218
GTIZ_P9,niche_8,0.119168
GTIZ_P9,niche_9,0.088069
GTIZ_P9_rep2,niche_1,0.086394
GTIZ_P9_rep2,niche_2,0.075481
GTIZ_P9_rep2,niche_3,0.149351
GTIZ_P9_rep2,niche_4,0.060351
GTIZ_P9_rep2,niche_5,0.088312
GTIZ_P9_rep2,niche_6,0.123508
GTIZ_P9_rep2,niche_7,0.163453
GTIZ_P9_rep2,niche_8,0.121965
GTIZ_P9_rep2,niche_9,0.131186
IZ_P10,niche_1,0.072634
IZ_P10,niche_2,0.112376
IZ_P10,niche_3,0.208497
IZ_P10,niche_4,0.081563
IZ_P10,niche_5,0.071819
IZ_P10,niche_6,0.109690
IZ_P10,niche_7,0.153000
IZ_P10,niche_8,0.105254
IZ_P10,niche_9,0.085166
IZ_P15,niche_1,0.081928
IZ_P15,niche_2,0.100895
IZ_P15,niche_3,0.208693
IZ_P15,niche_4,0.071847
IZ_P15,niche_5,0.090698
IZ_P15,niche_6,0.081784
IZ_P15,niche_7,0.156654
IZ_P15,niche_8,0.104810
IZ_P15,niche_9,0.102691
IZ_P16,niche_1,0.063779
IZ_P16,niche_2,0.118980
IZ_P16,niche_3,0.267630
IZ_P16,niche_4,0.093555
IZ_P16,niche_5,0.071915
IZ_P16,niche_6,0.085445
IZ_P16,niche_7,0.096565
IZ_P16,niche_8,0.097456
IZ_P16,niche_9,0.104674
IZ_P3,niche_1,0.060047
IZ_P3,niche_2,0.093382
IZ_P3,niche_3,0.235269
IZ_P3,niche_4,0.090723
IZ_P3,niche_5,0.076162
IZ_P3,niche_6,0.117518
IZ_P3,niche_7,0.097319
IZ_P3,niche_8,0.113692
IZ_P3,niche_9,0.115888
IZBL_P2,niche_1,0.050293
IZBL_P2,niche_2,0.147433
IZBL_P2,niche_3,0.151545
IZBL_P2,niche_4,0.085439
IZBL_P2,niche_5,0.053572
IZBL_P2,niche_6,0.110364
IZBL_P2,niche_7,0.152527
IZBL_P2,niche_8,0.115294
IZBL_P2,niche_9,0.133534
RZ_P11,niche_1,0.040253
RZ_P11,niche_2,0.132621
RZ_P11,niche_3,0.117400
RZ_P11,niche_4,0.137077
RZ_P11,niche_5,0.069899
RZ_P11,niche_6,0.067614
RZ_P11,niche_7,0.144818
RZ_P11,niche_8,0.165008
RZ_P11,niche_9,0.125310
RZ_P3,niche_1,0.052394
RZ_P3,niche_2,0.156854
RZ_P3,niche_3,0.070036
RZ_P3,niche_4,0.101451
RZ_P3,niche_5,0.056007
RZ_P3,niche_6,0.079436
RZ_P3,niche_7,0.165393
RZ_P3,niche_8,0.176515
RZ_P3,niche_9,0.141916
RZ_P6,niche_1,0.058795
RZ_P6,niche_2,0.126214
RZ_P6,niche_3,0.110503
RZ_P6,niche_4,0.141269
RZ_P6,niche_5,0.051421
RZ_P6,niche_6,0.072922
RZ_P6,niche_7,0.161523
RZ_P6,niche_8,0.163602
RZ_P6,niche_9,0.113752
RZ_P9,niche_1,0.041549
RZ_P9,niche_2,0.130158
RZ_P9,niche_3,0.124742
RZ_P9,niche_4,0.149566
RZ_P9,niche_5,0.065844
RZ_P9,niche_6,0.096489
RZ_P9,niche_7,0.128016
RZ_P9,niche_8,0.153006
RZ_P9,niche_9,0.110630
RZBL_P12,niche_1,0.038780
RZBL_P12,niche_2,0.202208
RZBL_P12,niche_3,0.086149
RZBL_P12,niche_4,0.145226
RZBL_P12,niche_5,0.056247
RZBL_P12,niche_6,0.065144
RZBL_P12,niche_7,0.146267
RZBL_P12,niche_8,0.154161
RZBL_P12,niche_9,0.105817
RZBL_P2,niche_1,0.040646
RZBL_P2,niche_2,0.167092
RZBL_P2,niche_3,0.083638
RZBL_P2,niche_4,0.141068
RZBL_P2,niche_5,0.060641
RZBL_P2,niche_6,0.059854
RZBL_P2,niche_7,0.171598
RZBL_P2,niche_8,0.160280
RZBL_P2,niche_9,0.115183
RZBL_P3,niche_1,0.032791
RZBL_P3,niche_2,0.171776
RZBL_P3,niche_3,0.080188
RZBL_P3,niche_4,0.142843
RZBL_P3,niche_5,0.038122
RZBL_P3,niche_6,0.075656
RZBL_P3,niche_7,0.165516
RZBL_P3,niche_8,0.183214
RZBL_P3,niche_9,0.109894
RZGT_P5,niche_1,0.111473
RZGT_P5,niche_2,0.105932
RZGT_P5,niche_3,0.100088
RZGT_P5,niche_4,0.092604
RZGT_P5,niche_5,0.082172
RZGT_P5,niche_6,0.086104
RZGT_P5,niche_7,0.127544
RZGT_P5,niche_8,0.132463
RZGT_P5,niche_9,0.161619
RZGT_P2,niche_1,0.076709
RZGT_P2,niche_2,0.103968
RZGT_P2,niche_3,0.104779
RZGT_P2,niche_4,0.101629
RZGT_P2,niche_5,0.115596
RZGT_P2,niche_6,0.094354
RZGT_P2,niche_7,0.154834
RZGT_P2,niche_8,0.113040
RZGT_P2,niche_9,0.135092
