cell,UMAP_1,UMAP_2,celltype,group
c151,1.6515,-4.6712,Fibroblasts,Control
c152,1.4509,-4.9579,Fibroblasts,HF
c153,5.5933,-1.9487,Fibroblasts,Control
c154,5.3178,-5.6505,Fibroblasts,Control
c155,3.552,-5.1561,Fibroblasts,Control
c156,2.8521,-3.6697,Fibroblasts,HF
c157,5.5274,-2.5905,Fibroblasts,Control
c158,3.7574,-5.0623,Fibroblasts,Control
c159,0.4562,-6.0249,Fibroblasts,Control
c160,6.4455,-5.4323,Fibroblasts,HF
c161,3.7735,-4.4426,Fibroblasts,Control
c162,3.6474,-5.023,Fibroblasts,Control
c163,2.0956,-8.7504,Fibroblasts,Control
c164,5.5624,-5.1799,Fibroblasts,HF
c165,3.5594,-5.1271,Fibroblasts,Control
c166,2.4498,-3.3854,Fibroblasts,Control
c167,3.7836,-3.6225,Fibroblasts,Control
c168,3.3256,-4.9935,Fibroblasts,HF
c169,4.1497,-6.8095,Fibroblasts,Control
c170,1.6686,-2.6027,Fibroblasts,Control
c171,2.8089,-3.3181,Fibroblasts,Control
c172,4.7056,-0.1658,Fibroblasts,HF
c173,4.7615,-6.0316,Fibroblasts,Control
c174,2.4961,-4.0013,Fibroblasts,Control
c175,0.9253,-3.6376,Fibroblasts,Control
c176,2.1819,-4.5005,Fibroblasts,HF
c177,3.1832,-3.9839,Fibroblasts,Control
c178,2.834,-4.0314,Fibroblasts,Control
c179,2.541,-3.9664,Fibroblasts,Control
c180,-1.6512,-3.3679,Fibroblasts,HF
c181,1.918,-3.2827,Fibroblasts,Control
c182,0.4045,-4.6739,Fibroblasts,Control
c183,-0.0938,-5.6137,Fibroblasts,Control
c184,1.6683,-7.0128,Fibroblasts,HF
c185,9.6162,-6.4536,Fibroblasts,Control
c186,2.1327,-6.1728,Fibroblasts,Control
c187,1.787,-5.5393,Fibroblasts,Control
c188,5.4294,-3.2312,Fibroblasts,HF
c189,1.6391,-3.2088,Fibroblasts,Control
c190,4.5345,-6.2375,Fibroblasts,Control
c191,2.0452,-3.2133,Fibroblasts,Control
c192,-0.2273,-3.2781,Fibroblasts,HF
c193,1.7601,-2.4008,Fibroblasts,Control
c194,-1.3204,-3.1359,Fibroblasts,Control
c195,2.2598,-4.9258,Fibroblasts,Control
c196,1.8559,-4.932,Fibroblasts,HF
c197,-0.6559,-5.3687,Fibroblasts,Control
c198,0.6015,1.5778,Fibroblasts,Control
c199,0.0948,-5.5786,Fibroblasts,Control
c200,0.6239,-4.224,Fibroblasts,HF
c201,3.2355,-2.3726,Fibroblasts,Control
c202,4.789,-5.3738,Fibroblasts,Control
c203,3.3184,-3.4064,Fibroblasts,Control
c204,-2.2643,-5.0966,Fibroblasts,HF
c205,1.5268,-3.1684,Fibroblasts,Control
c206,2.61,-5.4071,Fibroblasts,Control
c207,2.9108,-2.978,Fibroblasts,Control
c208,6.506,-3.6787,Fibroblasts,HF
c209,-1.0457,-4.2496,Fibroblasts,Control
c210,3.7263,-3.9167,Fibroblasts,Control
c211,0.598,-6.0838,Fibroblasts,Control
c212,1.2832,-7.2148,Fibroblasts,HF
c213,2.6987,-2.5045,Fibroblasts,Control
c214,4.6187,-4.2023,Fibroblasts,Control
c215,2.8092,-5.5801,Fibroblasts,Control
c216,-1.5498,-3.1752,Fibroblasts,HF
c217,6.5594,-4.8868,Fibroblasts,Control
c218,4.9989,-3.6589,Fibroblasts,Control
c219,4.7246,-6.4087,Fibroblasts,Control
c220,3.4747,-6.227,Fibroblasts,HF
c221,4.5721,-4.3653,Fibroblasts,Control
c222,4.7307,-4.7456,Fibroblasts,Control
c223,1.7986,-4.9545,Fibroblasts,Control
c224,0.8148,-4.5686,Fibroblasts,HF
c225,1.3197,-4.7805,Fibroblasts,Control
c226,2.5592,-5.1439,Fibroblasts,Control
c227,2.445,-2.4711,Fibroblasts,Control
c228,0.2142,-6.599,Fibroblasts,HF
c229,1.0073,-4.671,Fibroblasts,Control
c230,2.2726,-2.9033,Fibroblasts,Control
c231,1.4924,-0.9703,Fibroblasts,Control
c232,1.0937,-2.1822,Fibroblasts,HF
c233,4.1755,-2.9356,Fibroblasts,Control
c234,1.3014,-7.0515,Fibroblasts,Control
c235,4.2868,-3.7561,Fibroblasts,Control
c236,-0.2424,-5.171,Fibroblasts,HF
c237,3.3809,-2.3112,Fibroblasts,Control
c238,4.9946,-5.406,Fibroblasts,Control
c239,1.8342,-6.0109,Fibroblasts,Control
c240,2.7197,-5.2724,Fibroblasts,HF
c241,5.6567,-4.0957,Fibroblasts,Control
c242,2.6694,-6.6957,Fibroblasts,Control
c243,3.7859,-4.5723,Fibroblasts,Control
c244,2.5547,-6.5028,Fibroblasts,HF
c245,0.6718,-5.5982,Fibroblasts,Control
c246,3.3304,-1.6297,Fibroblasts,Control
c247,5.3883,-3.8251,Fibroblasts,Control
c248,1.201,-6.6234,Fibroblasts,HF
c249,4.1064,-2.446,Fibroblasts,Control
c250,4.4867,-2.8517,Fibroblasts,Control
c251,4.7123,-3.9849,Fibroblasts,Control
c252,-0.1602,-5.456,Fibroblasts,HF
c253,-1.0879,-8.01,Fibroblasts,Control
c254,-1.6703,-3.9522,Fibroblasts,Control
c255,-1.301,-2.0028,Fibroblasts,Control
c256,0.8,-2.0462,Fibroblasts,HF
c257,1.4215,-3.676,Fibroblasts,Control
c258,3.4177,-5.3867,Fibroblasts,Control
c259,5.7783,-2.8683,Fibroblasts,Control
c260,-3.3898,-5.9316,Fibroblasts,HF
c261,2.5824,-4.3838,Fibroblasts,Control
c262,2.9981,-5.82,Fibroblasts,Control
c263,2.6541,-5.8686,Fibroblasts,Control
c264,2.8213,-3.8977,Fibroblasts,HF
c265,6.1336,-0.5104,Fibroblasts,Control
c266,0.4303,-7.3908,Fibroblasts,Control
c267,3.0708,-2.6963,Fibroblasts,Control
c268,2.7971,-5.7241,Fibroblasts,HF
c269,-0.6482,-6.5132,Fibroblasts,Control
c270,3.861,-3.5086,Fibroblasts,Control
c271,3.955,-4.5224,Fibroblasts,Control
c272,7.1803,-3.5274,Fibroblasts,HF
c273,1.1198,-6.6888,Fibroblasts,Control
c274,2.0878,-4.1559,Fibroblasts,Control
c275,4.2004,-3.6844,Fibroblasts,Control
c276,1.2805,-5.4781,Fibroblasts,HF
c277,3.2619,-7.7203,Fibroblasts,Control
c278,1.5883,-5.0084,Fibroblasts,Control
c279,7.0977,-4.4044,Fibroblasts,Control
c280,1.7167,-3.5512,Fibroblasts,HF
c281,0.6315,-3.0372,Fibroblasts,Control
c282,1.2072,-2.94,Fibroblasts,Control
c283,3.1514,-5.1766,Fibroblasts,Control
c284,7.1246,-4.8943,Fibroblasts,HF
c285,3.5941,-5.6618,Fibroblasts,Control
c286,0.9175,-3.9999,Fibroblasts,Control
c287,4.2904,-4.5467,Fibroblasts,Control
c288,3.8729,-6.713,Fibroblasts,HF
c289,0.1642,-4.3937,Fibroblasts,Control
c290,2.2627,-6.4624,Fibroblasts,Control
c291,4.7283,-6.3177,Fibroblasts,Control
c292,3.7461,-3.8144,Fibroblasts,HF
c293,2.6426,-3.5984,Fibroblasts,Control
c294,0.505,-5.8118,Fibroblasts,Control
c295,5.6149,-3.783,Fibroblasts,Control
c296,3.1191,-3.5394,Fibroblasts,HF
c297,3.7469,-6.9944,Fibroblasts,Control
c298,4.959,-5.825,Fibroblasts,Control
c299,2.2954,-3.099,Fibroblasts,Control
c300,8.914,-5.4871,Fibroblasts,HF
c301,1.6882,-7.9338,Fibroblasts,Control
c302,2.735,-6.2931,Fibroblasts,Control
c303,1.4483,-5.5709,Fibroblasts,Control
c304,3.2995,-6.1797,Fibroblasts,HF
c305,3.4511,-0.9239,Fibroblasts,Control
c306,1.9468,-3.1652,Fibroblasts,Control
c307,0.3416,-4.2871,Fibroblasts,Control
c308,0.3906,-3.7524,Fibroblasts,HF
c309,1.7812,-3.3943,Fibroblasts,Control
c310,2.3579,-3.0922,Fibroblasts,Control
c311,5.2547,-2.3881,Fibroblasts,Control
c312,5.5185,-2.2156,Fibroblasts,HF
c313,2.788,-6.1594,Fibroblasts,Control
c314,3.4471,-1.4795,Fibroblasts,Control
c315,2.1787,-6.3236,Fibroblasts,Control
c316,2.127,-4.4878,Fibroblasts,HF
c317,5.4212,-2.7013,Fibroblasts,Control
c318,3.1617,-1.5054,Fibroblasts,Control
c319,6.6618,-3.8426,Fibroblasts,Control
c320,2.2251,-2.6651,Fibroblasts,HF
c321,2.1259,-4.554,Fibroblasts,Control
c322,3.91,-3.3414,Fibroblasts,Control
c323,1.4335,-4.4364,Fibroblasts,Control
c324,1.5741,-4.8474,Fibroblasts,HF
c325,0.0813,-3.8678,Fibroblasts,Control
c326,6.4367,-3.1923,Fibroblasts,Control
c327,1.8407,-4.3778,Fibroblasts,Control
c328,1.4824,-3.8992,Fibroblasts,HF
c329,-0.8486,-7.2898,Fibroblasts,Control
c330,5.7499,-1.0667,Fibroblasts,Control
c331,1.8173,-2.8468,Fibroblasts,Control
c332,2.7788,-4.2679,Fibroblasts,HF
c333,1.3341,-5.2148,Fibroblasts,Control
c334,2.8294,-3.3051,Fibroblasts,Control
c335,0.2137,-4.0187,Fibroblasts,Control
c336,4.3924,-5.8342,Fibroblasts,HF
c337,2.4938,-4.1959,Fibroblasts,Control
c338,0.9422,-5.5083,Fibroblasts,Control
c339,4.2152,-4.682,Fibroblasts,Control
c340,3.5455,-1.5933,Fibroblasts,HF
c341,3.7049,-3.1098,Fibroblasts,Control
c342,6.2662,-2.7802,Fibroblasts,Control
c343,-4.6091,-3.2475,Fibroblasts,Control
c344,2.0242,-2.8708,Fibroblasts,HF
c345,1.5945,-7.0976,Fibroblasts,Control
c346,0.8295,-4.1481,Fibroblasts,Control
c347,4.2913,-4.9112,Fibroblasts,Control
c348,1.526,-5.2558,Fibroblasts,HF
c349,4.4299,-4.8531,Fibroblasts,Control
c350,-0.1654,-5.1765,Fibroblasts,Control
c351,4.3204,-5.0825,Fibroblasts,Control
c352,3.8232,-3.8849,Fibroblasts,HF
c353,1.1233,-1.6855,Fibroblasts,Control
c354,1.0829,-5.0203,Fibroblasts,Control
c355,5.0624,-2.4535,Fibroblasts,Control
c356,2.0098,-5.7499,Fibroblasts,HF
c357,1.8441,-4.4566,Fibroblasts,Control
c358,4.8867,-3.318,Fibroblasts,Control
c359,-2.4834,-3.0957,Fibroblasts,Control
c360,2.5923,-2.005,Fibroblasts,HF
c361,7.2761,-4.8855,Fibroblasts,Control
c362,1.4273,-4.919,Fibroblasts,Control
c363,3.2989,-4.3505,Fibroblasts,Control
c364,2.3603,-3.0094,Fibroblasts,HF
c365,2.8196,-8.4166,Fibroblasts,Control
c366,1.0329,-6.1064,Fibroblasts,Control
c367,2.9844,-3.7663,Fibroblasts,Control
c368,1.0919,-5.7441,Fibroblasts,HF
c369,4.8022,-3.211,Fibroblasts,Control
c370,1.0021,-2.5127,Fibroblasts,Control
c371,3.833,-5.4207,Fibroblasts,Control
c372,1.4644,-6.7068,Fibroblasts,HF
c373,5.8665,-5.0102,Fibroblasts,Control
c374,1.2562,-4.8143,Fibroblasts,Control
c375,1.5109,-2.6428,Fibroblasts,Control
c376,5.8484,-4.6093,Fibroblasts,HF
c377,-0.3488,-4.8107,Fibroblasts,Control
c378,2.4135,-4.6194,Fibroblasts,Control
c379,0.5198,-3.6385,Fibroblasts,Control
c380,-0.0001,-2.3659,Fibroblasts,HF
c381,1.4407,-5.3276,Fibroblasts,Control
c382,3.0689,-3.2363,Fibroblasts,Control
c383,4.764,-5.0077,Fibroblasts,Control
c384,1.6971,-6.4038,Fibroblasts,HF
c385,7.0536,-4.6251,Fibroblasts,Control
c386,2.7473,-2.807,Fibroblasts,Control
c387,-1.4099,-5.6514,Fibroblasts,Control
c388,4.5979,-3.2958,Fibroblasts,HF
c389,2.8343,-4.4862,Fibroblasts,Control
c390,4.6241,-2.9206,Fibroblasts,Control
c391,1.2664,-4.4871,Fibroblasts,Control
c392,0.8068,-4.6028,Fibroblasts,HF
c393,4.3982,-6.4782,Fibroblasts,Control
c394,2.6173,-4.081,Fibroblasts,Control
c395,0.8132,-3.3694,Fibroblasts,Control
c396,1.7138,-4.4977,Fibroblasts,HF
c397,3.3327,-4.9556,Fibroblasts,Control
c398,3.4777,-6.8095,Fibroblasts,Control
c399,5.2725,-5.0534,Fibroblasts,Control
c400,3.6986,-5.9945,Fibroblasts,HF
c401,1.5498,-2.0631,Fibroblasts,Control
c402,4.871,-4.2462,Fibroblasts,Control
c403,4.1641,-2.757,Fibroblasts,Control
c404,1.2227,-3.0361,Fibroblasts,HF
c405,0.2901,-5.0358,Fibroblasts,Control
c406,1.3972,-2.6902,Fibroblasts,Control
c407,1.2984,-7.2455,Fibroblasts,Control
c408,2.8398,-2.7083,Fibroblasts,HF
c409,4.11,-3.9828,Fibroblasts,Control
c410,2.1311,-5.6084,Fibroblasts,Control
c411,1.5268,-3.8027,Fibroblasts,Control
c412,3.4566,-5.6391,Fibroblasts,HF
c413,2.1672,-4.4223,Fibroblasts,Control
c414,-3.0482,-4.8696,Fibroblasts,Control
c415,4.1435,-5.4816,Fibroblasts,Control
c416,1.5385,-4.1748,Fibroblasts,HF
c417,0.1968,-4.0923,Fibroblasts,Control
c418,1.1023,-3.8209,Fibroblasts,Control
c419,3.7447,-3.1083,Fibroblasts,Control
c420,5.2549,-4.5834,Fibroblasts,HF
c421,1.4594,-6.6758,Fibroblasts,Control
c422,3.8189,-5.4975,Fibroblasts,Control
c423,3.3887,-5.0384,Fibroblasts,Control
c424,1.3553,-2.4674,Fibroblasts,HF
c425,2.7056,-5.684,Fibroblasts,Control
c426,3.7205,-4.1325,Fibroblasts,Control
c427,-0.8608,-7.3578,Fibroblasts,Control
c428,3.4928,-4.3455,Fibroblasts,HF
c429,1.0614,-4.0215,Fibroblasts,Control
c430,-0.5606,-7.1833,Fibroblasts,Control
c431,1.5225,-4.1903,Fibroblasts,Control
c432,4.1447,-5.0636,Fibroblasts,HF
c433,4.1608,-8.0723,Fibroblasts,Control
c434,0.1662,-2.8123,Fibroblasts,Control
c435,-1.6365,-5.3162,Fibroblasts,Control
c436,3.2197,-5.9934,Fibroblasts,HF
c437,6.2422,-2.7083,Fibroblasts,Control
c438,1.7551,-5.0335,Fibroblasts,Control
c439,5.7692,-5.5684,Fibroblasts,Control
c440,-1.6095,-3.9475,Fibroblasts,HF
c441,2.4781,-1.7747,Fibroblasts,Control
c442,4.8623,-8.8156,Fibroblasts,Control
c443,2.1592,-5.0844,Fibroblasts,Control
c444,-1.3463,-3.5921,Fibroblasts,HF
c445,-0.1338,-5.8123,Fibroblasts,Control
c446,0.7487,-3.8447,Fibroblasts,Control
c447,4.6645,-6.4391,Fibroblasts,Control
c448,-0.3593,-2.7199,Fibroblasts,HF
c449,2.8131,-2.4707,Fibroblasts,Control
c450,0.5266,-5.313,Fibroblasts,Control
c451,2.5253,-4.2204,Fibroblasts,Control
c452,2.3467,-4.7003,Fibroblasts,HF
c453,-0.6384,-5.6659,Fibroblasts,Control
c454,2.536,-5.7866,Fibroblasts,Control
c455,-1.6393,-7.1316,Fibroblasts,Control
c456,4.7447,-5.3108,Fibroblasts,HF
c457,3.6517,-6.724,Fibroblasts,Control
c458,1.2822,-3.2228,Fibroblasts,Control
c459,1.0839,-5.5521,Fibroblasts,Control
c460,2.2475,-5.8064,Fibroblasts,HF
c461,3.6584,-5.5583,Fibroblasts,Control
c462,4.3424,-5.1487,Fibroblasts,Control
c463,1.8562,-3.0676,Fibroblasts,Control
c464,0.1288,-5.5566,Fibroblasts,HF
c465,4.0653,-3.6193,Fibroblasts,Control
c466,2.5456,-6.8908,Fibroblasts,Control
c467,5.368,-2.0068,Fibroblasts,Control
c468,5.0053,-4.5402,Fibroblasts,HF
c469,4.719,-5.1725,Fibroblasts,Control
c470,2.5413,-3.4348,Fibroblasts,Control
c471,1.2429,-4.3862,Fibroblasts,Control
c472,2.5688,-5.4461,Fibroblasts,HF
c473,5.026,-2.6725,Fibroblasts,Control
c474,2.9834,-4.0335,Fibroblasts,Control
c475,2.9665,-4.6933,Fibroblasts,Control
c476,4.3533,-4.4332,Fibroblasts,HF
c477,2.7909,-4.7729,Fibroblasts,Control
c478,3.3889,-6.5271,Fibroblasts,Control
c479,-3.6634,-5.9158,Fibroblasts,Control
c480,1.3127,-6.2617,Fibroblasts,HF
c481,0.9099,-5.2416,Fibroblasts,Control
c482,3.88,-4.6717,Fibroblasts,Control
c483,3.0707,-1.0268,Fibroblasts,Control
c484,7.0628,-6.9502,Fibroblasts,HF
c485,4.6367,-5.1203,Fibroblasts,Control
c486,6.1231,-3.0743,Fibroblasts,Control
c487,3.7535,-4.8503,Fibroblasts,Control
c488,-0.254,-3.2657,Fibroblasts,HF
c489,6.7179,-5.1467,Fibroblasts,Control
c490,-0.7897,-4.5328,Fibroblasts,Control
c491,6.2074,-6.374,Fibroblasts,Control
c492,-1.6121,-3.7926,Fibroblasts,HF
c493,2.5152,-5.8283,Fibroblasts,Control
c494,1.9594,-4.1884,Fibroblasts,Control
c495,3.5589,-3.3158,Fibroblasts,Control
c496,4.9714,-2.9968,Fibroblasts,HF
c497,0.3961,-3.5215,Fibroblasts,Control
c498,3.279,-4.2482,Fibroblasts,Control
c499,-0.306,-3.83,Fibroblasts,Control
c500,3.031,-4.7684,Fibroblasts,HF
c501,0.7409,-7.6807,Fibroblasts,Control
c502,5.0024,-4.4689,Fibroblasts,Control
c503,0.0731,-3.2223,Fibroblasts,Control
c504,5.4861,-2.1749,Fibroblasts,HF
c505,1.3876,-4.2316,Fibroblasts,Control
c506,1.3446,-5.6137,Fibroblasts,Control
c507,4.814,-4.0227,Fibroblasts,Control
c508,2.6615,-3.294,Fibroblasts,HF
c509,-1.5149,-5.9785,Fibroblasts,Control
c510,3.0843,-8.0333,Fibroblasts,Control
c511,3.4288,-1.5793,Fibroblasts,Control
c512,2.0492,-3.6992,Fibroblasts,HF
c513,6.0903,-5.9683,Fibroblasts,Control
c514,7.3447,-8.2908,Fibroblasts,Control
c515,5.5614,-1.9028,Fibroblasts,Control
c516,4.2718,-1.9226,Fibroblasts,HF
c517,4.5755,-4.0227,Fibroblasts,Control
c518,4.1868,-8.7586,Fibroblasts,Control
c519,0.9332,-2.1082,Fibroblasts,Control
c520,6.4917,-3.1548,Fibroblasts,HF
c521,0.9221,-4.7228,Fibroblasts,Control
c522,0.9332,-4.3399,Fibroblasts,Control
c523,1.0466,-4.6067,Fibroblasts,Control
c524,-2.0301,-4.8176,Fibroblasts,HF
c525,3.3099,-4.2048,Fibroblasts,Control
c526,3.6313,-5.1505,Fibroblasts,Control
c527,0.1762,-4.1029,Fibroblasts,Control
c528,3.1526,-4.1991,Fibroblasts,HF
c529,0.4246,-3.4388,Fibroblasts,Control
c530,0.6939,-4.4542,Fibroblasts,Control
c531,3.4569,-4.0291,Fibroblasts,Control
c532,-1.2359,-6.9257,Fibroblasts,HF
c533,1.7964,-0.7891,Fibroblasts,Control
c534,0.5927,-5.0014,Fibroblasts,Control
c535,5.8957,-4.2408,Fibroblasts,Control
c536,0.227,-4.0586,Fibroblasts,HF
c537,4.3897,-3.3391,Fibroblasts,Control
c538,3.7144,-5.3889,Fibroblasts,Control
c539,2.8423,-5.8472,Fibroblasts,Control
c540,2.9881,-3.1147,Fibroblasts,HF
c541,2.9737,-2.3836,Fibroblasts,Control
c542,-0.4991,-3.9509,Fibroblasts,Control
c543,5.0091,-3.0387,Fibroblasts,Control
c544,1.1402,-6.2951,Fibroblasts,HF
c545,4.3712,-2.4441,Fibroblasts,Control
c546,3.4036,-4.0806,Fibroblasts,Control
c547,3.7127,-3.7849,Fibroblasts,Control
c548,2.2654,-7.858,Fibroblasts,HF
c549,1.2674,-4.8535,Fibroblasts,Control
c550,0.4952,-5.1737,Fibroblasts,Control
c551,4.9575,-2.5809,Fibroblasts,Control
c552,0.991,-6.4954,Fibroblasts,HF
c553,3.7269,-5.2076,Fibroblasts,Control
c554,4.3443,-4.5271,Fibroblasts,Control
c555,1.2753,-3.2053,Fibroblasts,Control
c556,3.1345,-2.7395,Fibroblasts,HF
c557,2.9251,-2.9355,Fibroblasts,Control
c558,5.2168,-6.982,Fibroblasts,Control
c559,2.8463,-6.6274,Fibroblasts,Control
