genome,species,domain,representative_flag
TARA_SAMEA2623477_METAG_OKOGOBFK,B1,Bacteria,FALSE
TARA_SAMEA2623601_METAG_LGBFILLL,B1,Bacteria,TRUE
TARA_SAMEA2622658_METAG_CHOAGAJB,704_1,Bacteria,FALSE
TARA_SAMEA2623673_METAG_INBBCOBA,704_1,Bacteria,FALSE
TARA_SAMEA2622119_METAG_PPKCDGLG,927_1,Bacteria,FALSE
MALA_SAMN05422189_METAG_HFLHJDGN,C1,Bacteria,FALSE
MALA_SAMN05422147_METAG_DIMFAPIO,790_1,Bacteria,FALSE
MARD_SAMN05375008_REFG_MMP05375008,2614_1,Bacteria,TRUE
MARD_SAMN05897982_REFG_MMP05897982,801_1,Bacteria,FALSE
MARD_SAMEA3146296_REFG_MMP3146296,4381_1,Bacteria,FALSE
MARD_SAMN02436107_REFG_MMP02436107,201_0,Bacteria,TRUE
MARD_SAMN09041732_REFG_MMP09041732,2615_2,Bacteria,TRUE
MARD_SAMN09389114_REFG_MMP09389114,2614_1,Bacteria,FALSE
MARD_SAMN04488031_REFG_MMP04488031,1247_1,Bacteria,TRUE
MARD_SAMN02470762_REFG_MMP02470762,1778_1,Bacteria,TRUE
TARA_SAMEA2622843_METAG_HAMAJGDK,704_1,Bacteria,FALSE
TARA_SAMEA2622710_METAG_DGMLDIHH,704_1,Bacteria,FALSE
TARA_SAMEA2622119_METAG_PIMPAEMO,704_1,Bacteria,FALSE
TARA_SAMEA2623756_METAG_CHDMOBPJ,371_1,Bacteria,TRUE
TARA_SAMEA2622901_METAG_ONLLOMFJ,144_1,Bacteria,FALSE
TARA_SAMEA2623350_METAG_DDHLMPBK,144_1,Bacteria,FALSE
MALA_SAMN05422160_METAG_ANLEPEDM,790_1,Bacteria,FALSE
TARA_SAMN05326644_METAG_PON00013,144_1,Bacteria,TRUE
TARA_SAMN05326641_METAG_ANW00006,704_1,Bacteria,FALSE
MARD_SAMN05408344_REFG_MMP05408344,1778_1,Bacteria,FALSE
MARD_SAMN05687755_REFG_MMP05687755,1790_0,Bacteria,TRUE
TARA_SAMEA2730749_METAG_OLPPLKCL,A1,Bacteria,TRUE
TARA_SAMEA2623859_METAG_BABDCONI,C2,Bacteria,FALSE
TARA_SAMEA4397666_METAG_KIBCBFEH,690_0,Bacteria,TRUE
TARA_SAMEA2622765_METAG_MAMIPFJC,704_1,Bacteria,FALSE
TARA_SAMEA2622716_METAG_HLCJJFFL,704_1,Bacteria,FALSE
TARA_SAMEA2622823_METAG_INOAMIGG,704_1,Bacteria,FALSE
MALA_SAMN05422170_METAG_EDLGNPJL,790_1,Bacteria,FALSE
TARA_SAMN05326646_METAG_PSW00017,804_1,Bacteria,TRUE
MARD_SAMN08886634_SAGS_MMP08886634,184_1,Bacteria,FALSE
MARD_SAMEA3146324_REFG_MMP3146324,4381_1,Bacteria,FALSE
MARD_SAMN02441415_REFG_MMP02441415,4381_1,Bacteria,TRUE
TARA_SAMEA4398387_METAG_JJNBKCLE,288_1,Bacteria,FALSE
TARA_SAMEA4398360_METAG_PDKANFIF,425_1,Bacteria,FALSE
TARA_SAMEA4398001_METAG_ICBKCJOL,1264_2,Bacteria,FALSE
TARA_SAMEA2623116_METAG_MLHPBBMM,184_1,Bacteria,TRUE
TARA_SAMEA2622766_METAG_KENIBHCH,704_1,Bacteria,TRUE
MALA_SAMN05422140_METAG_DMBKAHMH,804_1,Bacteria,FALSE
TARA_SAMN05326645_METAG_PSE00039,372_1,Bacteria,TRUE
MARD_SAMN08886510_SAGS_MMP08886510,178_1,Bacteria,FALSE
MARD_SAMN06140193_REFG_MMP06140193,689_0,Bacteria,TRUE
MARD_SAMEA3872802_REFG_MMP3872802,1733_1,Bacteria,TRUE
MARD_SAMN02436164_REFG_MMP02436164,1242_0,Bacteria,TRUE
MARD_SAMN08918410_REFG_MMP08918410,1261_2,Bacteria,TRUE
MARD_SAMEA4707923_REFG_MMP4707923,200_1,Bacteria,FALSE
MARD_SAMD00053329_REFG_MMP00053329,2615_1,Bacteria,TRUE
MARD_SAMEA3872803_REFG_MMP3872803,1733_2,Bacteria,TRUE
TARA_SAMEA4398111_METAG_GFHMNJCF,1264_2,Bacteria,TRUE
TARA_SAMEA4398027_METAG_FDKLNHGC,1264_2,Bacteria,FALSE
TARA_SAMEA4398168_METAG_NGBJHDBI,1264_2,Bacteria,FALSE
TARA_SAMEA4397023_METAG_OPBOBABD,1264_2,Bacteria,FALSE
TARA_SAMEA4398387_METAG_OKGACJPI,1539_1,Bacteria,FALSE
TARA_SAMEA4397051_METAG_PCLNEFKO,1264_2,Bacteria,FALSE
TARA_SAMEA2620666_METAG_OJMAHLBC,1098_1,Bacteria,FALSE
TARA_SAMEA2620756_METAG_MAJFFPAD,217_1,Bacteria,TRUE
MALA_SAMN05422140_METAG_LOIBJDFA,1295_1,Bacteria,FALSE
MARD_SAMN08886605_SAGS_MMP08886605,194_1,Bacteria,FALSE
MARD_SAMN04965936_REFG_MMP04965936,1247_1,Bacteria,FALSE
MARD_SAMN02436137_REFG_MMP02436137,1341_0,Bacteria,TRUE
MARD_SAMN02436225_REFG_MMP02436225,1150_0,Bacteria,TRUE
MARD_SAMN05421511_REFG_MMP05421511,1115_2,Bacteria,TRUE
MARD_SAMN08918503_REFG_MMP08918503,1265_0,Bacteria,TRUE
MALA_SAMN05422120_METAG_PCCIOILD,C1,Bacteria,FALSE
TARA_SAMEA4396941_METAG_AOBPNINP,1099_0,Bacteria,TRUE
TARA_SAMEA4397666_METAG_MHPADDOO,1400_1,Bacteria,FALSE
TARA_SAMEA4397586_METAG_OLNPJHKL,258_0,Bacteria,TRUE
TARA_SAMEA4397920_METAG_NHFLOOAL,1400_1,Bacteria,FALSE
TARA_SAMEA4397118_METAG_AANKMKOK,50_1,Bacteria,FALSE
TARA_SAMEA2622801_METAG_JBCDELJO,147_1,Bacteria,TRUE
TARA_SAMEA2623135_METAG_GANIGMCO,1867_0,Bacteria,TRUE
TARA_SAMEA2621779_METAG_BFIFFBPD,185_1,Bacteria,FALSE
TARA_SAMEA2621812_METAG_MOHOOAMM,185_1,Bacteria,TRUE
MALA_SAMN05422140_METAG_JIDOJPBB,1293_1,Bacteria,FALSE
TARA_SAMN05326645_METAG_PSE00010,1105_0,Bacteria,TRUE
TARA_SAMN05326646_METAG_PSW00020,1374_1,Bacteria,TRUE
MARD_SAMN08886618_SAGS_MMP08886618,194_2,Bacteria,FALSE
MARD_SAMN03084138_REFG_MMP03084138,1732_1,Bacteria,FALSE
MARD_SAMN05818643_REFG_MMP05818643,1083_1,Bacteria,TRUE
MARD_SAMN02436160_REFG_MMP02436160,186_1,Bacteria,TRUE
MARD_SAMN08918501_REFG_MMP08918501,1266_0,Bacteria,TRUE
MARD_SAMN05444149_REFG_MMP05444149,1264_3,Bacteria,TRUE
MARD_SAMN09684733_REFG_MMP09684733,1293_1,Bacteria,TRUE
MARD_SAMN05418027_REFG_MMP05418027,1732_1,Bacteria,TRUE
MARD_SAMN05418031_REFG_MMP05418031,1732_1,Bacteria,FALSE
MARD_SAMN05418073_REFG_MMP05418073,1732_1,Bacteria,FALSE
MARD_SAMN08912470_REFG_MMP08912470,1083_1,Bacteria,FALSE
TARA_SAMEA4396941_METAG_IJEMMHFI,585_0,Bacteria,TRUE
TARA_SAMEA4396941_METAG_CLEKMJLB,1539_1,Bacteria,TRUE
TARA_SAMEA4397174_METAG_EGMDODDO,1410_0,Bacteria,TRUE
TARA_SAMEA2622843_METAG_BIKJDDKO,197_1,Bacteria,TRUE
TARA_SAMEA4396489_METAG_KKGDMKHA,1087_0,Bacteria,TRUE
TARA_SAMEA4397295_METAG_NFMMNHJF,288_1,Bacteria,TRUE
TARA_SAMEA4397295_METAG_PFKAPFFD,1426_1,Bacteria,FALSE
TARA_SAMEA2621107_METAG_NAIODLKO,1241_1,Bacteria,FALSE
TARA_SAMEA4397409_METAG_LIEEABDB,50_1,Bacteria,FALSE
TARA_SAMEA4396515_METAG_COJOLNON,891_1,Bacteria,FALSE
TARA_SAMEA2619815_METAG_NCFDDDLL,2424_0,Bacteria,TRUE
TARA_SAMEA2623403_METAG_OKECKDIK,1294_1,Bacteria,FALSE
TARA_SAMEA4397023_METAG_NKKALNMO,891_1,Bacteria,FALSE
TARA_SAMEA4397536_METAG_KCPGCKGA,1264_2,Bacteria,FALSE
TARA_SAMEA4397536_METAG_DNIJMCBI,1426_1,Bacteria,FALSE
TARA_SAMEA2620227_METAG_PONKEPAI,679_1,Bacteria,FALSE
TARA_SAMEA4397051_METAG_BDIOPMOI,891_1,Bacteria,TRUE
TARA_SAMEA2620812_METAG_HIEKJCAB,882_0,Bacteria,TRUE
TARA_SAMEA4398360_METAG_MKMJPMHD,1426_1,Bacteria,FALSE
TARA_SAMEA2622738_METAG_EAPOPCAE,704_1,Bacteria,FALSE
TARA_SAMEA4398432_METAG_IFLIFCAK,893_1,Bacteria,FALSE
TARA_SAMEA4398432_METAG_EGCBDMCB,891_1,Bacteria,FALSE
TARA_SAMEA4397586_METAG_MLANKLIE,1053_0,Bacteria,TRUE
TARA_SAMEA2620967_METAG_GMOMFAHB,1241_1,Bacteria,FALSE
TARA_SAMEA2621502_METAG_LEDOHCBM,1240_1,Bacteria,FALSE
TARA_SAMEA4396988_METAG_MGOBBFJM,891_1,Bacteria,FALSE
TARA_SAMEA2621191_METAG_JOABIJEI,1241_1,Bacteria,TRUE
TARA_SAMEA4397118_METAG_BHLMNNKI,1426_1,Bacteria,FALSE
TARA_SAMEA2623327_METAG_OLEOKFCD,895_1,Bacteria,FALSE
TARA_SAMEA2623327_METAG_CFOJFPKH,1294_1,Bacteria,TRUE
TARA_SAMEA4397255_METAG_PFEJDDLC,1400_1,Bacteria,TRUE
TARA_SAMEA4398001_METAG_BPLHNGEK,891_1,Bacteria,FALSE
TARA_SAMEA4397747_METAG_KPKGLEOG,895_1,Bacteria,FALSE
TARA_SAMEA2621075_METAG_HPFDGDJD,2989_1,Bacteria,TRUE
TARA_SAMEA2622801_METAG_LKEPJGOM,2426_1,Bacteria,TRUE
TARA_SAMEA2623463_METAG_GNOAPNFG,144_1,Bacteria,FALSE
TARA_SAMEA2622923_METAG_DNGLHAAI,2321_1,Bacteria,TRUE
TARA_SAMEA2621812_METAG_MDDNJKEB,193_1,Bacteria,TRUE
TARA_SAMEA2623350_METAG_CMMNJGMG,804_1,Bacteria,FALSE
BGEO_SAMN07136582_METAG_BIALDHBO,1101_1,Bacteria,FALSE
BGEO_SAMN07136617_METAG_FKHCGNDB,1101_1,Bacteria,TRUE
BGEO_SAMN07136489_METAG_APEOGMHC,187_2,Bacteria,FALSE
MALA_SAMN05422133_METAG_MPCMMFBL,1295_1,Bacteria,TRUE
MALA_SAMN05422148_METAG_IFLPOAIP,425_1,Bacteria,TRUE
MALA_SAMN05422120_METAG_DPNIGCJC,804_1,Bacteria,FALSE
MALA_SAMN05422113_METAG_GJFPJHHK,1295_1,Bacteria,FALSE
TARA_SAMN05326646_METAG_PSW00026,2321_1,Bacteria,FALSE
TARA_SAMN05326648_METAG_IOS00013,147_1,Bacteria,FALSE
TARA_SAMN05326641_METAG_ANW00019,705_1,Bacteria,TRUE
MARD_SAMN06644953_REFG_MMP06644953,1230_1,Bacteria,TRUE
MARD_SAMN08378603_REFG_MMP08378603,1249_0,Bacteria,TRUE
MARD_SAMN08886582_SAGS_MMP08886582,214_0,Bacteria,TRUE
MARD_SAMN08886585_SAGS_MMP08886585,194_2,Bacteria,FALSE
MARD_SAMN08886603_SAGS_MMP08886603,206_1,Bacteria,FALSE
MARD_SAMN08886659_SAGS_MMP08886659,187_1,Bacteria,FALSE
MARD_SAMN04965930_REFG_MMP04965930,613_3,Bacteria,TRUE
MARD_SAMN04965934_REFG_MMP04965934,613_3,Bacteria,FALSE
MARD_SAMN02436139_REFG_MMP02436139,203_0,Bacteria,TRUE
MARD_SAMN02436154_REFG_MMP02436154,183_2,Bacteria,TRUE
MARD_SAMN06265372_REFG_MMP06265372,1250_1,Bacteria,TRUE
MARD_SAMD00112194_REFG_MMP00112194,1029_0,Bacteria,TRUE
MARD_SAMN02927983_REFG_MMP02927983,892_0,Bacteria,TRUE
MARD_SAMN09637267_REFG_MMP09637267,743_0,Bacteria,TRUE
MARD_SAMD00025187_REFG_MMP00025187,3371_1,Bacteria,TRUE
MARD_SAMEA3492688_REFG_MMP3492688,908_1,Bacteria,TRUE
MARD_SAMN04488105_REFG_MMP04488105,1291_1,Bacteria,FALSE
TARA_SAMEA4396941_METAG_MJIEMEAA,895_1,Bacteria,FALSE
TARA_SAMEA4397174_METAG_GINJNJCP,1413_1,Bacteria,TRUE
TARA_SAMEA4397174_METAG_MGPGDCBD,1426_1,Bacteria,FALSE
TARA_SAMEA2620039_METAG_CCAPJDHN,1048_1,Bacteria,TRUE
TARA_SAMEA4397295_METAG_PBBIIDLA,2459_0,Bacteria,TRUE
TARA_SAMEA4397363_METAG_PBPMNFIH,985_1,Bacteria,FALSE
TARA_SAMEA4397409_METAG_FMHAPBDF,1202_1,Bacteria,FALSE
TARA_SAMEA4396515_METAG_IJHFFIED,895_1,Bacteria,TRUE
TARA_SAMEA4396515_METAG_LHKCPCKJ,4700_1,Bacteria,FALSE
TARA_SAMEA2623403_METAG_HIFICGCL,1426_1,Bacteria,FALSE
TARA_SAMEA2623403_METAG_MFMFELKN,1240_1,Bacteria,TRUE
TARA_SAMEA4398027_METAG_AOHLBNMG,1278_1,Bacteria,FALSE
TARA_SAMEA2622517_METAG_NJDIAMMF,3371_2,Bacteria,TRUE
TARA_SAMEA2621101_METAG_KHHLCHNL,2989_1,Bacteria,FALSE
TARA_SAMEA2620925_METAG_LACPPFDI,894_1,Bacteria,FALSE
TARA_SAMEA4398238_METAG_KPHFHLOE,1411_0,Bacteria,TRUE
TARA_SAMEA4398238_METAG_PDLBAELO,1426_1,Bacteria,FALSE
TARA_SAMEA4397023_METAG_GNKOCKOD,4700_1,Bacteria,FALSE
TARA_SAMEA4398387_METAG_LABGGNAJ,2234_0,Bacteria,TRUE
TARA_SAMEA4398387_METAG_FIKBKBJM,1426_1,Bacteria,FALSE
TARA_SAMEA4397536_METAG_MBMFBPNN,1287_0,Bacteria,TRUE
TARA_SAMEA2622765_METAG_MHBAPCGP,1104_1,Bacteria,TRUE
TARA_SAMEA2621099_METAG_BFJFPEMJ,2989_1,Bacteria,FALSE
TARA_SAMEA2622685_METAG_CBBIEAPL,991_3,Bacteria,FALSE
TARA_SAMEA4398360_METAG_HILDAENI,4700_1,Bacteria,FALSE
TARA_SAMEA4398432_METAG_GFLEHPMN,584_1,Bacteria,TRUE
TARA_SAMEA4397330_METAG_IIKHBEIA,1201_1,Bacteria,TRUE
TARA_SAMEA4397330_METAG_AJIEMPFL,1202_1,Bacteria,TRUE
TARA_SAMEA4397586_METAG_KPHCJDEI,1112_1,Bacteria,FALSE
TARA_SAMEA4397586_METAG_FEGGIBBE,1189_1,Bacteria,FALSE
TARA_SAMEA4397586_METAG_PDHHONHK,1426_1,Bacteria,FALSE
TARA_SAMEA2622696_METAG_PAAHHAHJ,679_1,Bacteria,TRUE
TARA_SAMEA4397489_METAG_JLGMJFPL,991_3,Bacteria,FALSE
TARA_SAMEA4397489_METAG_HFBDHIIA,1426_1,Bacteria,FALSE
TARA_SAMEA4397489_METAG_MIEMHBCL,4700_1,Bacteria,FALSE
TARA_SAMEA4397489_METAG_KFLMDJEI,1026_1,Bacteria,TRUE
TARA_SAMEA4397489_METAG_KHFCPKOF,1620_0,Bacteria,TRUE
TARA_SAMEA4397489_METAG_JCLJMEBD,1400_1,Bacteria,FALSE
TARA_SAMEA2620967_METAG_NCJGICMF,894_1,Bacteria,FALSE
TARA_SAMEA4396988_METAG_PNLKKADL,4700_1,Bacteria,FALSE
TARA_SAMEA2621191_METAG_GKKNNIBB,991_3,Bacteria,FALSE
TARA_SAMEA4397445_METAG_NOEMMHCB,1201_1,Bacteria,FALSE
TARA_SAMEA4397445_METAG_ENGAADBB,1426_1,Bacteria,FALSE
TARA_SAMEA4398315_METAG_BPOJMCNG,1278_1,Bacteria,TRUE
TARA_SAMEA4398315_METAG_ILCENHEJ,1539_1,Bacteria,FALSE
TARA_SAMEA4397118_METAG_EKOAFJME,1413_1,Bacteria,FALSE
TARA_SAMEA4397118_METAG_KDDGJDGN,145_1,Bacteria,TRUE
TARA_SAMEA2621300_METAG_EKFPEFJE,991_3,Bacteria,TRUE
TARA_SAMEA4397859_METAG_GLPLBGPK,1112_1,Bacteria,TRUE
TARA_SAMEA2619677_METAG_CHAHPNEN,1413_1,Bacteria,FALSE
TARA_SAMEA4397215_METAG_GIHILDFN,50_1,Bacteria,FALSE
TARA_SAMEA4397215_METAG_IFBFPIAA,1413_1,Bacteria,FALSE
TARA_SAMEA2621247_METAG_OMELJKJA,1241_1,Bacteria,FALSE
TARA_SAMEA2621247_METAG_ILHOMMDB,1425_1,Bacteria,FALSE
TARA_SAMEA2623907_METAG_FJIGGKKP,371_1,Bacteria,FALSE
TARA_SAMEA2623446_METAG_CAGACCPM,929_1,Bacteria,TRUE
TARA_SAMEA2591098_METAG_EJOBFJID,187_1,Bacteria,TRUE
TARA_SAMEA2622796_METAG_OHBOBOCA,147_1,Bacteria,FALSE
TARA_SAMEA2621092_METAG_PJABGEBM,1241_1,Bacteria,FALSE
TARA_SAMEA2619782_METAG_OHIHNNLJ,187_1,Bacteria,FALSE
TARA_SAMEA4396496_METAG_ILGMJFMP,187_1,Bacteria,FALSE
TARA_SAMEA4397983_METAG_JCMDONEC,2638_1,Bacteria,TRUE
BGEO_SAMN07136483_METAG_CEMEACFK,187_2,Bacteria,TRUE
BGEO_SAMN07136945_METAG_HMPKJKPH,182_1,Bacteria,FALSE
BGEO_SAMN07136900_METAG_NDDKEADO,635_0,Bacteria,TRUE
MALA_SAMN05422136_METAG_DBKFPAHM,2431_1,Bacteria,FALSE
MALA_SAMN05422140_METAG_DOCADGDO,1094_1,Bacteria,FALSE
MALA_SAMN05422104_METAG_HGLFHJJK,367_0,Bacteria,TRUE
MALA_SAMN05422149_METAG_CFOFNMIM,1094_1,Bacteria,FALSE
MALA_SAMN05422195_METAG_GOAGNGHJ,2990_1,Bacteria,TRUE
MALA_SAMN05422133_METAG_LICJKDFC,1094_1,Bacteria,TRUE
MALA_SAMN05422133_METAG_KFHCJPLA,1291_1,Bacteria,TRUE
MALA_SAMN05422120_METAG_IFLJGABO,1094_1,Bacteria,FALSE
MALA_SAMN05422108_METAG_GKBEANEL,790_1,Bacteria,FALSE
MARD_SAMN09228017_REFG_MMP09228017,1276_0,Bacteria,TRUE
MARD_SAMN08122818_REFG_MMP08122818,679_2,Bacteria,TRUE
MARD_SAMN08886580_SAGS_MMP08886580,208_0,Bacteria,TRUE
MARD_SAMN08886601_SAGS_MMP08886601,194_2,Bacteria,FALSE
MARD_SAMN08886606_SAGS_MMP08886606,194_2,Bacteria,FALSE
MARD_SAMN09509804_REFG_MMP09509804,676_1,Bacteria,TRUE
MARD_SAMD00036655_REFG_MMP00036655,1766_1,Bacteria,FALSE
MARD_SAMD00028746_REFG_MMP00028746,1079_1,Bacteria,FALSE
MARD_SAMD00041797_REFG_MMP00041797,1766_1,Bacteria,TRUE
MARD_SAMN02436085_REFG_MMP02436085,202_0,Bacteria,TRUE
MARD_SAMN02436120_REFG_MMP02436120,1426_1,Bacteria,FALSE
MARD_SAMN05418059_REFG_MMP05418059,1749_10,Bacteria,FALSE
MARD_SAMEA4707919_REFG_MMP4707919,186_1,Bacteria,FALSE
MARD_SAMN02927974_REFG_MMP02927974,895_1,Bacteria,FALSE
MARD_SAMN09437379_REFG_MMP09437379,1775_0,Bacteria,TRUE
MARD_SAMN05216258_REFG_MMP05216258,1312_2,Bacteria,TRUE
MARD_SAMN05216264_REFG_MMP05216264,783_1,Bacteria,TRUE
MARD_SAMN05444398_REFG_MMP05444398,1251_0,Bacteria,TRUE
MARD_SAMN05444414_REFG_MMP05444414,1253_0,Bacteria,TRUE
MARD_SAMN02470761_REFG_MMP02470761,1864_0,Bacteria,TRUE
MARD_SAMEA4707920_REFG_MMP4707920,194_1,Bacteria,TRUE
MARD_SAMN05418166_REFG_MMP05418166,1732_1,Bacteria,FALSE
MARD_SAMN05444413_REFG_MMP05444413,1318_0,Bacteria,TRUE
MARD_SAMN09388146_REFG_MMP09388146,1108_0,Bacteria,TRUE
MARD_SAMN06133340_REFG_MMP06133340,1768_1,Bacteria,FALSE
TARA_SAMEA2621033_METAG_BDPDKECI,1241_1,Bacteria,FALSE
TARA_SAMEA4396941_METAG_KLBPAJAD,1426_1,Bacteria,TRUE
TARA_SAMEA4396941_METAG_FIKOMDNM,419_1,Bacteria,TRUE
TARA_SAMEA4396941_METAG_NMOKIAAF,1203_0,Bacteria,TRUE
TARA_SAMEA4396941_METAG_FFMEDCBF,1189_1,Bacteria,FALSE
TARA_SAMEA4396941_METAG_JJKLBFKP,1264_1,Bacteria,FALSE
TARA_SAMEA4396941_METAG_FLOPKAHB,6174_0,Bacteria,TRUE
TARA_SAMEA4396941_METAG_IEKADHHE,991_3,Bacteria,FALSE
TARA_SAMEA4396941_METAG_JNFLMIMJ,1162_1,Bacteria,FALSE
TARA_SAMEA4396941_METAG_KHPFJDKB,4152_1,Bacteria,FALSE
TARA_SAMEA4397174_METAG_IGCEIJFB,991_3,Bacteria,FALSE
TARA_SAMEA4397174_METAG_HFHLPNOL,4152_1,Bacteria,FALSE
TARA_SAMEA4397174_METAG_PAOCLOOI,1202_1,Bacteria,FALSE
TARA_SAMEA4397174_METAG_OLMHMLCA,1157_1,Bacteria,TRUE
TARA_SAMEA4397174_METAG_ILOADGDN,1189_1,Bacteria,FALSE
TARA_SAMEA4397174_METAG_BMIOLAFD,288_1,Bacteria,FALSE
TARA_SAMEA4397815_METAG_MGOOMLHG,991_4,Bacteria,FALSE
TARA_SAMEA4397815_METAG_KGKDLCCI,1551_1,Bacteria,FALSE
TARA_SAMEA4396489_METAG_JENLENIG,3398_1,Bacteria,TRUE
TARA_SAMEA4396489_METAG_PJHDHIHO,1189_1,Bacteria,TRUE
TARA_SAMEA4396489_METAG_OFBBDPAO,1403_1,Bacteria,TRUE
TARA_SAMEA4397295_METAG_BNIBEGDP,4152_1,Bacteria,FALSE
TARA_SAMEA4397295_METAG_PNLAEKMH,1264_1,Bacteria,FALSE
TARA_SAMEA4397295_METAG_NOICPOFE,2521_0,Bacteria,TRUE
TARA_SAMEA4397295_METAG_NPECDEII,985_1,Bacteria,FALSE
TARA_SAMEA4397295_METAG_IEPIMNLC,895_1,Bacteria,FALSE
TARA_SAMEA4397363_METAG_IPJBEJHI,50_1,Bacteria,TRUE
TARA_SAMEA4397363_METAG_PEIHIEPH,1427_2,Bacteria,TRUE
TARA_SAMEA4397363_METAG_OEELJFIL,4152_1,Bacteria,FALSE
TARA_SAMEA4397363_METAG_MIGAGBNJ,1264_1,Bacteria,FALSE
TARA_SAMEA2621107_METAG_ANNENPFL,1549_1,Bacteria,FALSE
TARA_SAMEA4397627_METAG_PFAFHOHC,1241_2,Bacteria,TRUE
TARA_SAMEA4396515_METAG_JGLJJOND,1264_1,Bacteria,FALSE
TARA_SAMEA2619815_METAG_OGNGPHHE,1549_1,Bacteria,FALSE
TARA_SAMEA2623403_METAG_BFAIBJBD,1403_1,Bacteria,FALSE
TARA_SAMEA4398111_METAG_LCAKNCPF,4152_1,Bacteria,FALSE
TARA_SAMEA4398193_METAG_HLBDJCNA,1825_1,Bacteria,FALSE
TARA_SAMEA4398083_METAG_EIBFECHC,1278_1,Bacteria,FALSE
TARA_SAMEA4398027_METAG_PLPCHCNP,1264_1,Bacteria,FALSE
TARA_SAMEA2621416_METAG_PLGBNMDK,677_1,Bacteria,TRUE
TARA_SAMEA2621101_METAG_PFIFDIHB,677_1,Bacteria,FALSE
TARA_SAMEA4398168_METAG_EEEDAEIF,581_1,Bacteria,TRUE
TARA_SAMEA4397023_METAG_GPOLAJDG,1162_1,Bacteria,TRUE
TARA_SAMEA2622800_METAG_CFACIDDL,2990_1,Bacteria,FALSE
TARA_SAMEA4398387_METAG_ILGDMCFO,4700_1,Bacteria,TRUE
TARA_SAMEA4398387_METAG_FCMGMIMP,1264_1,Bacteria,FALSE
