bin,theta,left,right,bin_genomes,selected,species,regions,products,RiPPs,NRPS,T1PKS,T2_3PKS,Terpenes,Other,taxonomy,half_width,domain
1700,1.8340587137040638,1651,1749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
1800,1.8495492925160184,1750,1850,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
1900,1.865039871327973,1851,1949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
2000,1.8805304501399276,1950,2050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
2100,1.8960210289518822,2051,2149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
2200,1.9115116077638366,2150,2250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
2300,1.9270021865757911,2251,2349,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
2400,1.9424927653877457,2350,2450,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
2500,1.9579833441997,2451,2549,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
2600,1.9734739230116547,2550,2650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
2700,1.9889645018236093,2651,2749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
2800,2.0044550806355637,2750,2850,4,MARD_SAMN09041732_REFG_MMP09041732,2615_2,15,22,5,9,0,5,1,2,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis,0.0069707604653795425,Bacteria
2900,2.0199456594475182,2851,2949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
3000,2.035436238259473,2950,3050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
3100,2.0509268170714274,3051,3149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
3200,2.066417395883382,3150,3250,1,MARD_SAMN09708542_REFG_MMP09708542,4713_0,2,2,0,0,0,0,2,0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Planomicrobium_A;s__Planomicrobium_A okeanokoites,0.0069707604653795425,Bacteria
3300,2.0819079746953366,3251,3349,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
3400,2.097398553507291,3350,3450,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
3500,2.1128891323192454,3451,3549,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
3600,2.1283797111312,3550,3650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
3700,2.1438702899431545,3651,3749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
3800,2.159360868755109,3750,3850,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
3900,2.1748514475670637,3851,3949,3,MARD_SAMN04488013_REFG_MMP04488013,4710_1,3,3,2,0,0,0,1,0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Marinilactibacillus;s__Marinilactibacillus psychrotolerans,0.0069707604653795425,Bacteria
4000,2.1903420263790183,3950,4050,2,MARD_SAMN10363435_REFG_MMP10363435,2573_1,1,1,0,0,0,0,1,0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Salinicoccus;s__Salinicoccus roseus,0.0069707604653795425,Bacteria
4100,2.205832605190973,4051,4149,2,MARD_SAMN05216216_REFG_MMP05216216,2574_0,0,0,0,0,0,0,0,0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Salinicoccus;s__Salinicoccus qingdaonensis,0.0069707604653795425,Bacteria
4200,2.2213231840029275,4150,4250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
4300,2.2368137628148816,4251,4349,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
4400,2.2523043416268362,4350,4450,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
4500,2.267794920438791,4451,4549,2,TARA_SAMEA2623426_METAG_KCEECBIL,2670_1,2,2,0,0,0,1,1,0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA8290;s__,0.0069707604653795425,Bacteria
4600,2.2832854992507454,4550,4650,94,MARD_SAMN08886291_SAGS_MMP08886291,4221_62,4,4,1,0,0,0,3,0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp003278045,0.0069707604653795425,Bacteria
4700,2.2987760780627,4651,4749,399,MARD_SAMN08886552_SAGS_MMP08886552,4221_74,7,7,4,0,0,0,3,0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp003211955,0.0069707604653795425,Bacteria
4800,2.3142666568746546,4750,4850,108,GORG_SAMEA6068455_SAGS_AH326E04,4217_1,5,5,2,0,0,0,3,0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_A;s__,0.0069707604653795425,Bacteria
4900,2.329757235686609,4851,4949,203,MARD_SAMN08886542_SAGS_MMP08886542,4242_2,7,7,4,0,0,0,3,0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp003282425,0.0069707604653795425,Bacteria
5000,2.345247814498564,4950,5050,239,MARD_SAMN08886336_SAGS_MMP08886336,4356_1,6,6,3,0,0,0,3,0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_B;s__Prochlorococcus_B sp003216375,0.0069707604653795425,Bacteria
5100,2.3607383933105184,5051,5149,60,MARD_SAMN08886333_SAGS_MMP08886333,4336_0,6,6,4,0,0,0,2,0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__AG-402-N21;s__AG-402-N21 sp003216435,0.0069707604653795425,Bacteria
5200,2.3762289721224725,5150,5250,229,MARD_SAMEA4707921_REFG_MMP4707921,195_0,31,33,30,0,0,1,2,0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__,0.0069707604653795425,Bacteria
5300,2.391719550934427,5251,5349,14,TARA_SAMEA2619766_METAG_NIKCOOOI,192_1,6,6,4,0,0,0,2,0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__RCC307;s__RCC307 sp002470305,0.0069707604653795425,Bacteria
5400,2.4072101297463817,5350,5450,18,MARD_SAMEA3146264_REFG_MMP3146264,4381_1,16,17,2,9,4,1,1,0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;s__Crocosphaera watsonii,0.0069707604653795425,Bacteria
5500,2.4227007085583363,5451,5549,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
5600,2.438191287370291,5550,5650,49,TARA_SAMN05326646_METAG_PSW00053,4376_1,6,6,5,0,0,0,1,0,d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Obscuribacterales;f__;g__;s__,0.0069707604653795425,Bacteria
5700,2.4536818661822455,5651,5749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
5800,2.4691724449942,5750,5850,14,TARA_SAMN05326646_METAG_PSW00017,804_1,13,13,1,6,3,1,1,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__,0.0069707604653795425,Bacteria
5900,2.4846630238061547,5851,5949,5,MARD_SAMN05897979_REFG_MMP05897979,801_1,17,24,3,13,5,0,0,3,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides chelonae,0.0069707604653795425,Bacteria
6000,2.500153602618109,5950,6050,22,MARD_SAMN04487806_REFG_MMP04487806,795_0,22,23,3,12,2,0,2,4,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus qingshengii,0.0069707604653795425,Bacteria
6100,2.5156441814300634,6051,6149,1,MARD_SAMN05017772_REFG_MMP05017772,796_0,18,20,1,11,1,1,2,4,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia;s__Gordonia sp002009645,0.0069707604653795425,Bacteria
6200,2.531134760242018,6150,6250,1,MARD_SAMN09499816_REFG_MMP09499816,925_0,4,5,0,0,1,0,2,2,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Dietzia;s__Dietzia sp002441635,0.0069707604653795425,Bacteria
6300,2.5466253390539726,6251,6349,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
6400,2.562115917865927,6350,6450,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
6500,2.5776064966778818,6451,6549,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
6600,2.5930970754898364,6550,6650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
6700,2.608587654301791,6651,6749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
6800,2.624078233113745,6750,6850,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
6900,2.6395688119256997,6851,6949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
7000,2.6550593907376543,6950,7050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
7100,2.670549969549609,7051,7149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
7200,2.6860405483615635,7150,7250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
7300,2.701531127173518,7251,7349,2,MARD_SAMN09279555_REFG_MMP09279555,800_0,3,3,0,0,0,1,1,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Homoserinimonas;s__Homoserinimonas sp003260275,0.0069707604653795425,Bacteria
7400,2.7170217059854727,7350,7450,48,MARD_SAMN10225537_REFG_MMP10225537,6292_0,4,4,1,0,0,1,1,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Salinibacterium;s__Salinibacterium amurskyense,0.0069707604653795425,Bacteria
7500,2.7325122847974272,7451,7549,51,TARA_SAMEA2620815_METAG_BOLMEEMM,817_1,6,6,0,2,0,2,1,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp900098805,0.0069707604653795425,Bacteria
7600,2.748002863609382,7550,7650,11,TARA_SAMEA4397983_METAG_PNLPJJPE,788_1,3,3,0,0,0,1,1,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Aquiluna;s__,0.0069707604653795425,Bacteria
7700,2.763493442421336,7651,7749,1,MARD_SAMN04488693_REFG_MMP04488693,820_0,4,4,0,1,0,1,1,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_D;s__Arthrobacter_D subterraneus,0.0069707604653795425,Bacteria
7800,2.7789840212332906,7750,7850,3,MARD_SAMN03732514_REFG_MMP03732514,799_0,6,8,0,4,0,1,1,2,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria turfanensis,0.0069707604653795425,Bacteria
7900,2.794474600045245,7851,7949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
8000,2.8099651788571998,7950,8050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
8100,2.8254557576691544,8051,8149,1,MARD_SAMD00039994_REFG_MMP00039994,812_0,3,4,0,1,0,0,1,2,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium paraconglomeratum,0.0069707604653795425,Bacteria
8200,2.840946336481109,8150,8250,29,MARD_SAMN09932619_REFG_MMP09932619,855_0,6,6,1,1,0,0,1,3,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Dermacoccus;s__Dermacoccus sp001021715,0.0069707604653795425,Bacteria
8300,2.8564369152930635,8251,8349,1,TARA_SAMEA4397091_METAG_ANNGONIA,5004_0,1,1,0,1,0,0,0,0,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes,0.0069707604653795425,Bacteria
8400,2.8719274941050177,8350,8450,168,MARD_SAMN07980965_REFG_MMP07980965,6329_0,4,4,0,1,0,0,2,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Euzebyales;f__Euzebyaceae;g__Euzebya;s__Euzebya sp003073135,0.0069707604653795425,Bacteria
8500,2.8874180729169723,8451,8549,509,TARA_SAMEA2621502_METAG_NLHALEFI,1822_1,5,5,1,1,0,0,1,2,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA8139;g__;s__,0.0069707604653795425,Bacteria
8600,2.902908651728927,8550,8650,222,TARA_SAMEA4398176_METAG_JKMGCLFO,2365_1,6,7,1,0,1,1,3,1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Ilumatobacter;s__,0.0069707604653795425,Bacteria
8700,2.9183992305408815,8651,8749,1119,TARA_SAMEA2622518_METAG_GBIANPLF,3004_1,1,1,0,0,0,0,0,1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__TMED189;f__TMED189;g__TMED189;s__TMED189 sp003282445,0.0069707604653795425,Bacteria
8800,2.933889809352836,8750,8850,2,BGEO_SAMN07136727_METAG_DFLFBMEC,374_0,5,6,0,1,0,0,2,3,d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter_B;s__,0.0069707604653795425,Bacteria
8900,2.9493803881647906,8851,8949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
9000,2.9648709669767452,8950,9050,22,MALA_SAMN05422137_METAG_HLLJDLBE,C1,21,30,11,6,3,2,4,4,d__Bacteria;p__Eremiobacterota;c__UBP9;o__UBA4705;f__;g__;s__,0.0069707604653795425,Bacteria
9100,2.9803615457887,9051,9149,30,TARA_SAMEA2621176_METAG_LGCLMCLD,6248_1,1,1,1,0,0,0,0,0,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__UBA2103;s__UBA2103 sp002331145,0.0069707604653795425,Bacteria
9200,2.995852124600654,9150,9250,15,TARA_SAMN05326641_METAG_ANW00027,6052_1,1,1,1,0,0,0,0,0,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__;g__;s__,0.0069707604653795425,Bacteria
9300,3.0113427034126086,9251,9349,5,GORG_SAMEA6076049_SAGS_AG414P18,105_0,0,0,0,0,0,0,0,0,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__GCA-2747955;g__;s__,0.0069707604653795425,Bacteria
9400,3.026833282224563,9350,9450,13,TARA_SAMEA2619974_METAG_DDJJNAEF,6111_1,1,1,0,0,0,0,0,1,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA6532;g__UBA6532;s__UBA6532 sp002434805,0.0069707604653795425,Bacteria
9500,3.0423238610365178,9451,9549,6,TARA_SAMEA2619974_METAG_KMEGINDM,2386_0,0,0,0,0,0,0,0,0,d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__;f__;g__;s__,0.0069707604653795425,Bacteria
9600,3.0578144398484723,9550,9650,7,TARA_SAMEA2620097_METAG_DBIAEHNC,6399_0,0,0,0,0,0,0,0,0,d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__UBA10169;g__;s__,0.0069707604653795425,Bacteria
9700,3.073305018660427,9651,9749,15,TARA_SAMEA2619974_METAG_DGFFFMNO,4012_0,0,0,0,0,0,0,0,0,d__Bacteria;p__Patescibacteria;c__Andersenbacteria;o__UBA10190;f__UBA10190;g__GCA-2686445;s__GCA-2686445 sp002686445,0.0069707604653795425,Bacteria
9800,3.0887955974723815,9750,9850,24,TARA_SAMEA2620666_METAG_MCEPEOIA,28_1,1,1,0,0,0,0,1,0,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__UBA1547 sp003545655,0.0069707604653795425,Bacteria
9900,3.104286176284336,9851,9949,1,TARA_SAMEA2619974_METAG_KHCMACKG,1580_0,0,0,0,0,0,0,0,0,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__GWA2-44-7;f__UBA10165;g__GCA-2686465;s__GCA-2686465 sp002686465,0.0069707604653795425,Bacteria
10000,3.1197767550962903,9950,10050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
10100,3.135267333908245,10051,10149,254,MALA_SAMN05422138_METAG_GPENLJJH,6356_1,2,2,0,0,0,0,2,0,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA11138;g__UBA1123;s__UBA1123 sp002313895,0.0069707604653795425,Bacteria
10200,3.1507579127201994,10150,10250,424,TARA_SAMEA2620035_METAG_EOHBKGBH,6358_1,4,4,1,1,0,0,2,0,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA11138;g__UBA2160;s__UBA2160 sp002328865,0.0069707604653795425,Bacteria
10300,3.166248491532154,10251,10349,346,TARA_SAMEA2621101_METAG_BHEBGKFO,6373_1,4,4,0,1,0,0,2,1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp002698265,0.0069707604653795425,Bacteria
10400,3.1817390703441086,10350,10450,153,TARA_SAMEA2621551_METAG_LJCCEFFO,398_0,2,2,0,0,0,0,1,1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__GCA-2712585;g__GCA-2712585;s__,0.0069707604653795425,Bacteria
10500,3.1972296491560632,10451,10549,73,TARA_SAMEA4397730_METAG_MIGCDIBN,4825_1,3,3,0,0,0,0,2,1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__UBA2991;s__,0.0069707604653795425,Bacteria
10600,3.212720227968018,10550,10650,35,TARA_SAMN05326646_METAG_PSW00107,887_0,1,1,0,0,0,0,1,0,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__GCA-2699585;s__GCA-2699585 sp002699585,0.0069707604653795425,Bacteria
10700,3.2282108067799724,10651,10749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
10800,3.243701385591927,10750,10850,13,TARA_SAMEA2621222_METAG_BDGIDEFO,68_1,1,1,0,0,0,0,1,0,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__UBA6957;s__UBA6957 sp002707365,0.0069707604653795425,Bacteria
10900,3.259191964403881,10851,10949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
11000,3.2746825432158357,10950,11050,111,TARA_SAMEA2623116_METAG_GJPACEJC,235_1,5,7,1,1,2,1,2,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__SW10 sp002420315,0.0069707604653795425,Bacteria
11100,3.2901731220277903,11051,11149,114,TARA_SAMEA4397586_METAG_OLNPJHKL,258_0,10,12,1,6,1,1,3,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9;s__,0.0069707604653795425,Bacteria
11200,3.305663700839745,11150,11250,196,TARA_SAMEA2622801_METAG_LKEPJGOM,2426_1,9,11,2,3,2,0,4,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__GCA-2715965;g__GCA-2715965;s__GCA-2715965 sp002715965,0.0069707604653795425,Bacteria
11300,3.3211542796516995,11251,11349,140,TARA_SAMEA2623116_METAG_OJKPDKPG,2781_0,4,4,1,1,0,1,1,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__;g__;s__,0.0069707604653795425,Bacteria
11400,3.336644858463654,11350,11450,115,TARA_SAMEA4397215_METAG_FGMGFONG,4563_1,5,8,0,4,3,1,0,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__UBA6669;s__,0.0069707604653795425,Bacteria
11500,3.3521354372756087,11451,11549,36,TARA_SAMEA2621551_METAG_IBCCMGFG,290_0,4,4,0,2,0,1,0,1,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__;f__;g__;s__,0.0069707604653795425,Bacteria
11600,3.3676260160875633,11550,11650,33,MARD_SAMN09637267_REFG_MMP09637267,743_0,9,12,1,4,3,0,3,1,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula_A;s__Blastopirellula_A marina_A,0.0069707604653795425,Bacteria
11700,3.3831165948995174,11651,11749,179,TARA_SAMEA4397295_METAG_PFKAPFFD,1426_1,9,9,2,0,0,1,4,2,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__Gimesia;s__Gimesia maris,0.0069707604653795425,Bacteria
11800,3.398607173711472,11750,11850,92,TARA_SAMN05326645_METAG_PSE00112,299_1,5,6,4,0,0,1,1,0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA12014;s__UBA12014 sp002684855,0.0069707604653795425,Bacteria
11900,3.4140977525234266,11851,11949,49,TARA_SAMEA4397118_METAG_AANKMKOK,50_1,10,10,2,2,1,1,2,2,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__GCA-2684655;s__,0.0069707604653795425,Bacteria
12000,3.429588331335381,11950,12050,33,TARA_SAMN05326645_METAG_PSE00037,927_1,17,17,5,3,1,2,3,3,d__Bacteria;p__Planctomycetota;c__UBA8742;o__;f__;g__;s__,0.0069707604653795425,Bacteria
12100,3.445078910147336,12051,12149,5,TARA_SAMEA2622923_METAG_KCDCPELD,151_1,2,2,0,0,0,0,2,0,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__Alkalispirochaeta sp002313505,0.0069707604653795425,Bacteria
12200,3.4605694889592904,12150,12250,68,TARA_SAMEA4396489_METAG_JCHDNPJO,3454_1,3,4,0,0,0,1,1,2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter;s__Salegentibacter agarivorans,0.0069707604653795425,Bacteria
12300,3.476060067771245,12251,12349,104,TARA_SAMEA4396515_METAG_ADNJBJOC,3659_0,4,7,0,0,1,2,2,2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Dokdonia;s__,0.0069707604653795425,Bacteria
