selected,species,representative_flag,taxonomy,regions,products,RiPPs,NRPS,T1PKS,T2_3PKS,Terpenes,Other,domain,representative,n_genomes,selection_rule,tree_tip
TARA_SAMEA4398315_METAG_ABNKDKKD,1012_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__,3,3,1,0,0,1,1,0,Bacteria,TARA_SAMEA4397747_METAG_FPBHCOLE,2,max_regions_first_source_row,TARA_SAMEA4397747_METAG_FPBHCOLE
TARA_SAMEA4398315_METAG_AFFNKFDC,1013_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__,6,9,4,1,1,1,1,1,Bacteria,TARA_SAMEA4398315_METAG_AFFNKFDC,2,max_regions_first_source_row,TARA_SAMEA4398315_METAG_AFFNKFDC
TARA_SAMEA4397330_METAG_CMMDNHLL,1014_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__,2,2,1,0,0,0,1,0,Bacteria,TARA_SAMEA4397747_METAG_OMPJFLGB,2,max_regions_first_source_row,TARA_SAMEA4397747_METAG_OMPJFLGB
TARA_SAMEA4397815_METAG_KJLCEJNP,1015_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__,3,3,1,0,0,1,1,0,Bacteria,TARA_SAMEA4397815_METAG_KJLCEJNP,6,max_regions_first_source_row,TARA_SAMEA4397815_METAG_KJLCEJNP
TARA_SAMEA4398387_METAG_PJCAPIMO,1016_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__,4,4,1,0,0,1,1,1,Bacteria,TARA_SAMEA4398315_METAG_POBJPKPL,5,max_regions_first_source_row,TARA_SAMEA4398315_METAG_POBJPKPL
TARA_SAMEA4397948_METAG_DCOGFKAD,1018_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__,3,3,1,0,0,1,1,0,Bacteria,TARA_SAMEA4397948_METAG_DCOGFKAD,1,max_regions_first_source_row,TARA_SAMEA4397948_METAG_DCOGFKAD
TARA_SAMEA4397072_METAG_KIOEPKAI,101_1,FALSE,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__;s__,0,0,0,0,0,0,0,0,Bacteria,TARA_SAMEA4397730_METAG_AFHCDHFH,4,max_regions_first_source_row,TARA_SAMEA4397730_METAG_AFHCDHFH
TARA_SAMEA2620120_METAG_HKKEINPH,1021_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Pacificimonas;s__Pacificimonas sp002375465,1,1,0,0,0,0,1,0,Bacteria,TARA_SAMEA2620120_METAG_HKKEINPH,2,max_regions_first_source_row,TARA_SAMEA2620120_METAG_HKKEINPH
TARA_SAMEA2622197_METAG_FPJCLCMK,1022_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis_A;s__Sphingopyxis_A sp002683755,1,1,0,0,0,1,0,0,Bacteria,TARA_SAMEA2622197_METAG_FPJCLCMK,3,max_regions_first_source_row,TARA_SAMEA2622197_METAG_FPJCLCMK
TARA_SAMEA2619815_METAG_HKGFIMGD,1023_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,3,3,0,0,0,1,1,1,Bacteria,TARA_SAMEA2619815_METAG_HKGFIMGD,1,max_regions_first_source_row,TARA_SAMEA2619815_METAG_HKGFIMGD
TARA_SAMEA4397920_METAG_PEGHMKLD,1024_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__,2,2,0,0,0,0,1,1,Bacteria,TARA_SAMEA4397859_METAG_GMFDIFPD,2,max_regions_first_source_row,TARA_SAMEA4397859_METAG_GMFDIFPD
TARA_SAMEA4397004_METAG_OCACEJAG,1025_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__,4,4,2,0,0,0,1,1,Bacteria,TARA_SAMEA4397004_METAG_OCACEJAG,1,max_regions_first_source_row,TARA_SAMEA4397004_METAG_OCACEJAG
TARA_SAMEA4397489_METAG_KFLMDJEI,1026_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__,8,8,4,0,0,1,2,1,Bacteria,TARA_SAMEA4397489_METAG_KFLMDJEI,2,max_regions_first_source_row,TARA_SAMEA4397489_METAG_KFLMDJEI
TARA_SAMEA2621242_METAG_JDPCKNJD,1027_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp000153545,7,7,4,0,0,0,1,2,Bacteria,MARD_SAMN02436131_REFG_MMP02436131,14,max_regions_first_source_row,MARD_SAMN02436131_REFG_MMP02436131
MALA_SAMN05422166_METAG_NBOOPJDJ,1028_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp002457415,6,6,2,1,0,0,2,1,Bacteria,MALA_SAMN05422166_METAG_NBOOPJDJ,4,max_regions_first_source_row,MALA_SAMN05422166_METAG_NBOOPJDJ
MARD_SAMD00112194_REFG_MMP00112194,1029_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__,9,9,6,0,0,0,1,2,Bacteria,MARD_SAMD00112194_REFG_MMP00112194,1,max_regions_first_source_row,MARD_SAMD00112194_REFG_MMP00112194
TARA_SAMEA4397730_METAG_EHJPMPAL,102_0,TRUE,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA1138;s__,0,0,0,0,0,0,0,0,Bacteria,TARA_SAMEA4397730_METAG_EHJPMPAL,1,max_regions_first_source_row,TARA_SAMEA4397730_METAG_EHJPMPAL
TARA_SAMEA2619815_METAG_EELKOFIF,1030_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium xenophagum,5,5,2,0,0,1,1,1,Bacteria,TARA_SAMEA2619815_METAG_EELKOFIF,2,max_regions_first_source_row,TARA_SAMEA2619815_METAG_EELKOFIF
TARA_SAMEA4397920_METAG_IGHDIIEB,1031_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp000588875,5,7,2,0,0,1,1,3,Bacteria,TARA_SAMEA4397920_METAG_IGHDIIEB,2,max_regions_first_source_row,TARA_SAMEA4397920_METAG_IGHDIIEB
TARA_SAMEA4397666_METAG_EOMMOCNE,1031_2,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp002312805,2,2,0,0,0,0,1,1,Bacteria,TARA_SAMEA4397722_METAG_HBDLFOMI,2,max_regions_first_source_row,TARA_SAMEA4397722_METAG_HBDLFOMI
TARA_SAMEA4397489_METAG_PMFBIFBE,1031_3,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp001713415,3,3,0,0,0,1,1,1,Bacteria,TARA_SAMEA4397489_METAG_PMFBIFBE,2,max_regions_first_source_row,TARA_SAMEA4397489_METAG_PMFBIFBE
TARA_SAMEA2622331_METAG_GEPBOBDF,1032_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp002684595,5,5,2,0,0,0,2,1,Bacteria,TARA_SAMEA4398238_METAG_GONOIKHO,4,max_regions_first_source_row,TARA_SAMEA4398238_METAG_GONOIKHO
MARD_SAMN09939629_REFG_MMP09939629,1033_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Altererythrobacter_B;s__,2,3,1,0,0,0,1,1,Bacteria,MARD_SAMN09939629_REFG_MMP09939629,1,max_regions_first_source_row,MARD_SAMN09939629_REFG_MMP09939629
MARD_SAMN10320226_REFG_MMP10320226,1033_2,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Altererythrobacter_B;s__Altererythrobacter_B flavus,2,3,1,0,0,0,1,1,Bacteria,MARD_SAMN10320226_REFG_MMP10320226,1,max_regions_first_source_row,MARD_SAMN10320226_REFG_MMP10320226
TARA_SAMEA2620815_METAG_NJKEIABP,1034_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Croceicoccus;s__Croceicoccus sp002694745,6,7,1,3,1,1,1,0,Bacteria,TARA_SAMEA2620666_METAG_AFGGNEFA,3,max_regions_first_source_row,TARA_SAMEA2620666_METAG_AFGGNEFA
MALA_SAMN05422191_METAG_CCFOIEBK,1035_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp000813185,3,3,0,0,0,0,2,1,Bacteria,MARD_SAMD00019870_REFG_MMP00019870,2,max_regions_first_source_row,MARD_SAMD00019870_REFG_MMP00019870
MARD_SAMN10130826_REFG_MMP10130826,1037_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__,2,2,0,1,0,0,1,0,Bacteria,MARD_SAMN10130826_REFG_MMP10130826,1,max_regions_first_source_row,MARD_SAMN10130826_REFG_MMP10130826
TARA_SAMN05326645_METAG_PSE00111,1038_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_B;s__,2,2,0,0,0,1,1,0,Bacteria,TARA_SAMN05326645_METAG_PSE00111,2,max_regions_first_source_row,TARA_SAMN05326645_METAG_PSE00111
MARD_SAMN09930780_REFG_MMP09930780,1039_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_B;s__,6,6,1,0,0,1,1,3,Bacteria,MARD_SAMN09930780_REFG_MMP09930780,1,max_regions_first_source_row,MARD_SAMN09930780_REFG_MMP09930780
TARA_SAMEA2623756_METAG_HDODALJM,103_0,TRUE,d__Bacteria;p__Latescibacterota;c__;o__;f__;g__;s__,1,1,0,0,0,0,1,0,Bacteria,TARA_SAMEA2623756_METAG_HDODALJM,1,max_regions_first_source_row,TARA_SAMEA2623756_METAG_HDODALJM
TARA_SAMEA2621839_METAG_MOKOFMBH,1040_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_B;s__,2,2,0,0,0,1,1,0,Bacteria,TARA_SAMEA2621839_METAG_MOKOFMBH,1,max_regions_first_source_row,TARA_SAMEA2621839_METAG_MOKOFMBH
TARA_SAMEA4397118_METAG_GHBEGJFO,1042_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A;s__,2,2,0,0,0,1,1,0,Bacteria,TARA_SAMEA4397118_METAG_GHBEGJFO,1,max_regions_first_source_row,TARA_SAMEA4397118_METAG_GHBEGJFO
MARD_SAMN09214043_REFG_MMP09214043,1043_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp003171655,1,1,0,0,0,0,1,0,Bacteria,MARD_SAMN09214043_REFG_MMP09214043,1,max_regions_first_source_row,MARD_SAMN09214043_REFG_MMP09214043
TARA_SAMEA2621242_METAG_GNEALDBF,1043_2,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp002707985,1,1,0,0,0,0,1,0,Bacteria,TARA_SAMEA2621242_METAG_GNEALDBF,1,max_regions_first_source_row,TARA_SAMEA2621242_METAG_GNEALDBF
TARA_SAMEA2622673_METAG_LBCDKIFK,1044_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,2,2,1,0,0,0,1,0,Bacteria,TARA_SAMEA2622673_METAG_LBCDKIFK,1,max_regions_first_source_row,TARA_SAMEA2622673_METAG_LBCDKIFK
TARA_SAMEA2623513_METAG_EGAIKECF,1045_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp002705005,0,0,0,0,0,0,0,0,Bacteria,TARA_SAMEA2623513_METAG_EGAIKECF,1,max_regions_first_source_row,TARA_SAMEA2623513_METAG_EGAIKECF
TARA_SAMEA2621242_METAG_PENBHOBB,1047_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__Erythrobacter sp002706445,3,3,2,0,0,0,1,0,Bacteria,TARA_SAMEA2621242_METAG_PENBHOBB,1,max_regions_first_source_row,TARA_SAMEA2621242_METAG_PENBHOBB
TARA_SAMEA2620039_METAG_CCAPJDHN,1048_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Blastomonas;s__Blastomonas delafieldii,8,9,4,0,0,1,2,2,Bacteria,TARA_SAMEA2620039_METAG_CCAPJDHN,2,max_regions_first_source_row,TARA_SAMEA2620039_METAG_CCAPJDHN
MARD_SAMN09930779_REFG_MMP09930779,1049_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_B;s__,5,6,3,1,0,0,1,1,Bacteria,MARD_SAMN09930779_REFG_MMP09930779,1,max_regions_first_source_row,MARD_SAMN09930779_REFG_MMP09930779
TARA_SAMN05326651_METAG_RED00047,104_0,TRUE,d__Bacteria;p__Latescibacterota;c__;o__;f__;g__;s__,2,2,0,0,1,0,1,0,Bacteria,TARA_SAMN05326651_METAG_RED00047,1,max_regions_first_source_row,TARA_SAMN05326651_METAG_RED00047
TARA_SAMEA2619815_METAG_OBEFPELD,1050_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_B;s__Erythrobacter_B sp002337385,5,5,2,0,0,1,1,1,Bacteria,TARA_SAMEA2619815_METAG_OBEFPELD,1,max_regions_first_source_row,TARA_SAMEA2619815_METAG_OBEFPELD
MARD_SAMN09770279_REFG_MMP09770279,1052_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Altererythrobacter_B;s__Altererythrobacter_B troitsensis,3,3,1,0,0,1,1,0,Bacteria,MARD_SAMN09770279_REFG_MMP09770279,1,max_regions_first_source_row,MARD_SAMN09770279_REFG_MMP09770279
TARA_SAMEA4397586_METAG_MLANKLIE,1053_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis bauzanensis,9,10,4,1,0,1,1,3,Bacteria,TARA_SAMEA4397586_METAG_MLANKLIE,1,max_regions_first_source_row,TARA_SAMEA4397586_METAG_MLANKLIE
MALA_SAMN05422149_METAG_CCCLFFNP,1054_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__1-14-0-65-65-10;s__1-14-0-65-65-10 sp002783485,0,0,0,0,0,0,0,0,Bacteria,MALA_SAMN05422149_METAG_CCCLFFNP,1,max_regions_first_source_row,MALA_SAMN05422149_METAG_CCCLFFNP
MARD_SAMN08888560_REFG_MMP08888560,1055_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__,2,2,0,0,0,1,1,0,Bacteria,MARD_SAMN08888560_REFG_MMP08888560,1,max_regions_first_source_row,MARD_SAMN08888560_REFG_MMP08888560
TARA_SAMEA2622197_METAG_EBGAILGH,1056_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A;s__Erythrobacter_A sp002695185,3,3,0,0,0,0,2,1,Bacteria,TARA_SAMEA2622673_METAG_KKADCHLP,13,max_regions_first_source_row,TARA_SAMEA2622673_METAG_KKADCHLP
TARA_SAMEA2623907_METAG_HBCCGAOP,1057_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A;s__,0,0,0,0,0,0,0,0,Bacteria,TARA_SAMEA2623907_METAG_HBCCGAOP,1,max_regions_first_source_row,TARA_SAMEA2623907_METAG_HBCCGAOP
MARD_SAMEA2719621_REFG_MMP2719621,1058_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A;s__Erythrobacter_A vulgaris,1,1,0,0,0,0,1,0,Bacteria,MARD_SAMEA2719621_REFG_MMP2719621,1,max_regions_first_source_row,MARD_SAMEA2719621_REFG_MMP2719621
MARD_SAMN04488060_REFG_MMP04488060,1059_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A;s__Erythrobacter_A nanhaisediminis,1,1,0,0,0,0,1,0,Bacteria,MARD_SAMN04488060_REFG_MMP04488060,1,max_regions_first_source_row,MARD_SAMN04488060_REFG_MMP04488060
GORG_SAMEA6076049_SAGS_AG414P18,105_0,TRUE,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__GCA-2747955;g__;s__,0,0,0,0,0,0,0,0,Bacteria,GORG_SAMEA6076049_SAGS_AG414P18,1,max_regions_first_source_row,GORG_SAMEA6076049_SAGS_AG414P18
MALA_SAMN05422133_METAG_HHCNJCOF,1060_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A;s__,0,0,0,0,0,0,0,0,Bacteria,MALA_SAMN05422133_METAG_HHCNJCOF,1,max_regions_first_source_row,MALA_SAMN05422133_METAG_HHCNJCOF
MALA_SAMN05422149_METAG_IEPELFMA,1061_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A;s__,3,3,1,0,0,1,1,0,Bacteria,MALA_SAMN05422149_METAG_IEPELFMA,2,max_regions_first_source_row,MALA_SAMN05422149_METAG_IEPELFMA
TARA_SAMEA2621242_METAG_GGMLKGNC,1062_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A;s__Erythrobacter_A sp001635685,0,0,0,0,0,0,0,0,Bacteria,TARA_SAMEA2621242_METAG_GGMLKGNC,1,max_regions_first_source_row,TARA_SAMEA2621242_METAG_GGMLKGNC
TARA_SAMEA2623907_METAG_LDGJOKPN,1063_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Citromicrobium;s__,1,1,0,0,0,0,1,0,Bacteria,TARA_SAMEA2623907_METAG_LDGJOKPN,2,max_regions_first_source_row,TARA_SAMEA2623907_METAG_LDGJOKPN
TARA_SAMEA2621213_METAG_JEEIEFMO,1064_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Citromicrobium;s__Citromicrobium sp002729695,3,3,2,0,0,0,1,0,Bacteria,MALA_SAMN05422149_METAG_PLPADFBC,22,max_regions_first_source_row,MALA_SAMN05422149_METAG_PLPADFBC
TARA_SAMEA2621242_METAG_FNGNAMND,1065_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Citromicrobium;s__,3,3,2,0,0,0,1,0,Bacteria,TARA_SAMEA2621229_METAG_PBEPGENB,2,max_regions_first_source_row,TARA_SAMEA2621229_METAG_PBEPGENB
TARA_SAMEA2621247_METAG_KHACKNDA,1065_2,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Citromicrobium;s__,2,2,1,0,0,0,1,0,Bacteria,TARA_SAMEA2621247_METAG_KHACKNDA,1,max_regions_first_source_row,TARA_SAMEA2621247_METAG_KHACKNDA
TARA_SAMEA2621271_METAG_BHECBMAO,1066_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Citromicrobium;s__Citromicrobium bathyomarinum,2,2,1,0,0,0,1,0,Bacteria,TARA_SAMEA2621271_METAG_BHECBMAO,18,max_regions_first_source_row,TARA_SAMEA2621271_METAG_BHECBMAO
TARA_SAMEA2619992_METAG_OLPJMKGD,1066_2,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Citromicrobium;s__,2,2,1,0,0,0,1,0,Bacteria,TARA_SAMEA2619992_METAG_OLPJMKGD,1,max_regions_first_source_row,TARA_SAMEA2619992_METAG_OLPJMKGD
