"gene","avg_log2FC","pct.1","pct.2","pct_diff","p_val","p_val_adj","sig","size_value","source","nudge_x","nudge_y"
"FEZF1",-3,0.07,0.63,-0.56,8.03143061930314e-09,1.60628612386063e-07,"Down",0.56,"labeled",-0.12,0.1
"IDO1",-3,0.125,0.575,-0.45,2.71963131614029e-09,5.43926263228059e-08,"Down",0.45,"labeled",0.18,-0.3
"RSPO2",-3,0.33,0.37,-0.04,4.13100698962808e-09,8.26201397925615e-08,"Down",0.04,"labeled",0.24,0.65
"GPR176",-3.3,0.1,0.6,-0.5,4.67777997953817e-09,9.35555995907635e-08,"Down",0.5,"labeled",-0.18,-0.25
"HS3ST5",-3.6,0.015,0.685,-0.67,5.81032433547080e-09,1.16206486709416e-07,"Down",0.67,"labeled",-0.06,-0.1
"TLE6",-3.1,0.33,0.37,-0.04,7.41033187601715e-09,1.48206637520343e-07,"Down",0.04,"labeled",0.22,-0.55
"DRD2",-3.7,0.31,0.39,-0.08,3.63757283193991e-09,7.27514566387981e-08,"Down",0.08,"labeled",0.24,-0.1
"HESX1",-4.8,0.01,0.77,-0.76,9.98271115589887e-09,1.99654223117977e-07,"Down",0.76,"labeled",0.02,0.15
"SHISA2",-4.9,0.105,0.595,-0.49,3.44196459045634e-09,6.88392918091267e-08,"Down",0.49,"labeled",0.18,-0.4
"SORBS2",-5,0.1,0.6,-0.5,9.20989375561476e-09,1.84197875112295e-07,"Down",0.5,"labeled",-0.14,-0.6
"SIX3",-5.2,0.31,0.39,-0.08,7.560068895109e-09,1.5120137790218e-07,"Down",0.08,"labeled",0.22,0.05
"bg1",2.8169600571115,0.44325067630469,0.25674932369531,0.18650135260938,0.48281187704904,1,"NS",0.18650135260938,"background",NA,NA
"bg2",4.54894396283632,0.498098814764378,0.201901185235622,0.296197629528755,0.417490728014614,1,"NS",0.296197629528755,"background",NA,NA
"bg3",0.528578265470534,0.306994940820485,0.393005059179515,-0.0860101183590294,0.666199295248138,1,"NS",0.0860101183590294,"background",NA,NA
"bg4",0.263931939283405,0.283197333621542,0.416802666378458,-0.133605332756916,0.232948330057319,1,"NS",0.133605332756916,"background",NA,NA
"bg5",5.31003423260618,0.507369037564954,0.192630962435046,0.314738075129909,0.734918112639803,1,"NS",0.314738075129909,"background",NA,NA
"bg6",1.29255926918709,0.428806008228208,0.271193991771792,0.157612016456416,0.327611333563924,1,"NS",0.157612016456416,"background",NA,NA
"bg7",3.98696693544278,0.661073818390124,0.0389261816098756,0.622147636780249,0.710385262966855,1,"NS",0.622147636780249,"background",NA,NA
"bg8",0.337387611756613,0.353837383644012,0.346162616355988,0.00767476728802383,0.505587051558774,1,"NS",0.00767476728802383,"background",NA,NA
"bg9",-0.875508614149308,0.228831506031104,0.471168493968896,-0.242336987937792,0.0607416117887478,0.485932894309983,"NS",0.242336987937792,"background",NA,NA
"bg10",0.384287847959934,0.444418251840927,0.255581748159073,0.188836503681854,0.302918012960115,1,"NS",0.188836503681854,"background",NA,NA
"bg11",1.37659833734264,0.446532460524097,0.253467539475903,0.193064921048195,0.33573046988342,1,"NS",0.193064921048195,"background",NA,NA
"bg12",1.69475566395565,0.546568800515465,0.153431199484535,0.39313760103093,0.0153378503415734,0.122702802732587,"NS",0.39313760103093,"background",NA,NA
"bg13",-0.560100109520711,0.201652495669312,0.498347504330688,-0.296695008661376,0.529896520338254,1,"NS",0.296695008661376,"background",NA,NA
"bg14",-3.17604704857728,0.162566610848049,0.537433389151951,-0.374866778303902,0.453788796797395,1,"NS",0.374866778303902,"background",NA,NA
"bg15",4.62194856258835,0.59950896460173,0.10049103539827,0.49901792920346,0.526490086912178,1,"NS",0.49901792920346,"background",NA,NA
"bg16",6.33491237072149,0.545098822093847,0.154901177906153,0.390197644187693,0.0930537714711391,0.744430171769112,"NS",0.390197644187693,"background",NA,NA
"bg17",2.27378521702837,0.559601840855231,0.140398159144769,0.419203681710463,0.322174161901465,1,"NS",0.419203681710463,"background",NA,NA
"bg18",-1.05822629945257,0.349900573051772,0.350099426948228,-0.000198853896455214,0.115859780732542,0.926878245860338,"NS",0.000198853896455214,"background",NA,NA
"bg19",-2.64955533576966,0.268310373155892,0.431689626844108,-0.163379253688216,0.61304656146653,1,"NS",0.163379253688216,"background",NA,NA
"bg20",0.574533771410046,0.340664396593437,0.359335603406563,-0.0186712068131262,0.283259743324947,1,"NS",0.0186712068131262,"background",NA,NA
"bg21",-1.44240986230479,0.262017666740099,0.437982333259901,-0.175964666519803,0.762126910891151,1,"NS",0.175964666519803,"background",NA,NA
"bg22",-0.570996759233003,0.385238983387999,0.314761016612,0.070477966775999,0.326454514696496,1,"NS",0.070477966775999,"background",NA,NA
"bg23",-4.67925024517307,0.165471236449859,0.534528763550141,-0.369057527100282,0.478102137082256,1,"NS",0.369057527100282,"background",NA,NA
"bg24",0.401237545473453,0.339407988001452,0.360592011998548,-0.0211840239970955,0.453542644137517,1,"NS",0.0211840239970955,"background",NA,NA
"bg25",-0.445337130375711,0.234528739171817,0.465471260828182,-0.230942521656365,0.536459425717825,1,"NS",0.230942521656365,"background",NA,NA
"bg26",2.88418814109508,0.42436886050994,0.27563113949006,0.148737721019879,0.200676607151981,1,"NS",0.148737721019879,"background",NA,NA
"bg27",-2.32709849908292,0.190809423819432,0.509190576180568,-0.318381152361136,0.119136434735032,0.953091477880255,"NS",0.318381152361136,"background",NA,NA
"bg28",-1.26957157578177,0.282806964321553,0.417193035678447,-0.134386071356893,0.273968719943659,1,"NS",0.134386071356893,"background",NA,NA
"bg29",1.84004496832553,0.399372532075888,0.300627467924112,0.098745064151775,0.0845115192939993,0.676092154351994,"NS",0.098745064151775,"background",NA,NA
"bg30",3.17939190653421,0.530218779618464,0.169781220381536,0.360437559236928,0.710297205427196,1,"NS",0.360437559236928,"background",NA,NA
"bg31",1.44128712459875,0.403318471212144,0.296681528787856,0.106636942424287,0.538050588385202,1,"NS",0.106636942424287,"background",NA,NA
"bg32",2.29687306685435,0.565051467656089,0.13494853234391,0.430102935312179,0.281355325625045,1,"NS",0.430102935312179,"background",NA,NA
"bg33",-2.72981682762559,0.208623136865986,0.491376863134014,-0.282753726268028,0.784307208721526,1,"NS",0.282753726268028,"background",NA,NA
"bg34",5.70852700384591,0.591703530699975,0.108296469300025,0.48340706139995,0.685421973368851,1,"NS",0.48340706139995,"background",NA,NA
"bg35",3.45478237400224,0.614897986648598,0.0851020133514021,0.529795973297196,0.603157727500191,1,"NS",0.529795973297196,"background",NA,NA
"bg36",-1.02278099199591,0.244642247828512,0.455357752171488,-0.210715504342975,0.789821011671564,1,"NS",0.210715504342975,"background",NA,NA
"bg37",6.73554920828377,0.637671085541229,0.062328914458771,0.575342171082458,0.550436092939926,1,"NS",0.575342171082458,"background",NA,NA
"bg38",0.584984821375901,0.391008114092295,0.308991885907705,0.0820162281845895,0.797944920819951,1,"NS",0.0820162281845895,"background",NA,NA
"bg39",5.82583275567158,0.620390126320496,0.0796098736795042,0.540780252640991,0.346578989964211,1,"NS",0.540780252640991,"background",NA,NA
"bg40",-1.93212472825801,0.164129983105925,0.535870016894075,-0.37174003378815,0.0153886195044033,0.123108956035227,"NS",0.37174003378815,"background",NA,NA
"bg41",9.06058128671945,0.647654878388585,0.0523451216114151,0.59530975677717,0.435102889847709,1,"NS",0.59530975677717,"background",NA,NA
"bg42",-0.756857537504458,0.219208387023546,0.480791612976454,-0.261583225952907,0.687275740408106,1,"NS",0.261583225952907,"background",NA,NA
"bg43",1.80776996594555,0.403882664960239,0.296117335039761,0.107765329920479,0.535417231760919,1,"NS",0.107765329920479,"background",NA,NA
"bg44",-0.694482509907076,0.275762588456017,0.424237411543983,-0.148474823087965,0.419962561140768,1,"NS",0.148474823087965,"background",NA,NA
"bg45",0.0622500912515108,0.388543943146113,0.311456056853887,0.0770878862922252,0.430250190670602,1,"NS",0.0770878862922252,"background",NA,NA
"bg46",2.72621632469712,0.531843262396976,0.168156737603024,0.363686524793952,0.0688599230577238,0.55087938446179,"NS",0.363686524793952,"background",NA,NA
"bg47",5.18619418061384,0.550842813338377,0.149157186661623,0.401685626676754,0.520402321150759,1,"NS",0.401685626676754,"background",NA,NA
"bg48",-5.67370491605841,0.0968901166489798,0.60310988335102,-0.50621976670204,0.389414025914855,1,"NS",0.50621976670204,"background",NA,NA
"bg49",0.986310160991828,0.394498524466677,0.305501475533323,0.0889970489333535,0.686870784033323,1,"NS",0.0889970489333535,"background",NA,NA
"bg50",10.4585089351509,0.70264250086404,0.01,0.705285001728081,0.123694195001153,0.989553560009226,"NS",0.705285001728081,"background",NA,NA
"bg51",0.573540928968098,0.370223605661204,0.329776394338796,0.0404472113224075,0.570195789281745,1,"NS",0.0404472113224075,"background",NA,NA
"bg52",2.36829756715284,0.396637592749811,0.303362407250189,0.0932751854996221,0.312938625260489,1,"NS",0.0932751854996221,"background",NA,NA
"bg53",-0.942863830249732,0.277976794005011,0.422023205994989,-0.144046411989977,0.487116707334993,1,"NS",0.144046411989977,"background",NA,NA
"bg54",1.97512944925971,0.38678885400997,0.31321114599003,0.0735777080199393,0.272262959526386,1,"NS",0.0735777080199393,"background",NA,NA
"bg55",0.530964002215007,0.337618420529562,0.362381579470437,-0.024763158940875,0.730520586858271,1,"NS",0.024763158940875,"background",NA,NA
"bg56",0.851203846278904,0.387646164725122,0.312353835274878,0.0752923294502441,0.123688207757426,0.989505662059411,"NS",0.0752923294502441,"background",NA,NA
"bg57",-0.210962373587172,0.353218842345333,0.346781157654667,0.00643768469066576,0.350290657480713,1,"NS",0.00643768469066576,"background",NA,NA
"bg58",-1.48119825009289,0.283256542962287,0.416743457037713,-0.133486914075427,0.36773010396352,1,"NS",0.133486914075427,"background",NA,NA
"bg59",1.85003555200304,0.416705251826129,0.283294748173871,0.133410503652259,0.217761541983578,1,"NS",0.133410503652259,"background",NA,NA
"bg60",-1.2368731212648,0.326067184686742,0.373932815313258,-0.0478656306265158,0.392873333266238,1,"NS",0.0478656306265158,"background",NA,NA
"bg61",6.25408627508953,0.606157284897352,0.0938427151026477,0.512314569794704,0.334635237363167,1,"NS",0.512314569794704,"background",NA,NA
"bg62",-2.608124359407,0.179899280889574,0.520100719110426,-0.340201438220852,0.102123557602055,0.816988460816443,"NS",0.340201438220852,"background",NA,NA
"bg63",2.69922051236514,0.475023076131996,0.224976923868004,0.250046152263993,0.447151990145212,1,"NS",0.250046152263993,"background",NA,NA
"bg64",-0.41575314834703,0.243244350595544,0.456755649404456,-0.213511298808913,0.39881492760824,1,"NS",0.213511298808913,"background",NA,NA
"bg65",-3.17526438288079,0.155880515026256,0.544119484973744,-0.388238969947488,0.433914765382418,1,"NS",0.388238969947488,"background",NA,NA
"bg66",1.95872376814598,0.477669385383635,0.222330614616365,0.255338770767269,0.262848445336567,1,"NS",0.255338770767269,"background",NA,NA
"bg67",1.71693859136119,0.42624072875803,0.27375927124197,0.152481457516059,0.7637039602648,1,"NS",0.152481457516059,"background",NA,NA
"bg68",4.10849685500457,0.491631925505915,0.208368074494085,0.28326385101183,0.0176224585762247,0.140979668609798,"NS",0.28326385101183,"background",NA,NA
"bg69",-4.5538198639596,0.220528254760519,0.479471745239481,-0.258943490478961,0.462791484276298,1,"NS",0.258943490478961,"background",NA,NA
"bg70",3.89745701965632,0.51891385281503,0.18108614718497,0.33782770563006,0.707165201104945,1,"NS",0.33782770563006,"background",NA,NA
"bg71",-3.61708970380912,0.164120968395177,0.535879031604823,-0.371758063209646,0.577000858429819,1,"NS",0.371758063209646,"background",NA,NA
"bg72",3.1524002730818,0.517199440173679,0.182800559826321,0.334398880347358,0.0770466428278014,0.616373142622411,"NS",0.334398880347358,"background",NA,NA
"bg73",1.17302637290184,0.426588679737866,0.273411320262134,0.153177359475732,0.392254673366202,1,"NS",0.153177359475732,"background",NA,NA
"bg74",3.73558685767458,0.456274913997046,0.243725086002953,0.212549827994093,0.481784907553112,1,"NS",0.212549827994093,"background",NA,NA
"bg75",0.196663245919471,0.364020668655283,0.335979331344717,0.0280413373105654,0.41804451848031,1,"NS",0.0280413373105654,"background",NA,NA
"bg76",-1.9062362591938,0.202198117571703,0.497801882428297,-0.295603764856594,0.115006013617851,0.920048108942807,"NS",0.295603764856594,"background",NA,NA
"bg77",7.21840948699684,0.623367384652544,0.076632615347456,0.546734769305088,0.715356814252445,1,"NS",0.546734769305088,"background",NA,NA
"bg78",4.7574994415411,0.478183800307691,0.221816199692309,0.256367600615381,0.453292876137886,1,"NS",0.256367600615381,"background",NA,NA
"bg79",0.976385058702565,0.317236736225938,0.382763263774062,-0.0655265275481241,0.714524056439987,1,"NS",0.0655265275481241,"background",NA,NA
"bg80",-0.925188267897438,0.135171660527389,0.564828339472611,-0.429656678945222,0.499668631369714,1,"NS",0.429656678945222,"background",NA,NA
"bg81",-4.54008662344936,0.218074104470489,0.481925895529511,-0.263851791059022,0.625515664939536,1,"NS",0.263851791059022,"background",NA,NA
"bg82",-1.0152896016517,0.254832798633617,0.445167201366383,-0.190334402732767,0.728227988004684,1,"NS",0.190334402732767,"background",NA,NA
"bg83",-1.7665619866772,0.266927838495207,0.433072161504793,-0.166144323009587,0.44021698474884,1,"NS",0.166144323009587,"background",NA,NA
"bg84",5.38385567848667,0.598818081120704,0.101181918879296,0.497636162241409,0.167448903883342,1,"NS",0.497636162241409,"background",NA,NA
"bg85",-4.11772153609894,0.224659446564775,0.475340553435224,-0.250681106870449,0.649383607421769,1,"NS",0.250681106870449,"background",NA,NA
"bg86",0.273600067066307,0.42743119683612,0.27256880316388,0.154862393672239,0.681415801697411,1,"NS",0.154862393672239,"background",NA,NA
"bg87",-0.560177058501321,0.30877998611941,0.39122001388059,-0.0824400277611805,0.258030079795048,1,"NS",0.0824400277611805,"background",NA,NA
"bg88",1.16149455148301,0.243609897698612,0.456390102301388,-0.212780204602776,0.460029322104296,1,"NS",0.212780204602776,"background",NA,NA
"bg89",2.48204996902598,0.377371696459921,0.322628303540079,0.0547433929198418,0.40909327322687,1,"NS",0.0547433929198418,"background",NA,NA
"bg90",2.55631772990903,0.492772184434757,0.207227815565243,0.285544368869514,0.37892144081369,1,"NS",0.285544368869514,"background",NA,NA
"bg91",-1.18020972471308,0.344559024454876,0.355440975545123,-0.010881951090247,0.70488034842466,1,"NS",0.010881951090247,"background",NA,NA
"bg92",3.80116055678342,0.464445743826458,0.235554256173542,0.228891487652917,0.0952205269595142,0.761764215676114,"NS",0.228891487652917,"background",NA,NA
"bg93",-4.64406376499684,0.114625043893823,0.585374956106177,-0.470749912212354,0.63811795537849,1,"NS",0.470749912212354,"background",NA,NA
"bg94",3.73354279895628,0.543121749142568,0.156878250857432,0.386243498285136,0.315153182520298,1,"NS",0.386243498285136,"background",NA,NA
"bg95",-4.77460230840284,0.0987102661360509,0.601289733863949,-0.502579467727898,0.189792576599168,1,"NS",0.502579467727898,"background",NA,NA
"bg96",-1.33696037263704,0.312343516076793,0.387656483923207,-0.0753129678464138,0.738740796610247,1,"NS",0.0753129678464138,"background",NA,NA
"bg97",-0.486731066261103,0.314053809957706,0.385946190042294,-0.0718923800845882,0.544708821794717,1,"NS",0.0718923800845882,"background",NA,NA
"bg98",-3.7458319770976,0.229475606907495,0.470524393092505,-0.24104878618501,0.548861188325565,1,"NS",0.24104878618501,"background",NA,NA
"bg99",-2.19899540303936,0.288850409657918,0.411149590342082,-0.122299180684165,0.681682076102356,1,"NS",0.122299180684165,"background",NA,NA
"bg100",-1.24751172290842,0.3752922018439,0.3247077981561,0.0505844036878007,0.228322723663878,1,"NS",0.0505844036878007,"background",NA,NA
"bg101",-5.52248525687297,0.0580033419459056,0.641996658054094,-0.583993316108189,0.788352828969713,1,"NS",0.583993316108189,"background",NA,NA
"bg102",6.50986424104399,0.56338705533091,0.13661294466909,0.426774110661821,0.520284654622199,1,"NS",0.426774110661821,"background",NA,NA
"bg103",-2.12273701570493,0.197425577221445,0.502574422778555,-0.305148845557109,0.799351223058533,1,"NS",0.305148845557109,"background",NA,NA
"bg104",4.22073414642916,0.610292220649323,0.089707779350677,0.520584441298646,0.00639296067459509,0.0511436853967607,"NS",0.520584441298646,"background",NA,NA
"bg105",-3.93531536051217,0.157562220954454,0.542437779045546,-0.384875558091092,0.11590130263241,0.927210421059281,"NS",0.384875558091092,"background",NA,NA
"bg106",1.76835452904029,0.445068865274609,0.254931134725391,0.190137730549218,0.112403545322362,0.899228362578899,"NS",0.190137730549218,"background",NA,NA
"bg107",-1.36287136910966,0.30483788186486,0.39516211813514,-0.0903242362702804,0.715253527787048,1,"NS",0.0903242362702804,"background",NA,NA
"bg108",-4.19351668988917,0.240042705593641,0.459957294406359,-0.219914588812718,0.103319926991593,0.826559415932745,"NS",0.219914588812718,"background",NA,NA
"bg109",-2.33575504751308,0.188239150422869,0.511760849577131,-0.323521699154262,0.390542562571354,1,"NS",0.323521699154262,"background",NA,NA
"bg110",-0.911896615771286,0.262955402390188,0.437044597609812,-0.174089195219624,0.0478592288834043,0.382873831067234,"NS",0.174089195219624,"background",NA,NA
"bg111",5.10612982610673,0.576710741253886,0.123289258746114,0.453421482507771,0.640285247010179,1,"NS",0.453421482507771,"background",NA,NA
"bg112",-0.369054933348162,0.301969356569306,0.398030643430694,-0.0960612868613888,0.711595055658603,1,"NS",0.0960612868613888,"background",NA,NA
"bg113",4.43138942092586,0.559915822736529,0.140084177263471,0.419831645473058,0.0802492197577376,0.641993758061901,"NS",0.419831645473058,"background",NA,NA
"bg114",-1.50407757869101,0.393255598722174,0.306744401277826,0.0865111974443483,0.404157776742009,1,"NS",0.0865111974443483,"background",NA,NA
"bg115",5.95165417721853,0.56184200038117,0.13815799961883,0.42368400076234,0.0722991546138655,0.578393236910924,"NS",0.42368400076234,"background",NA,NA
"bg116",3.56303482168612,0.554812724930229,0.145187275069771,0.409625449860459,0.214889131296426,1,"NS",0.409625449860459,"background",NA,NA
"bg117",1.98992475979042,0.447073302270237,0.252926697729763,0.194146604540474,0.378862042943249,1,"NS",0.194146604540474,"background",NA,NA
"bg118",-0.0962943974655079,0.379961962196271,0.320038037803729,0.0599239243925422,0.595509695213521,1,"NS",0.0599239243925422,"background",NA,NA
"bg119",-2.1276892042346,0.248557646354395,0.451442353645604,-0.202884707291209,0.358494726565666,1,"NS",0.202884707291209,"background",NA,NA
"bg120",1.94663297217724,0.400634389969113,0.299365610030887,0.101268779938225,0.248206525462912,1,"NS",0.101268779938225,"background",NA,NA
"bg121",3.15970293675293,0.473322395086898,0.226677604913102,0.246644790173795,0.55065249820333,1,"NS",0.246644790173795,"background",NA,NA
"bg122",1.38216271032068,0.453734492209141,0.246265507790859,0.207468984418282,0.0515310843172483,0.412248674537987,"NS",0.207468984418282,"background",NA,NA
"bg123",-4.77558812169967,0.01,0.704941295487746,-0.694941295487746,0.359451066528214,1,"NS",0.694941295487746,"background",NA,NA
"bg124",3.7014685870264,0.515646172403236,0.184353827596764,0.331292344806472,0.593142107546097,1,"NS",0.331292344806472,"background",NA,NA
"bg125",-4.01555336323899,0.141967128805727,0.558032871194273,-0.416065742388546,0.78743193232175,1,"NS",0.416065742388546,"background",NA,NA
"bg126",-1.24837710476353,0.205696481224275,0.494303518775725,-0.28860703755145,0.242919418490957,1,"NS",0.28860703755145,"background",NA,NA
"bg127",-0.858588740395073,0.387135453522445,0.312864546477555,0.0742709070448893,0.0748562620596495,0.598850096477196,"NS",0.0742709070448893,"background",NA,NA
"bg128",-3.56335609568641,0.168099368341412,0.531900631658588,-0.363801263317176,0.177183828256326,1,"NS",0.363801263317176,"background",NA,NA
"bg129",0.559653726476355,0.479956376185303,0.220043623814697,0.259912752370605,0.494099917633459,1,"NS",0.259912752370605,"background",NA,NA
"bg130",0.309032671873402,0.332118563940419,0.36788143605958,-0.0357628721191609,0.41394367863331,1,"NS",0.0357628721191609,"background",NA,NA
"bg131",6.9677475321224,0.615701229213629,0.0842987707863709,0.531402458427258,0.558931429600576,1,"NS",0.531402458427258,"background",NA,NA
"bg132",-0.165772271071744,0.283230253254119,0.416769746745881,-0.133539493491763,0.644189272776479,1,"NS",0.133539493491763,"background",NA,NA
"bg133",-3.1941807474137,0.115816083181888,0.584183916818112,-0.468367833636223,0.567884210173506,1,"NS",0.468367833636223,"background",NA,NA
"bg134",1.26680870207658,0.450302245598348,0.249697754401652,0.200604491196695,0.728349312474253,1,"NS",0.200604491196695,"background",NA,NA
"bg135",1.58708549567765,0.527574386588721,0.172425613411279,0.355148773177443,0.778391803361941,1,"NS",0.355148773177443,"background",NA,NA
"bg136",-0.613252547685862,0.210829426182652,0.489170573817348,-0.278341147634697,0.44519467042922,1,"NS",0.278341147634697,"background",NA,NA
"bg137",2.2965959395285,0.33710893613844,0.36289106386156,-0.0257821277231198,0.657582108950475,1,"NS",0.0257821277231198,"background",NA,NA
"bg138",-2.89247159810883,0.188983286320148,0.511016713679852,-0.322033427359704,0.735810657500988,1,"NS",0.322033427359704,"background",NA,NA
"bg139",-1.33266320787504,0.265489332752235,0.434510667247765,-0.16902133449553,0.380207590582315,1,"NS",0.16902133449553,"background",NA,NA
"bg140",3.22053929365049,0.543622270133634,0.156377729866366,0.387244540267268,0.394009903887054,1,"NS",0.387244540267268,"background",NA,NA
"bg141",-5.54409815906149,0.0530825921017869,0.646917407898213,-0.593834815796426,0.115326897995779,0.922615183966234,"NS",0.593834815796426,"background",NA,NA
"bg142",1.44529117305315,0.301769551030619,0.398230448969381,-0.0964608979387622,0.417475715629756,1,"NS",0.0964608979387622,"background",NA,NA
"bg143",-0.862757555274289,0.260467478191923,0.439532521808077,-0.179065043616155,0.0141040982571431,0.112832786057144,"NS",0.179065043616155,"background",NA,NA
"bg144",3.4814119265932,0.520726840110766,0.179273159889234,0.341453680221531,0.358468549489276,1,"NS",0.341453680221531,"background",NA,NA
"bg145",-2.41200461479325,0.194090768016404,0.505909231983596,-0.311818463967193,0.746700730176875,1,"NS",0.311818463967193,"background",NA,NA
"bg146",6.26551850365099,0.555220480686371,0.144779519313629,0.410440961372742,0.209848491005832,1,"NS",0.410440961372742,"background",NA,NA
"bg147",3.33262228501939,0.553428380193985,0.146571619806015,0.406856760387971,0.679426737348782,1,"NS",0.406856760387971,"background",NA,NA
"bg148",2.04172208749183,0.328695758322406,0.371304241677594,-0.0426084833551887,0.0827123670645524,0.661698936516419,"NS",0.0426084833551887,"background",NA,NA
"bg149",4.94207648411085,0.601891707957893,0.0981082920421065,0.503783415915787,0.199177203124622,1,"NS",0.503783415915787,"background",NA,NA
"bg150",-4.96171919657971,0.202891155006758,0.497108844993242,-0.294217689986483,0.343317407690687,1,"NS",0.294217689986483,"background",NA,NA
"bg151",2.61467395027267,0.410846872291506,0.289153127708494,0.121693744583013,0.783465847129701,1,"NS",0.121693744583013,"background",NA,NA
"bg152",2.09846720857323,0.485847869855504,0.214152130144496,0.271695739711008,0.632423711182317,1,"NS",0.271695739711008,"background",NA,NA
"bg153",0.9224263779263,0.437888229575419,0.262111770424581,0.175776459150839,0.288938798406161,1,"NS",0.175776459150839,"background",NA,NA
"bg154",0.585755674787617,0.363465586878368,0.336534413121632,0.0269311737567369,0.591791436780477,1,"NS",0.0269311737567369,"background",NA,NA
"bg155",-5.00521980865213,0.152482250597191,0.547517749402809,-0.395035498805617,0.718503635254223,1,"NS",0.395035498805617,"background",NA,NA
"bg156",1.71906330747474,0.509267837504683,0.190732162495317,0.318535675009367,0.0953159383316524,0.76252750665322,"NS",0.318535675009367,"background",NA,NA
"bg157",3.14649445163937,0.446359768765753,0.253640231234247,0.192719537531505,0.481423134341138,1,"NS",0.192719537531505,"background",NA,NA
"bg158",-2.93638389286702,0.168840855180599,0.531159144819401,-0.362318289638801,0.248404682506342,1,"NS",0.362318289638801,"background",NA,NA
"bg159",4.8673588417255,0.514505579783036,0.185494420216964,0.329011159566071,0.398494600395206,1,"NS",0.329011159566071,"background",NA,NA
"bg160",-5.11358180047112,0.136972644594722,0.563027355405278,-0.426054710810556,0.397003084669355,1,"NS",0.426054710810556,"background",NA,NA
"bg161",2.61640917053181,0.529091442265315,0.170908557734685,0.35818288453063,0.0100378668145277,0.0803029345162213,"NS",0.35818288453063,"background",NA,NA
"bg162",-2.67907891326368,0.201673698140672,0.498326301859328,-0.296652603718657,0.735056626623031,1,"NS",0.296652603718657,"background",NA,NA
"bg163",2.93214365422537,0.380610681326436,0.319389318673563,0.061221362652873,0.342917855350301,1,"NS",0.061221362652873,"background",NA,NA
"bg164",-2.6219512863462,0.269074106750229,0.43092589324977,-0.161851786499541,0.487345700432314,1,"NS",0.161851786499541,"background",NA,NA
"bg165",-1.23150838315984,0.259895981250718,0.440104018749282,-0.180208037498565,0.0672615966822486,0.538092773457989,"NS",0.180208037498565,"background",NA,NA
"bg166",-2.42802050500464,0.166444264442799,0.533555735557201,-0.367111471114402,0.343314238454914,1,"NS",0.367111471114402,"background",NA,NA
