cell,umap_1,umap_2,RNA_snn_res.0.5,newMainCellTypes
cell_00039,0.67299,7.35533,0,Keratinocyte
cell_00040,-0.72481,7.63166,0,Keratinocyte
cell_00041,-0.59543,7.47407,0,Keratinocyte
cell_00042,0.49012,7.89445,0,Keratinocyte
cell_00043,0.34516,6.06003,0,Keratinocyte
cell_00044,0.52040,7.38244,0,Keratinocyte
cell_00045,-1.13222,7.20897,0,Keratinocyte
cell_00046,0.85817,6.75493,0,Keratinocyte
cell_00047,0.94645,7.56117,0,Keratinocyte
cell_00048,0.92803,7.38613,0,Keratinocyte
cell_00049,0.13521,7.78330,0,Keratinocyte
cell_00050,0.43948,8.09691,0,Keratinocyte
cell_00051,0.19039,7.64636,0,Keratinocyte
cell_00052,0.07739,6.85392,0,Keratinocyte
cell_00053,-0.30166,7.54725,0,Keratinocyte
cell_00054,0.77820,7.87974,0,Keratinocyte
cell_00055,-0.27217,8.08931,0,Keratinocyte
cell_00056,0.17641,8.12388,0,Keratinocyte
cell_00057,-0.73700,7.56771,0,Keratinocyte
cell_00058,-1.52389,6.81215,0,Keratinocyte
cell_00059,-0.13951,6.61674,0,Keratinocyte
cell_00060,-0.61597,8.13699,0,Keratinocyte
cell_00061,0.45217,7.11672,0,Keratinocyte
cell_00062,1.36038,7.26911,0,Keratinocyte
cell_00063,-0.10014,7.17790,0,Keratinocyte
cell_00064,-0.10464,6.10922,0,Keratinocyte
cell_00065,-0.74974,7.61055,0,Keratinocyte
cell_00066,1.07995,6.40296,0,Keratinocyte
cell_00067,0.07624,6.57544,0,Keratinocyte
cell_00068,0.44814,6.70543,0,Keratinocyte
cell_00069,0.11424,7.17560,0,Keratinocyte
cell_00070,1.13557,6.65711,0,Keratinocyte
cell_00071,0.64565,6.94731,0,Keratinocyte
cell_00072,0.70385,7.06134,0,Keratinocyte
cell_00073,-0.00424,6.51477,0,Keratinocyte
cell_00074,-1.17587,7.34727,0,Keratinocyte
cell_00075,-0.34607,5.93179,0,Keratinocyte
cell_00076,-1.01073,7.57017,0,Keratinocyte
cell_00077,0.20730,7.04475,0,Keratinocyte
cell_00078,-0.52134,7.74684,0,Keratinocyte
cell_00079,0.18880,7.66529,0,Keratinocyte
cell_00080,-1.24083,7.01572,0,Keratinocyte
cell_00081,0.81192,8.29801,0,Keratinocyte
cell_00082,0.47840,6.80914,0,Keratinocyte
cell_00083,0.10661,7.78712,0,Keratinocyte
cell_00084,-0.12482,7.47306,0,Keratinocyte
cell_00085,0.69495,7.72910,0,Keratinocyte
cell_00086,0.29456,8.00015,0,Keratinocyte
cell_00087,-0.24463,7.08054,0,Keratinocyte
cell_00088,-0.49209,7.09275,0,Keratinocyte
cell_00089,-0.21829,6.76263,0,Keratinocyte
cell_00090,0.06211,7.44249,0,Keratinocyte
cell_00091,-0.22263,7.35004,0,Keratinocyte
cell_00092,1.24118,8.17031,0,Keratinocyte
cell_00093,1.03033,7.39814,0,Keratinocyte
cell_00094,-0.16723,6.87901,0,Keratinocyte
cell_00095,0.21787,7.77618,0,Keratinocyte
cell_00096,-0.03186,7.30644,0,Keratinocyte
cell_00097,-0.49728,7.34355,0,Keratinocyte
cell_00098,0.85139,8.23611,0,Keratinocyte
cell_00099,-0.73010,6.08645,0,Keratinocyte
cell_00100,1.53961,8.76541,0,Keratinocyte
cell_00101,0.77574,8.20131,0,Keratinocyte
cell_00102,0.63848,8.87070,0,Keratinocyte
cell_00103,-0.18667,6.85216,0,Keratinocyte
cell_00104,0.28588,9.14780,0,Keratinocyte
cell_00105,-0.97986,6.67735,0,Keratinocyte
cell_00106,-0.31067,6.49679,0,Keratinocyte
cell_00107,0.60675,8.11293,0,Keratinocyte
cell_00108,0.21476,7.23410,0,Keratinocyte
cell_00109,0.39146,7.16138,0,Keratinocyte
cell_00110,0.64384,6.92667,0,Keratinocyte
cell_00111,0.05287,7.67628,0,Keratinocyte
cell_00112,0.31603,6.50901,0,Keratinocyte
cell_00113,1.25762,7.79807,0,Keratinocyte
cell_00114,1.13612,7.34601,0,Keratinocyte
cell_00115,1.05075,8.30354,0,Keratinocyte
cell_00116,-1.12633,8.17167,0,Keratinocyte
cell_00117,0.40682,7.33085,0,Keratinocyte
cell_00118,0.26842,6.89359,0,Keratinocyte
cell_00119,0.62540,7.34478,0,Keratinocyte
cell_00120,0.36960,6.44032,0,Keratinocyte
cell_00121,-0.16850,7.66696,0,Keratinocyte
cell_00122,-0.26800,7.63266,0,Keratinocyte
cell_00123,0.18508,7.41189,0,Keratinocyte
cell_00124,0.40143,7.16326,0,Keratinocyte
cell_00125,-0.42800,8.50138,0,Keratinocyte
cell_00126,0.90684,7.24640,0,Keratinocyte
cell_00127,-0.79751,8.42010,0,Keratinocyte
cell_00128,-0.27164,7.20536,0,Keratinocyte
cell_00129,0.81639,9.00008,0,Keratinocyte
cell_00130,0.26010,8.85465,0,Keratinocyte
cell_00131,0.36837,7.32278,0,Keratinocyte
cell_00132,-0.78047,7.35825,0,Keratinocyte
cell_00133,0.08648,8.04750,0,Keratinocyte
cell_00134,-0.42939,7.44472,0,Keratinocyte
cell_00135,-0.22744,6.71583,0,Keratinocyte
cell_00136,0.99385,7.06721,0,Keratinocyte
cell_00137,1.30876,7.37777,0,Keratinocyte
cell_00138,0.01372,8.28234,0,Keratinocyte
cell_00139,-0.42255,7.29241,0,Keratinocyte
cell_00140,-0.44940,6.85676,0,Keratinocyte
cell_00141,0.17093,7.18072,0,Keratinocyte
cell_00142,0.27491,6.50308,0,Keratinocyte
cell_00143,-0.25500,7.11990,0,Keratinocyte
cell_00144,-0.20396,8.93625,0,Keratinocyte
cell_00145,0.42853,8.13729,0,Keratinocyte
cell_00146,0.71801,7.17090,0,Keratinocyte
cell_00147,0.56640,8.40709,0,Keratinocyte
cell_00148,0.86414,8.03309,0,Keratinocyte
cell_00149,1.02415,6.74572,0,Keratinocyte
cell_00150,0.40343,7.39981,0,Keratinocyte
cell_00151,0.18063,7.78603,0,Keratinocyte
cell_00152,-0.39716,8.08681,0,Keratinocyte
cell_00153,0.61178,8.04258,0,Keratinocyte
cell_00154,0.57385,8.32508,0,Keratinocyte
cell_00155,-0.25060,7.45478,0,Keratinocyte
cell_00156,0.47793,6.55927,0,Keratinocyte
cell_00157,0.52282,7.63747,0,Keratinocyte
cell_00158,0.05478,6.96178,0,Keratinocyte
cell_00159,-0.48679,7.78698,0,Keratinocyte
cell_00160,-0.05962,6.44644,0,Keratinocyte
cell_00161,0.19926,8.06068,0,Keratinocyte
cell_00162,-0.04490,6.92996,0,Keratinocyte
cell_00163,0.26283,7.35965,0,Keratinocyte
cell_00164,-0.80057,7.92862,0,Keratinocyte
cell_00165,-1.33622,9.36296,0,Keratinocyte
cell_00166,-0.96190,6.28888,0,Keratinocyte
cell_00167,-0.17590,7.19945,0,Keratinocyte
cell_00168,0.97606,7.22292,0,Keratinocyte
cell_00169,-0.02160,7.89486,0,Keratinocyte
cell_00170,1.03210,7.83627,0,Keratinocyte
cell_00171,1.02652,6.68587,0,Keratinocyte
cell_00172,-0.27152,6.56938,0,Keratinocyte
cell_00173,-0.43563,8.52233,0,Keratinocyte
cell_00174,-0.65103,7.71448,0,Keratinocyte
cell_00175,0.17392,7.73162,0,Keratinocyte
cell_00176,0.55369,6.84181,0,Keratinocyte
cell_00177,0.94754,8.35789,0,Keratinocyte
cell_00178,-0.16791,7.89846,0,Keratinocyte
cell_00179,-0.53382,7.80871,0,Keratinocyte
cell_00180,0.62498,6.43749,0,Keratinocyte
cell_00181,0.91510,7.66999,1,Keratinocyte
cell_00182,1.15429,7.89141,1,Keratinocyte
cell_00183,0.61212,6.94024,1,Keratinocyte
cell_00184,-0.15690,7.95413,1,Keratinocyte
cell_00185,-1.13565,7.77511,1,Keratinocyte
cell_00186,0.24646,8.36840,1,Keratinocyte
cell_00187,0.43585,8.95519,1,Keratinocyte
cell_00188,0.80097,7.60170,1,Keratinocyte
cell_00189,2.12794,8.31554,1,Keratinocyte
cell_00190,0.57623,7.75813,1,Keratinocyte
cell_00191,0.44493,7.33608,1,Keratinocyte
cell_00192,1.33976,6.97880,1,Keratinocyte
cell_00193,0.92889,7.93925,1,Keratinocyte
cell_00194,-0.55880,7.48629,1,Keratinocyte
cell_00195,-0.90084,7.10643,1,Keratinocyte
cell_00196,0.55040,7.72709,1,Keratinocyte
cell_00197,0.74020,7.88913,1,Keratinocyte
cell_00198,1.26178,6.88562,1,Keratinocyte
cell_00199,-0.20777,7.51207,1,Keratinocyte
cell_00200,0.33881,7.87253,1,Keratinocyte
cell_00201,0.32719,6.54356,1,Keratinocyte
cell_00202,0.07870,6.96576,1,Keratinocyte
cell_00203,2.00294,7.31280,1,Keratinocyte
cell_00204,-0.85366,6.75097,1,Keratinocyte
cell_00205,0.96936,9.12865,1,Keratinocyte
cell_00206,0.12635,7.42113,1,Keratinocyte
cell_00207,-0.72660,7.68000,1,Keratinocyte
cell_00208,0.83185,8.54129,1,Keratinocyte
cell_00209,0.07521,6.57195,1,Keratinocyte
cell_00210,0.86640,8.35608,1,Keratinocyte
cell_00211,0.70590,8.65596,1,Keratinocyte
cell_00212,1.43974,8.00180,1,Keratinocyte
cell_00213,0.12750,7.68655,1,Keratinocyte
cell_00214,0.92776,6.98418,1,Keratinocyte
cell_00215,1.20548,7.29185,1,Keratinocyte
cell_00216,-0.27981,9.03720,1,Keratinocyte
cell_00217,0.87892,7.43319,1,Keratinocyte
cell_00218,0.69054,8.22013,1,Keratinocyte
cell_00219,1.13941,8.82976,1,Keratinocyte
cell_00220,1.64214,7.57430,1,Keratinocyte
cell_00221,-0.39330,6.67091,1,Keratinocyte
cell_00222,-0.67181,8.40561,1,Keratinocyte
cell_00223,0.97237,7.08646,1,Keratinocyte
cell_00224,0.92586,7.71936,1,Keratinocyte
cell_00225,0.05699,7.30984,1,Keratinocyte
cell_00226,1.87168,7.70930,1,Keratinocyte
cell_00227,1.78282,8.39792,1,Keratinocyte
cell_00228,1.44662,6.84335,1,Keratinocyte
cell_00229,-0.43686,7.47319,1,Keratinocyte
cell_00230,-0.15911,7.99042,1,Keratinocyte
cell_00231,1.38751,8.25255,1,Keratinocyte
cell_00232,-0.10863,7.63264,1,Keratinocyte
cell_00233,0.58315,7.15339,1,Keratinocyte
cell_00234,0.89647,7.82598,1,Keratinocyte
cell_00235,-0.92362,7.33527,1,Keratinocyte
cell_00236,0.04748,8.57182,1,Keratinocyte
cell_00237,0.55816,6.77629,1,Keratinocyte
cell_00238,1.28586,7.98212,1,Keratinocyte
cell_00239,0.36202,7.28723,1,Keratinocyte
cell_00240,-0.07576,7.04762,1,Keratinocyte
cell_00241,-1.26883,8.08485,1,Keratinocyte
cell_00242,0.75471,7.80035,1,Keratinocyte
cell_00243,0.39684,7.78055,1,Keratinocyte
cell_00244,-0.09756,9.01404,1,Keratinocyte
cell_00245,0.75131,6.47234,1,Keratinocyte
cell_00246,1.76062,7.97844,1,Keratinocyte
cell_00247,-0.00502,7.73791,1,Keratinocyte
cell_00248,0.01584,8.48831,1,Keratinocyte
cell_00249,0.56552,7.27613,1,Keratinocyte
cell_00250,1.62184,7.66126,1,Keratinocyte
cell_00251,0.39477,8.87038,1,Keratinocyte
cell_00252,1.23384,7.82704,1,Keratinocyte
cell_00253,0.81045,7.48138,1,Keratinocyte
cell_00254,-0.02338,8.05438,1,Keratinocyte
cell_00255,-1.21206,7.46278,1,Keratinocyte
cell_00256,-0.19961,6.87637,1,Keratinocyte
cell_00257,1.98585,6.84166,1,Keratinocyte
cell_00258,1.62070,7.66956,1,Keratinocyte
cell_00259,0.70438,7.04398,1,Keratinocyte
cell_00260,0.90910,7.98526,1,Keratinocyte
cell_00261,1.15014,6.51494,1,Keratinocyte
cell_00262,-0.30314,6.46350,1,Keratinocyte
cell_00263,1.22190,9.22966,1,Keratinocyte
cell_00264,0.32746,7.72628,1,Keratinocyte
cell_00265,0.43513,8.12806,1,Keratinocyte
cell_00266,0.88625,7.71011,1,Keratinocyte
cell_00267,-0.53492,8.63963,1,Keratinocyte
cell_00268,1.45274,7.85136,1,Keratinocyte
cell_00269,-0.28963,8.42737,1,Keratinocyte
cell_00270,-1.24172,8.64967,1,Keratinocyte
cell_00271,1.14150,9.08991,1,Keratinocyte
cell_00272,0.17337,8.17507,1,Keratinocyte
cell_00273,1.39191,8.12745,1,Keratinocyte
cell_00274,0.59684,8.65903,1,Keratinocyte
cell_00275,0.84577,7.83097,1,Keratinocyte
cell_00276,0.90622,8.14553,1,Keratinocyte
cell_00277,0.48451,7.85944,1,Keratinocyte
cell_00278,-0.12955,7.11365,1,Keratinocyte
cell_00279,1.07359,7.73560,1,Keratinocyte
cell_00280,1.49007,7.81322,1,Keratinocyte
cell_00281,-0.32103,7.64751,1,Keratinocyte
cell_00282,-0.89510,8.10044,1,Keratinocyte
cell_00283,2.82181,8.58631,1,Keratinocyte
cell_00284,0.67526,6.86423,1,Keratinocyte
cell_00285,1.03107,7.32562,1,Keratinocyte
cell_00286,2.43309,7.75725,1,Keratinocyte
cell_00287,1.69296,7.72049,1,Keratinocyte
cell_00288,-0.93668,7.87375,1,Keratinocyte
cell_00289,-0.35265,7.57531,1,Keratinocyte
cell_00290,0.52876,8.03951,1,Keratinocyte
cell_00291,0.51420,8.04740,1,Keratinocyte
cell_00292,1.87729,8.01272,1,Keratinocyte
cell_00293,0.18305,8.16942,1,Keratinocyte
cell_00294,0.15470,7.51285,1,Keratinocyte
cell_00295,-0.06814,7.33522,1,Keratinocyte
cell_00296,0.13871,6.51235,1,Keratinocyte
cell_00297,0.09182,8.01580,1,Keratinocyte
cell_00298,-0.18094,7.63703,1,Keratinocyte
cell_00299,0.10671,8.67837,1,Keratinocyte
cell_00300,0.54297,9.32847,1,Keratinocyte
cell_00301,0.89878,6.92409,1,Keratinocyte
cell_00302,1.77617,8.40640,1,Keratinocyte
cell_00303,0.68313,6.61881,1,Keratinocyte
cell_00304,0.80000,8.00807,1,Keratinocyte
cell_00305,0.96672,6.75969,1,Keratinocyte
cell_00306,1.29271,7.42169,1,Keratinocyte
cell_00307,0.79014,8.09328,1,Keratinocyte
cell_00308,-0.25086,7.35770,1,Keratinocyte
cell_00309,1.71741,7.12207,1,Keratinocyte
cell_00310,0.66416,7.93793,1,Keratinocyte
cell_00311,-1.72031,8.31091,1,Keratinocyte
cell_00312,-0.42145,8.83206,1,Keratinocyte
cell_00313,-0.64029,7.75207,1,Keratinocyte
cell_00314,0.15285,6.81696,1,Keratinocyte
cell_00315,0.24554,7.91182,1,Keratinocyte
cell_00316,-0.26862,8.48530,1,Keratinocyte
cell_00317,0.03350,6.89698,1,Keratinocyte
cell_00318,1.15618,6.79737,1,Keratinocyte
cell_00319,1.63732,8.17515,1,Keratinocyte
cell_00320,-1.31982,8.37708,1,Keratinocyte
cell_00321,0.89115,7.52841,1,Keratinocyte
cell_00322,-0.58829,7.37298,1,Keratinocyte
cell_00323,-0.57449,7.85787,1,Keratinocyte
cell_00324,0.35626,7.98642,1,Keratinocyte
cell_00325,0.01163,6.37302,1,Keratinocyte
cell_00326,0.92661,7.81319,1,Keratinocyte
cell_00327,-0.11862,7.01538,1,Keratinocyte
cell_00328,0.43854,7.60588,1,Keratinocyte
cell_00329,0.73034,7.74208,1,Keratinocyte
cell_00330,0.85231,7.60632,1,Keratinocyte
cell_00331,-1.31667,7.24761,1,Keratinocyte
cell_00332,1.19874,7.39452,1,Keratinocyte
cell_00333,1.48917,7.49754,1,Keratinocyte
cell_00334,-0.08190,7.27849,1,Keratinocyte
cell_00335,0.54242,7.99553,1,Keratinocyte
cell_00336,0.64038,7.44385,1,Keratinocyte
cell_00337,0.08934,8.28661,1,Keratinocyte
cell_00338,-0.89994,8.65293,1,Keratinocyte
cell_00339,0.83426,7.58071,1,Keratinocyte
cell_00340,0.74140,7.37155,1,Keratinocyte
cell_00341,0.15464,7.31103,1,Keratinocyte
cell_00342,-0.90650,7.14871,1,Keratinocyte
cell_00343,0.21843,7.83349,1,Keratinocyte
cell_00344,-0.80910,8.23849,1,Keratinocyte
cell_00345,1.19999,8.15797,1,Keratinocyte
cell_00346,-0.15364,7.82408,1,Keratinocyte
cell_00347,0.95918,8.18635,1,Keratinocyte
cell_00348,-0.74083,7.25747,1,Keratinocyte
cell_00349,1.10214,9.39187,1,Keratinocyte
cell_00350,-0.11715,8.14265,1,Keratinocyte
cell_00351,0.92292,8.24419,1,Keratinocyte
cell_00352,-0.44639,8.77889,1,Keratinocyte
cell_00353,0.92363,8.00494,1,Keratinocyte
cell_00354,-0.18584,7.73506,1,Keratinocyte
cell_00355,2.20798,6.87847,1,Keratinocyte
cell_00356,-0.29038,7.86186,1,Keratinocyte
cell_00357,1.55626,6.39873,1,Keratinocyte
cell_00358,1.65315,7.24455,1,Keratinocyte
cell_00359,1.24418,8.03880,1,Keratinocyte
cell_00360,0.54908,6.45144,1,Keratinocyte
cell_00361,1.09452,9.11884,3,Keratinocyte
cell_00362,1.72089,10.21929,3,Keratinocyte
cell_00363,2.01412,8.42194,3,Keratinocyte
cell_00364,0.61520,8.78995,3,Keratinocyte
cell_00365,1.62742,8.73778,3,Keratinocyte
cell_00366,0.69908,8.54749,3,Keratinocyte
cell_00367,0.93335,8.95046,3,Keratinocyte
cell_00368,1.28685,8.20621,3,Keratinocyte
cell_00369,1.62389,8.74824,3,Keratinocyte
cell_00370,0.73655,8.34937,3,Keratinocyte
cell_00371,1.41571,7.99355,3,Keratinocyte
cell_00372,0.78346,9.39167,3,Keratinocyte
cell_00373,1.11192,9.16268,3,Keratinocyte
cell_00374,0.80990,8.47894,3,Keratinocyte
cell_00375,1.90412,8.38110,3,Keratinocyte
cell_00376,1.68620,7.95509,3,Keratinocyte
cell_00377,0.58215,8.23562,3,Keratinocyte
cell_00378,0.48662,8.73773,3,Keratinocyte
cell_00379,1.28000,7.41153,3,Keratinocyte
cell_00380,1.05741,9.44656,3,Keratinocyte
cell_00381,-0.01440,8.77276,3,Keratinocyte
cell_00382,3.11473,8.87818,3,Keratinocyte
cell_00383,0.68702,7.06553,3,Keratinocyte
cell_00384,1.53591,8.41680,3,Keratinocyte
cell_00385,-0.62976,7.18733,3,Keratinocyte
cell_00386,1.34053,8.72359,3,Keratinocyte
cell_00387,1.38835,6.82326,3,Keratinocyte
cell_00388,1.11449,9.47015,3,Keratinocyte
cell_00389,1.90822,9.25215,3,Keratinocyte
cell_00390,1.06759,8.87404,3,Keratinocyte
cell_00391,2.59231,8.22033,3,Keratinocyte
cell_00392,1.69036,8.96118,3,Keratinocyte
cell_00393,0.12910,8.94042,3,Keratinocyte
cell_00394,2.86208,7.78048,3,Keratinocyte
cell_00395,2.57358,8.09784,3,Keratinocyte
cell_00396,1.38442,7.17750,3,Keratinocyte
cell_00397,2.37420,8.61713,3,Keratinocyte
cell_00398,2.76309,7.09325,3,Keratinocyte
cell_00399,1.69488,8.42001,3,Keratinocyte
cell_00400,0.68603,8.83054,3,Keratinocyte
cell_00401,1.62123,9.20820,3,Keratinocyte
cell_00402,1.55860,8.48728,3,Keratinocyte
cell_00403,2.28851,8.91660,3,Keratinocyte
cell_00404,0.19546,7.93997,3,Keratinocyte
cell_00405,2.14884,8.45017,3,Keratinocyte
cell_00406,1.78808,9.01020,3,Keratinocyte
cell_00407,1.35481,8.56910,3,Keratinocyte
cell_00408,0.95156,9.03294,3,Keratinocyte
cell_00409,0.77871,7.86406,3,Keratinocyte
cell_00410,0.31482,8.04282,3,Keratinocyte
cell_00411,1.01030,8.82970,3,Keratinocyte
cell_00412,0.66251,8.94654,3,Keratinocyte
cell_00413,0.11841,7.83722,3,Keratinocyte
cell_00414,2.31287,8.54985,3,Keratinocyte
cell_00415,1.35098,9.45607,3,Keratinocyte
cell_00416,2.68497,8.34195,3,Keratinocyte
cell_00417,1.10853,7.99889,3,Keratinocyte
cell_00418,2.72921,8.77766,3,Keratinocyte
cell_00419,1.15933,7.44563,3,Keratinocyte
cell_00420,1.01515,8.29426,3,Keratinocyte
cell_00421,1.85517,6.90579,3,Keratinocyte
cell_00422,1.17315,9.00442,3,Keratinocyte
cell_00423,0.71246,8.42214,3,Keratinocyte
cell_00424,1.18385,9.20323,3,Keratinocyte
cell_00425,1.60855,8.54850,3,Keratinocyte
cell_00426,2.06914,8.08006,3,Keratinocyte
cell_00427,2.10524,7.75550,3,Keratinocyte
cell_00428,1.32611,9.65454,3,Keratinocyte
cell_00429,0.92145,9.65667,3,Keratinocyte
cell_00430,1.32224,7.59583,3,Keratinocyte
cell_00431,0.85980,7.67671,3,Keratinocyte
cell_00432,1.98147,8.33481,3,Keratinocyte
cell_00433,1.93409,9.03489,3,Keratinocyte
cell_00434,1.29657,8.77935,3,Keratinocyte
cell_00435,0.52870,8.08116,3,Keratinocyte
cell_00436,2.38464,8.83237,3,Keratinocyte
cell_00437,0.45163,7.95619,3,Keratinocyte
cell_00438,1.18788,8.96587,3,Keratinocyte
cell_00439,1.99051,7.67696,3,Keratinocyte
cell_00440,2.73167,8.38369,3,Keratinocyte
cell_00441,1.06191,8.22887,3,Keratinocyte
cell_00442,1.71059,9.53517,3,Keratinocyte
cell_00443,1.37896,7.13039,3,Keratinocyte
cell_00444,1.59499,9.11033,3,Keratinocyte
cell_00445,0.96182,9.41941,3,Keratinocyte
cell_00446,1.50314,8.74640,3,Keratinocyte
cell_00447,1.39016,8.81592,3,Keratinocyte
cell_00448,1.17098,9.16410,3,Keratinocyte
cell_00449,1.23514,8.58599,3,Keratinocyte
cell_00450,2.18186,8.94063,3,Keratinocyte
cell_00451,1.76553,8.23885,3,Keratinocyte
cell_00452,0.34826,8.13126,3,Keratinocyte
cell_00453,0.78795,9.65459,3,Keratinocyte
cell_00454,1.56445,8.48081,3,Keratinocyte
cell_00455,1.00928,7.70340,3,Keratinocyte
cell_00456,2.43482,8.35195,3,Keratinocyte
cell_00457,2.77339,8.40763,3,Keratinocyte
cell_00458,1.88721,8.37475,3,Keratinocyte
cell_00459,1.74408,9.42750,3,Keratinocyte
cell_00460,1.61987,10.30202,3,Keratinocyte
cell_00461,3.06696,8.53549,3,Keratinocyte
cell_00462,1.35791,7.81943,3,Keratinocyte
cell_00463,0.97958,8.58398,3,Keratinocyte
cell_00464,1.42622,8.68814,3,Keratinocyte
cell_00465,0.51442,8.08742,3,Keratinocyte
cell_00466,1.97672,8.46182,3,Keratinocyte
cell_00467,0.00826,7.29398,3,Keratinocyte
cell_00468,2.00986,8.55649,3,Keratinocyte
cell_00469,1.60192,8.41096,3,Keratinocyte
cell_00470,2.43372,8.76151,3,Keratinocyte
cell_00471,2.44780,7.97376,3,Keratinocyte
cell_00472,1.14498,7.94735,3,Keratinocyte
cell_00473,1.69386,9.14605,3,Keratinocyte
cell_00474,2.21258,8.23646,3,Keratinocyte
cell_00475,0.66239,9.35452,3,Keratinocyte
cell_00476,1.42063,8.81219,3,Keratinocyte
cell_00477,0.77173,8.74363,3,Keratinocyte
cell_00478,1.37404,7.97018,3,Keratinocyte
cell_00479,1.88295,9.21766,3,Keratinocyte
cell_00480,2.58553,7.95352,3,Keratinocyte
cell_00481,1.04777,8.38179,3,Keratinocyte
cell_00482,2.11759,8.57681,3,Keratinocyte
cell_00483,1.60737,10.24575,3,Keratinocyte
cell_00484,2.47022,9.19788,3,Keratinocyte
cell_00485,2.13883,8.64623,3,Keratinocyte
cell_00486,1.94854,8.71395,3,Keratinocyte
cell_00487,0.86108,9.09775,3,Keratinocyte
cell_00488,1.38284,7.71199,3,Keratinocyte
cell_00489,1.14079,8.07488,3,Keratinocyte
cell_00490,1.53005,8.80701,3,Keratinocyte
cell_00491,0.70760,8.66340,3,Keratinocyte
cell_00492,3.82366,8.74447,3,Keratinocyte
cell_00493,1.84147,10.91672,3,Keratinocyte
cell_00494,0.89723,8.85008,3,Keratinocyte
cell_00495,2.42798,9.51743,3,Keratinocyte
cell_00496,0.48412,8.41849,3,Keratinocyte
cell_00497,0.13925,8.46274,3,Keratinocyte
cell_00498,0.75231,9.11711,3,Keratinocyte
cell_00499,0.94198,7.32180,3,Keratinocyte
cell_00500,1.55958,9.54943,3,Keratinocyte
cell_00501,1.33425,7.48325,3,Keratinocyte
cell_00502,1.49617,8.92426,3,Keratinocyte
cell_00503,1.31020,8.46053,3,Keratinocyte
cell_00504,0.92345,8.57772,3,Keratinocyte
cell_00505,0.52082,7.61870,3,Keratinocyte
cell_00506,1.33181,8.68398,3,Keratinocyte
cell_00507,2.47868,9.11525,3,Keratinocyte
cell_00508,1.47891,8.06258,3,Keratinocyte
cell_00509,1.61361,8.51622,3,Keratinocyte
cell_00510,1.90076,7.72803,3,Keratinocyte
cell_00511,1.11773,8.23543,3,Keratinocyte
cell_00512,0.69137,7.30049,3,Keratinocyte
cell_00513,1.83028,8.61966,3,Keratinocyte
cell_00514,2.06670,7.34177,3,Keratinocyte
cell_00515,3.05607,8.98447,3,Keratinocyte
cell_00516,1.38562,9.65086,3,Keratinocyte
cell_00517,2.77171,9.08718,3,Keratinocyte
cell_00518,1.87356,8.16347,3,Keratinocyte
cell_00519,0.59226,8.53319,3,Keratinocyte
cell_00520,2.30015,8.97113,3,Keratinocyte
cell_00521,1.19640,8.38273,3,Keratinocyte
cell_00522,1.37244,8.29840,3,Keratinocyte
cell_00523,1.01095,8.45369,3,Keratinocyte
cell_00524,1.88069,8.89652,3,Keratinocyte
cell_00525,2.29478,8.34132,3,Keratinocyte
cell_00526,0.80824,8.39217,3,Keratinocyte
cell_00527,1.59659,7.97041,3,Keratinocyte
cell_00528,1.72279,8.64732,3,Keratinocyte
cell_00529,0.94793,9.74243,3,Keratinocyte
cell_00530,1.35423,7.74052,3,Keratinocyte
